model,stage,index,singular_value,condition_number,numerical_rank,interpretation
linear_best_feasible,geometry_cohesion,1,264.328538,,,stage_rank_2
linear_best_feasible,geometry_cohesion,2,99.9259289,,,stage_rank_2
linear_best_feasible,add_curvature,1,266.040827,,,stage_rank_3
linear_best_feasible,add_curvature,2,137.208814,,,stage_rank_3
linear_best_feasible,add_curvature,3,24.5928591,,,stage_rank_3
linear_best_feasible,add_registry,1,266.964423,,,stage_rank_4
linear_best_feasible,add_registry,2,148.173119,,,stage_rank_4
linear_best_feasible,add_registry,3,26.1629392,,,stage_rank_4
linear_best_feasible,add_registry,4,1.51995153,,,stage_rank_4
square_root,joint,1,277.214355,6618.25781,4,identifiable_after_exact_density_gauge_but_bad_fit
square_root,joint,2,53.9785971,6618.25781,4,
square_root,joint,3,24.0978285,6618.25781,4,
square_root,joint,4,0.0418863034,6618.25781,4,
linear_best_feasible,joint,1,267.822466,260502876,5,practically_nonidentifiable
linear_best_feasible,joint,2,156.773343,260502876,5,
linear_best_feasible,joint,3,26.1983562,260502876,5,
linear_best_feasible,joint,4,4.43141572,260502876,5,
linear_best_feasible,joint,5,1.02809793e-6,260502876,5,near_null_epsilon_decay_direction
