case,drive_axis,response_axis,real_A2_eV,imag_A2_eV,magnitude_A2_eV,phase_rad,offset_A,residual_rms_A
axis0_fraction0.5_sign-1,0,0,0.0023472721508849856,1.7489166117980372e-05,0.002347337304532889,0.007450709319933319,-5.063214607437421e-05,0.007759687478286105
axis0_fraction0.5_sign-1,0,1,-0.00010632159860754937,-9.345875242882784e-06,0.00010673156850023508,-3.053916064248105,-6.719449623845844e-05,0.01840321904063285
axis0_fraction0.5_sign-1,0,2,-2.829284576314634e-05,0.00013402789499909407,0.00013698161102595257,1.7788386631676822,-4.280424800821284e-05,0.017562727875017253
axis0_fraction0.5_sign+1,0,0,0.0023804573877585673,-6.011193906136994e-06,0.0023804649775593253,-0.0025252210603590427,2.0575755358700497e-05,0.007596855481891981
axis0_fraction0.5_sign+1,0,1,-3.48763766898222e-05,2.0604970660090443e-05,4.05083505824856e-05,2.6079651679899016,-4.4647647973514595e-05,0.01793585621765713
axis0_fraction0.5_sign+1,0,2,-5.3094620133968845e-05,-4.981260153297017e-05,7.280339249412016e-05,-2.3880766695411886,2.5476572209857132e-05,0.01829291938988592
axis0_fraction1_sign-1,0,0,0.0023654886830030415,2.8600904616012972e-06,0.0023654904120568557,0.0012090901505599648,1.6042577958813715e-05,0.007747204054875349
axis0_fraction1_sign-1,0,1,7.312448929751127e-06,2.0917731181332904e-05,2.215904752295832e-05,1.2344945086592127,4.9476606364764225e-05,0.017885708602815378
axis0_fraction1_sign-1,0,2,5.238825372538533e-06,-1.8690029605934114e-05,1.941037088658141e-05,-1.297508955731778,-3.373750163246118e-05,0.016745512779838986
axis0_fraction1_sign+1,0,0,0.0023522341447225026,7.948595797470866e-06,0.0023522475745068913,0.00337915575330287,5.44206988933278e-06,0.007991041340084784
axis0_fraction1_sign+1,0,1,-1.7561346486889917e-05,1.0889046632799817e-05,2.066330629410235e-05,2.586555309444134,-4.620176298483444e-05,0.017978700014404984
axis0_fraction1_sign+1,0,2,-2.1070800638709005e-06,9.494430781906988e-06,9.725430698328231e-06,1.7891848816769542,-0.0002704511592854597,0.01693490176040544
axis1_fraction0.5_sign-1,1,0,8.872558350000141e-05,3.543054253017468e-05,9.553822539380894e-05,0.37992627857932315,4.085012963066348e-05,0.007777740235727687
axis1_fraction0.5_sign-1,1,1,0.011943040660460723,1.1492949451749978e-05,0.011943046190369741,0.0009623132191226227,-0.00014386798885621864,0.017454232830996112
axis1_fraction0.5_sign-1,1,2,-0.00031851737034968,-2.3606672943097097e-05,0.0003193909676586324,-3.0676136689583435,6.605088940864464e-05,0.01837425291525058
axis1_fraction0.5_sign+1,1,0,-3.466583754936738e-05,-3.3090600850194635e-05,4.792398311520059e-05,-2.3794388198327945,7.025618617211977e-06,0.007825941296400584
axis1_fraction0.5_sign+1,1,1,0.011931631554471807,2.7688934524340887e-05,0.011931663682352198,0.002320628548857901,-8.697375243149327e-05,0.017598999581276725
axis1_fraction0.5_sign+1,1,2,9.38140024384206e-05,-0.00035582102183143237,0.000367980524798094,-1.3130077306885561,2.7394742283461587e-05,0.017518508611640275
axis1_fraction1_sign-1,1,0,-3.155433544277996e-05,2.677756685525594e-05,4.138495103202589e-05,2.437901646460669,2.8048037784609e-05,0.007661719966336814
axis1_fraction1_sign-1,1,1,0.012107167484125766,-4.302874756750956e-05,0.012107243945745434,-0.003553974656928796,-3.99547170026655e-05,0.01733973878583142
axis1_fraction1_sign-1,1,2,1.5016353359738832e-06,0.00013554776764134884,0.0001355560851501523,1.559718505775446,-0.00016708478103848033,0.01779144413403061
axis1_fraction1_sign+1,1,0,3.167540502942222e-05,3.7353801126086733e-05,4.8975889398204754e-05,0.8674741412024042,3.8837010515439835e-06,0.007765170084764288
axis1_fraction1_sign+1,1,1,0.012020661825422493,-0.00011609167092825421,0.01202122240028977,-0.009657376898042429,-7.223560232189064e-06,0.017092578924342218
axis1_fraction1_sign+1,1,2,-5.84551455586765e-05,1.3809140304658062e-05,6.006410240934088e-05,2.9096108273516417,-0.00021780876970996737,0.01689960089697101
