axis,parts,block,nw,lower_cycle_THz,upper_cycle_THz,imag_A2_eV,planning_single_record_SNR3_seconds,planning_is_not_confidence_interval
0,1,0,2.0,0.04,0.08,-1.608366506184578e-06,1.67989511034159e-07,True
1,1,0,2.0,0.04,0.08,-1.370504411909045e-05,9.96726979201276e-08,True
0,1,0,2.0,0.04,0.06,-1.5818219948666197e-06,1.7080853839085e-07,True
1,1,0,2.0,0.04,0.06,-1.4021094766639838e-05,9.74259674582808e-08,True
0,1,0,2.0,0.045,0.055,-1.6766686533192148e-06,1.611461527611834e-07,True
1,1,0,2.0,0.045,0.055,-1.4100907115230254e-05,9.687452809250126e-08,True
0,1,0,3.0,0.04,0.08,-1.6319172543642107e-06,1.6556519775442322e-07,True
1,1,0,3.0,0.04,0.08,-1.3827129360917621e-05,9.8792647903127e-08,True
0,1,0,3.0,0.04,0.06,-1.6108996896338883e-06,1.67725342972207e-07,True
1,1,0,3.0,0.04,0.06,-1.4136182115413183e-05,9.66327903327381e-08,True
0,1,0,3.0,0.045,0.055,-1.7298374989067365e-06,1.561931124214998e-07,True
1,1,0,3.0,0.045,0.055,-1.4110714391316545e-05,9.680719803277606e-08,True
0,2,0,2.0,0.04,0.08,-1.580710507653848e-06,1.7092864356212223e-07,True
1,2,0,2.0,0.04,0.08,-1.423645646494098e-05,9.595215816717543e-08,True
0,2,0,2.0,0.04,0.06,-1.6232166247741167e-06,1.664526464391435e-07,True
1,2,0,2.0,0.04,0.06,-1.4252383504705448e-05,9.58449316223585e-08,True
0,2,0,2.0,0.045,0.055,-1.6891756884842178e-06,1.5995299055015393e-07,True
1,2,0,2.0,0.045,0.055,-1.3720144797945519e-05,9.956299606026567e-08,True
0,2,0,3.0,0.04,0.08,-1.5802793980482931e-06,1.7097527391128401e-07,True
1,2,0,3.0,0.04,0.08,-1.4205340523176722e-05,9.61623355832545e-08,True
0,2,0,3.0,0.04,0.06,-1.642051540038803e-06,1.645433753749782e-07,True
1,2,0,3.0,0.04,0.06,-1.4246027024526716e-05,9.588769697771271e-08,True
0,2,0,3.0,0.045,0.055,-1.7505888177520524e-06,1.543416136318166e-07,True
1,2,0,3.0,0.045,0.055,-1.3451416732893902e-05,1.0155203348385466e-07,True
0,2,1,2.0,0.04,0.08,-1.4908361181298583e-06,1.8123300049679315e-07,True
1,2,1,2.0,0.04,0.08,-1.2597230489756668e-05,1.0843801925946268e-07,True
0,2,1,2.0,0.04,0.06,-1.3891155949033939e-06,1.9450411753275014e-07,True
1,2,1,2.0,0.04,0.06,-1.3651845785521821e-05,1.0006110118185091e-07,True
0,2,1,2.0,0.045,0.055,-1.3990904058719079e-06,1.931174009940304e-07,True
1,2,1,2.0,0.045,0.055,-1.4865730923679825e-05,9.189045123157543e-08,True
0,2,1,3.0,0.04,0.08,-1.5040447448086594e-06,1.7964139954628715e-07,True
1,2,1,3.0,0.04,0.08,-1.2703208123707887e-05,1.0753336552163819e-07,True
0,2,1,3.0,0.04,0.06,-1.4109981262579771e-06,1.9148764120205952e-07,True
1,2,1,3.0,0.04,0.06,-1.3688475700896995e-05,9.979334093237349e-08,True
0,2,1,3.0,0.045,0.055,-1.4099733156645227e-06,1.9162682012200033e-07,True
1,2,1,3.0,0.045,0.055,-1.4875607814917211e-05,9.18294391368859e-08,True
