case,axis,fraction,sign,parts,block,real_A2_eV,imag_A2_eV,magnitude_A2_eV,phase_rad,offset_A,residual_rms_A
axis0_fraction0.5_sign-1,0,0.5,-1,1,0,0.0023472721508849856,1.7489166117980372e-05,0.002347337304532889,0.007450709319933319,-5.063214607437421e-05,0.007759687478286105
axis0_fraction0.5_sign-1,0,0.5,-1,2,0,0.0023124361799056843,3.616294830338457e-05,0.0023127189290890466,0.01563718861868469,-9.511285523776504e-05,0.007838810710773907
axis0_fraction0.5_sign-1,0,0.5,-1,2,1,0.0023821081218643033,-1.1846160674238295e-06,0.0023821084164175033,-0.0004972973136261506,-6.151436910983429e-06,0.0076792135111875106
axis0_fraction0.5_sign-1,0,0.5,-1,4,0,0.002345813964607483,5.39055418514632e-05,0.0023464332430286135,0.02297541804010673,-0.00012799746876997954,0.007532501589437434
axis0_fraction0.5_sign-1,0,0.5,-1,4,1,0.0022790374661874873,2.3749857621735844e-05,0.0022791612115037707,0.010420626385700375,-6.572363258838428e-05,0.008133249388575101
axis0_fraction0.5_sign-1,0,0.5,-1,4,2,0.0023549134761152585,1.4429945580066503e-05,0.002354957686099411,0.00612751386763871,-6.877907478293126e-05,0.007733447980126505
axis0_fraction0.5_sign-1,0,0.5,-1,4,3,0.002409261494358163,-6.289083614270944e-06,0.0024092697027874727,-0.002610372242405337,5.402860440970756e-05,0.007623952333745861
axis0_fraction0.5_sign+1,0,0.5,1,1,0,0.0023804573877585673,-6.011193906136994e-06,0.0023804649775593253,-0.0025252210603590427,2.0575755358700497e-05,0.007596855481891981
axis0_fraction0.5_sign+1,0,0.5,1,2,0,0.002370774167856277,1.1063509304310306e-05,0.0023707999823293297,0.004666589143740979,-2.0948144659330697e-05,0.007462783871690811
axis0_fraction0.5_sign+1,0,0.5,1,2,1,0.002390140607660873,-2.3085897116584294e-05,0.002390252096126089,-0.009658502587374164,6.209965537673176e-05,0.007728310420832512
axis0_fraction0.5_sign+1,0,0.5,1,4,0,0.0023868153398052205,-2.2797639501252353e-05,0.002386924213018993,-0.009551198149137718,-8.010079407621525e-05,0.007586217808723657
axis0_fraction0.5_sign+1,0,0.5,1,4,1,0.0023547704646985127,3.538335783196064e-05,0.0023550362891955434,0.015025114199779348,3.138678466376877e-05,0.007336650621528634
axis0_fraction0.5_sign+1,0,0.5,1,4,2,0.0024595732841551344,-4.165833054432086e-05,0.002459926046984627,-0.016935599357174404,1.4229651761149517e-05,0.00784863952434933
axis0_fraction0.5_sign+1,0,0.5,1,4,3,0.0023207389366586293,-1.2408906812235969e-05,0.00232077211140855,-0.005346912727358847,0.00010648582348474808,0.0076048972823176166
axis0_fraction1_sign-1,0,1.0,-1,1,0,0.0023654886830030415,2.8600904616012972e-06,0.0023654904120568557,0.0012090901505599648,1.6042577958813715e-05,0.007747204054875349
axis0_fraction1_sign-1,0,1.0,-1,2,0,0.002365438171868894,1.5679299019221066e-05,0.0023654901363886916,0.00662839958284228,4.100962359088716e-05,0.0076789389509277235
axis0_fraction1_sign-1,0,1.0,-1,2,1,0.0023655391941372035,-9.959118096018735e-06,0.0023655601584048843,-0.004210058865304296,-8.924467673259405e-06,0.00781467817662907
axis0_fraction1_sign-1,0,1.0,-1,4,0,0.002353196400697816,2.0044258190877488e-05,0.002353281766500471,0.008517679799189158,6.212500686223544e-05,0.00782436344852314
axis0_fraction1_sign-1,0,1.0,-1,4,1,0.002377687461586021,9.399767659790733e-06,0.002377706041674503,0.003953302880713874,1.738246416456914e-05,0.0075305117384160385
axis0_fraction1_sign-1,0,1.0,-1,4,2,0.002383052540798321,1.7300996097535382e-06,0.0023830531688256544,0.0007260013265205533,-2.26119476085193e-05,0.0074573158038810155
axis0_fraction1_sign-1,0,1.0,-1,4,3,0.0023480221234196594,-2.070001749519072e-05,0.0023481133666823813,-0.008815709630679281,-4.5024872085548656e-07,0.008156094255984042
axis0_fraction1_sign+1,0,1.0,1,1,0,0.0023522341447225026,7.948595797470866e-06,0.0023522475745068913,0.00337915575330287,5.44206988933278e-06,0.007991041340084784
axis0_fraction1_sign+1,0,1.0,1,2,0,0.002350103983162554,-5.606115724335605e-06,0.002350110669779195,-0.002385471081569766,1.021590970186629e-05,0.008170399039971472
axis0_fraction1_sign+1,0,1.0,1,2,1,0.002354364306282464,2.150330731927747e-05,0.0023544625031889075,0.009133127513932937,6.682300767992129e-07,0.0078074297652650625
axis0_fraction1_sign+1,0,1.0,1,4,0,0.002352932079041948,2.2939973373618952e-05,0.00235304390332247,0.009749217488939579,2.4548103885825228e-05,0.00780706641770527
axis0_fraction1_sign+1,0,1.0,1,4,1,0.002347273287190552,-3.3490100080216554e-05,0.002347512187734437,-0.014266693212429871,9.075065114170398e-06,0.008517730594186267
axis0_fraction1_sign+1,0,1.0,1,4,2,0.002369462131881549,4.468124175740143e-05,0.00236988337430044,0.01885488955550824,-6.432582293167501e-07,0.007845440646226923
axis0_fraction1_sign+1,0,1.0,1,4,3,0.002339268761272294,-2.2553713325698272e-06,0.002339269848513476,-0.0009641348916709063,1.2928427886648694e-05,0.007768683148799648
axis1_fraction0.5_sign-1,1,0.5,-1,1,0,0.011943040660460723,1.1492949451749978e-05,0.011943046190369741,0.0009623132191226227,-0.00014386798885621864,0.017454232830996112
axis1_fraction0.5_sign-1,1,0.5,-1,2,0,0.011764531477673963,-0.0001945564237270538,0.011766140110129362,-0.016536033804373417,-0.00018543934737290846,0.016812116629448183
axis1_fraction0.5_sign-1,1,0.5,-1,2,1,0.012121549843247564,0.00021754232263055258,0.012123501774011936,0.017944815160678636,-0.00010229663033952832,0.018072343403111438
axis1_fraction0.5_sign-1,1,0.5,-1,4,0,0.011444421680250684,-0.0005864529226168624,0.011459437797110193,-0.0511987781900105,7.574111600292366e-05,0.017861714268902186
axis1_fraction0.5_sign-1,1,0.5,-1,4,1,0.012085008990401255,0.00010370262324371575,0.012085453923297495,0.008580885463171005,-0.00041086075465586,0.015684939325139795
axis1_fraction0.5_sign-1,1,0.5,-1,4,2,0.012131933834367758,0.00018014691265009472,0.012133271260118374,0.014847894533581143,7.066397195949888e-06,0.017954058407100734
axis1_fraction0.5_sign-1,1,0.5,-1,4,3,0.012111329837768147,0.00021317934674425118,0.012113205846227963,0.01759982909344347,-0.00020993767822485051,0.01818921289656604
axis1_fraction0.5_sign+1,1,0.5,1,1,0,0.011931631554471807,2.7688934524340887e-05,0.011931663682352198,0.002320628548857901,-8.697375243149327e-05,0.017598999581276725
axis1_fraction0.5_sign+1,1,0.5,1,2,0,0.011968135775649313,-7.074735447478448e-05,0.011968344878576242,-0.0059112406278619516,-0.00015250875188322483,0.017839949139599017
axis1_fraction0.5_sign+1,1,0.5,1,2,1,0.01189512733329437,0.0001261252235234674,0.01189579597367472,0.010602702580233986,-2.1438752979761625e-05,0.01735428593295971
axis1_fraction0.5_sign+1,1,0.5,1,4,0,0.011603979519650363,-1.6125763617671647e-05,0.011603990724432578,-0.0013896743965894113,-8.807811646301696e-05,0.017524812228401868
axis1_fraction0.5_sign+1,1,0.5,1,4,1,0.012332198119331846,-0.00010145449326191449,0.01233261543504276,-0.008226611635109765,-0.0002123533596968208,0.018147403517189457
axis1_fraction0.5_sign+1,1,0.5,1,4,2,0.012123486604741112,0.00014405585037063196,0.012124342437565973,0.011881818807515923,5.494219003770154e-05,0.017154732905208327
axis1_fraction0.5_sign+1,1,0.5,1,4,3,0.01166665280816145,0.00013754355598701772,0.01166746356223044,0.011788915494661703,-9.757433203547882e-05,0.01755043875116749
axis1_fraction1_sign-1,1,1.0,-1,1,0,0.012107167484125766,-4.302874756750956e-05,0.012107243945745434,-0.003553974656928796,-3.99547170026655e-05,0.01733973878583142
axis1_fraction1_sign-1,1,1.0,-1,2,0,0.012217401442072751,-5.278108243082393e-05,0.012217515452800701,-0.004320129310676599,-2.6088082559685523e-05,0.016977964533463064
axis1_fraction1_sign-1,1,1.0,-1,2,1,0.011996933526178852,-3.327641270419401e-05,0.011996979676201697,-0.002773736079552004,-5.382135144564601e-05,0.01769335869312718
axis1_fraction1_sign-1,1,1.0,-1,4,0,0.012213505660558134,0.00011278352974866855,0.01221402638956819,0.009234066553597535,4.041231567120937e-05,0.01676189553987694
