observable,role,target,scale,units,u,v,A,B,C,D3,D1,D2,D_Eg,K3
normal_strain_force_ev,exact,0.0,0.1,eV/strain,-24.26376039308919,14.453921043744472,0.6297072279030798,-1.2594144558061595,0.0,0.0,0.0,0.0,0.0,0.0
cohesive_ev_atom,exact,3.36,0.0672,eV/atom,-6.065940098272292,7.226960521872236,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
C11_GPa,exact,113.99999999999996,5.699999999999998,GPa,1183.1930794169982,-314.67888382495266,-3.0075359233286436,13.66597434720763,30.603610003690505,0.0,0.0,0.9574144684683817,19.29457918677708,0.0
C12_GPa,exact,62.000000000000014,3.100000000000001,GPa,929.9203606801948,-330.70462532893845,-5.9249783559125655,19.500859212561622,30.60361000369052,0.0,0.0,-0.47870723423419087,-9.64728959338854,-0.0
C44_GPa,exact,32.0,1.6,GPa,695.8408375434738,-191.2634632599627,-3.675461619329313,7.350923238844765,2.7895046505063722e-15,0.0,0.0,11.578336852703371,1.6464647273824373e-27,0.0
perfect_Haa,exact,19.66091286328976,1.9660912863289761,eV/L0^2,301.5333422130673,-84.70794544640631,-1.1724766965856586,2.760297577635006,1.6613767378547555,0.12512240106787656,2.1181354511521895,1.1917743188060361,2.1851457885918024,2.6699716561937514e-49
perfect_Hxx,exact,4.393593035123306,0.43935930351233066,eV/L0^2,49.18708829959448,-9.073719072259028,-0.03903492235938844,0.07806984471877688,3.4454826488447084e-36,0.08089791930228829,0.009111155219434763,0.3371987376283928,0.7696832316449912,7.027570608212964e-50
saddle_energy_at_source_state,fit,0.07624909750742465,0.007624909750742465,eV/cell,-0.6191703294889347,0.4914937517022308,0.02442568607347062,-0.04864276690758329,0.0008263008797845588,0.0015993081380621214,0.000894340483973822,0.0009407331684605938,0.0048573050014978384,1.2785325916859663e-06
saddle_normal_force_at_source_state,fit,1.4903612010162394e-15,0.03173805605024358,eV/L0,-24.25588979226652,15.603221742679807,0.7346679020866611,-1.4567411228229576,0.0496434597967047,-0.007071557490130815,0.057311451444336955,0.001984305828021185,0.04670948064044516,-1.133947266942757e-05
fault_energy_at_source_state,fit,0.06670794504308616,0.006670794504308616,eV/cell,-0.5173336182252746,0.32339160048935955,0.014540434045670736,-0.029006791367464313,0.0002945857510534697,0.0015596335590303504,0.0003675462933928697,0.00019854949453182295,0.00018602987775927723,1.2162072650183053e-06
fault_normal_force_at_source_state,fit,5.29078226360765e-15,0.03173805605024358,eV/L0,-24.484806425124326,16.165557355918146,0.7490563606604269,-1.4904758391222255,0.0302814791367087,-0.00774297096747534,0.037699390402447235,0.01965560436425132,0.010399003347127468,-1.2083310689327902e-05
saddle_path_force_at_source_state,fit,2.296700476743968e-16,0.03173805605024358,eV/L0,-1.9533870015813557,0.4247441734503211,0.0020408559911489557,-0.004040324994376495,0.00016305929599610175,-0.0005235318616667005,0.0015250869326451243,-0.002776749409679759,-0.04238022526429085,-8.360641395454704e-07
opening_1.1h_energy,fit,0.05670265774764735,0.005670265774764736,eV/cell,-1.6550812314257008,1.1994666284398559,0.05912555666421304,-0.11701853927426908,0.004813823503853123,0.00022420684712985174,0.00576737830607819,0.002218541685696641,0.006662034609700365,2.4579029176371285e-08
opening_1.5h_energy,fit,0.4710312483934004,0.04710312483934004,eV/cell,-2.9784116463464296,3.322280835766848,0.2275691156421884,-0.43638466935652565,0.0681784233565646,0.0004834197279919894,0.0600429771009793,0.006222424781667224,0.03054905183824801,1.0679902576391427e-07
opening_2h_energy,fit,0.7060534019484034,0.07060534019484034,eV/cell,-3.0610332207799305,4.039020646674777,0.33071264301050296,-0.6211688655906251,0.13969026538053866,0.0005116189157513754,0.09032401150082778,0.0064865359593691725,0.03200465512734099,1.1634664916507644e-07
opening_40h_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,-3.066549978098499,4.5270494883467665,0.3976449955191397,-0.7363996552810514,0.19800186860853217,0.0006277873674567765,0.09725944438569178,0.006495537049427712,0.03217069173187668,1.781831885522595e-07
direct_quarter_energy,fit,0.117221996542065,0.0117221996542065,eV/cell,1.4106218737296268,-0.23994795127088114,-0.0009976697917499777,0.0019958340689905096,1.978925571158694e-06,0.002020850959775719,0.00039284315745546325,0.0053037018265977,0.015863336180749435,2.0418557860930023e-06
direct_half_energy,fit,0.26732847628894163,0.026732847628894163,eV/cell,3.1780314655508852,-0.5007363761731788,-0.0020132762846452046,0.004028566344779438,8.063186652772478e-06,0.0039851699466707646,0.0011142251010046946,0.007286460194103702,0.01945225131778919,7.940532636255551e-06
oblique_energy,fit,0.13339289745734875,0.013339289745734876,eV/cell,-0.5936426966038914,0.8133655044409079,0.046964711047634555,-0.09315846923502802,0.003026262776107559,0.0018407673920130413,0.002733047779537577,0.002641570626773484,0.010993465030959012,1.691192089765296e-06
opening_1.25h_energy,fit,0.24853683654490819,0.02485368365449082,eV/cell,-2.598070160077694,2.339357811212121,0.13413546751876826,-0.26185025499681025,0.02430447932860609,0.0005301700443628074,0.026043985148131284,0.00501290495641273,0.025973159928179324,1.3514787229139905e-07
opening_3h_energy,fit,0.7719163228888833,0.07719163228888834,eV/cell,-3.066443977219379,4.374822876248539,0.3885699036947483,-0.7210104363651053,0.18954523665258755,0.0006243719983181584,0.09711255644631286,0.006495531565543648,0.03216905444756572,1.7616437010417114e-07
saddle_Haa,fit,12.717337762538286,1.2717337762538286,eV/L0^2,255.075099781128,-75.76169766284849,-1.1595274261532165,2.6808883038118614,1.4040425810873594,0.10549787979251013,1.7246980586003386,1.173001832113648,1.2749172367309758,0.00021760569823935723
