radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.09653344501179872,-0.009945796569661932,0.10647924158146066,2,True
1.0,0.13707823752416368,-0.018684208687918508,0.15576244621208218,4,True
1.5,0.2502333384264495,-0.01746268299906883,0.2676960214255184,10,True
2.0,0.3322133681463035,-0.014471713046000596,0.3466850811923041,18,True
2.5,0.3892108943463368,-0.013643658463196482,0.4028545528095334,30,True
3.0,0.432274422163902,-0.0070224788387594755,0.4392969010026615,40,True
3.5,0.48239074586411296,-0.004852072786871547,0.4872428186509845,56,True
4.0,0.5193644525613643,-0.0027949665177798245,0.5221594190791441,72,True
4.5,0.552110464605402,-0.0020352190907288394,0.5541456836961309,90,True
5.0,0.5862983431542266,-0.0015625981390581124,0.5878609412932847,112,True
5.5,0.6171211197960258,-0.0013129128702374124,0.6184340326662633,136,True
6.0,0.639781846995722,-0.001032448675225929,0.640814295670948,158,True
6.5,0.6695622662283752,0.00016271415943228465,0.669399552068943,188,True
7.0,0.696632857494563,0.0013857395942896175,0.6952471179002737,220,True
7.5,0.7216247921648121,0.0029361694261438457,0.7186886227386684,254,True
8.0,0.7428062043433408,0.004520511698194445,0.7382856926451462,286,True
