j,l,ux,uy,uz
-9,0,-0.4934964733416982,-0.00045752088434323416,0.0008151118468571654
-9,1,0.4884474307072222,0.00020427424207934147,0.0013811623588553816
-9,2,0.47060309416244095,0.0006719796451583153,0.0012718454837751347
-9,3,0.4529479743765742,0.0007692138059469887,0.0009224584538584943
-9,4,0.435569943536068,0.0007163897235040966,0.0005767977317705575
-9,5,0.4187351024685945,0.0005173528834730809,0.00026314519534594624
-9,6,0.40272113303569906,0.00028678141007412765,7.477755193512601e-05
-9,7,0.38781142101120136,8.526193464982705e-05,4.858070783537576e-07
-8,-2,-0.4579519360389331,-0.0013717830020727314,0.00012546093331748618
-8,-1,-0.4759324230557938,-0.001794120612121548,0.0008803862223050879
-8,0,-0.4958410128320901,-0.0017755107934413676,0.0020820173792183445
-8,1,0.48373984882705423,0.00021608121421607402,0.0025165263597145713
-8,2,0.46387240559854886,0.0015448985285441985,0.002009863163773007
-8,3,0.4446597864022983,0.0018008872522113023,0.001229807477570405
-8,4,0.4260075503553061,0.001635621046649208,0.000588866471444216
-8,5,0.4081415224384251,0.0011473063401008445,0.00011926449262074311
-8,6,0.39133755147886407,0.0005746720879911231,-9.309247503826902e-05
-8,7,0.37589313220278664,0.00012114520487729665,-0.00011077955962966976
-8,8,0.36203018661546993,-7.595104375461148e-05,-4.850255868357996e-05
-7,-3,-0.436243209369466,-0.0019988948778222166,-8.846315749782553e-05
-7,-2,-0.45456618612273186,-0.003773448856372222,0.00030302314662305905
-7,-1,-0.47553445435014646,-0.00445016620157202,0.001053087298273665
-7,0,-0.4984786913609948,-0.0034816177782632024,0.0022221471387497576
-7,1,0.4779767412052116,0.00035205964182554226,0.0025805352769948053
-7,2,0.4556461313225068,0.0027109971326154704,0.0018237996659223189
-7,3,0.4346430188257829,0.0029952702982765605,0.0007890805196374406
-7,4,0.41451551533106257,0.0025495337137234337,5.224185222882876e-05
-7,5,0.39550728853553463,0.00161605864701165,-0.00037648303486074975
-7,6,0.37795613545297674,0.0006435233955787861,-0.00042657687099641585
-7,7,0.3621489450790827,-3.492931968360815e-05,-0.00030660308687493077
-7,8,0.34820350403261524,-0.00028815270464530355,-0.0001685346103960108
-7,9,0.3360701239650444,-0.0002246668973349451,-1.6982624407603887e-05
-6,-4,-0.4120807206755822,-0.0021013035169950667,-0.0006498331188655138
-6,-3,-0.4283965801660778,-0.004760439434069067,-0.000924725318377969
-6,-2,-0.44879034570217297,-0.0071244154712062965,-0.0008567555842216922
-6,-1,-0.47320895114930395,-0.007750840469995054,-9.935028960654922e-05
-6,0,-0.5007073293793308,-0.005691874327753211,0.0012638011025013338
-6,1,0.47097621486600816,0.0006553425727595648,0.0017503188111855825
-6,2,0.44528805644215447,0.004218739047310958,0.0009788472014287247
-6,3,0.42228531963638616,0.004341623059866763,-0.00017406759939887764
-6,4,0.4005376377447991,0.003319441548754809,-0.0008532381693051605
-6,5,0.38041158914667683,0.001769721646691511,-0.001001730948195068
-6,6,0.3623590348782606,0.0004623626358482617,-0.0007969511548006443
-6,7,0.3465503512214764,-0.00032147020225641395,-0.0005309012332172972
-6,8,0.3328936665148641,-0.000622814557983121,-0.0002874534226971116
-6,9,0.3212064160752838,-0.0004984514186623572,-7.566929510840087e-05
-5,-5,-0.3869771945393233,-0.0017527223591202851,-0.0012343370108144236
-5,-4,-0.39950065631337994,-0.0045722476312604916,-0.002362076952757727
-5,-3,-0.41651487805622306,-0.008073925872930331,-0.003239851844182091
-5,-2,-0.4388654625576305,-0.011043311992498717,-0.0034031499718692963
-5,-1,-0.4672678696443503,-0.012039447992624568,-0.002591547003060152
-5,0,-0.5012287425956461,-0.008669880611955188,-0.0008203482574403078
-5,1,0.46274995569381283,0.00127285707769506,-9.583442612311988e-06
-5,2,0.4320585504363664,0.006262708718387901,-0.0006219519119032553
-5,3,0.40679041254256654,0.00573648186057099,-0.0017052920211248475
-5,4,0.3834225239409373,0.0036445354418443705,-0.0018928763113848493
-5,5,0.3625354449515376,0.0015262044980810764,-0.0015613887643739874
-5,6,0.3445060161544452,7.124155932547431e-05,-0.0011002990539203186
-5,7,0.32918101872774286,-0.0007587168378258064,-0.0007238411451384639
-5,8,0.316230792443361,-0.0011207088148581183,-0.0003769740777046816
-5,9,0.3052955493247281,-0.0009056513396486122,-0.0001430866965705854
-5,10,0.29607648391754954,-0.00038258238058075524,3.935494297940717e-05
-4,-6,-0.362621154504942,-0.0012078645375988197,-0.0015152558696416103
-4,-5,-0.3706883479479135,-0.0034699790057964703,-0.0033356476594339646
-4,-4,-0.38250046546725436,-0.00706364420309842,-0.005215736016202572
-4,-3,-0.399389558935207,-0.01131405660480151,-0.006669558875241731
-4,-2,-0.42289841593225347,-0.015492179588228074,-0.007396153517576126
-4,-1,-0.45513526773459423,-0.017720660699657644,-0.00679091029846035
-4,0,-0.4976724714254522,-0.01313321274025261,-0.004471486383453247
-4,1,0.45346795077764035,0.003030855569707052,-0.0030308405280115047
-4,2,0.4153609608943965,0.00901133563505748,-0.003265813731291971
-4,3,0.387219803530115,0.006605045994651465,-0.003390170410410886
-4,4,0.3626391326306383,0.003341466579912483,-0.0025472133218640593
-4,5,0.34183232795120594,0.0010329146966332034,-0.001705566334770526
-4,6,0.3245450196013514,-0.0003691594035595434,-0.0011203621179753222
-4,7,0.31024307436356396,-0.0012677157042218629,-0.0005776382080974326
-4,8,0.2983856446064852,-0.0015715151931699975,-0.0001843713912699465
-4,9,0.2884974736316461,-0.0013682375871701198,8.42699221635536e-05
-4,10,0.2801942026484648,-0.0006638611993151379,0.00015546465642183934
-3,-7,-0.340393228096903,-0.0007635379109523143,-0.0013014396060053981
-3,-6,-0.34446683353035557,-0.0021255183251119893,-0.0033950743147781485
-3,-5,-0.35071272473058857,-0.004859851847953529,-0.005979371314354142
-3,-4,-0.36066865857439556,-0.008900737298293219,-0.008546965493066922
-3,-3,-0.3760481855727669,-0.014078540420987315,-0.011060028539215616
-3,-2,-0.39907314762419815,-0.020119279253759018,-0.013107370049714705
-3,-1,-0.4337265868396664,-0.025209615443964408,-0.01363049794375585
-3,0,-0.486683960609197,-0.021402304884610094,-0.01107760127498108
-3,1,0.44162668848835834,0.008127375695416286,-0.008282694633361783
-3,2,0.3936133240624007,0.011632765247498704,-0.006483679872272078
-3,3,0.36259801355298626,0.006517142699841405,-0.004247859734733172
-3,4,0.33815246334551113,0.0026743007000351923,-0.0022800727905855776
-3,5,0.31856074556507813,0.0005952479596933743,-0.0013129309318102346
-3,6,0.3027727156390943,-0.0008729347109954769,-0.0005226861723863767
-3,7,0.28998681806325155,-0.0016911000999916472,6.791176075822047e-05
-3,8,0.279550334106266,-0.001975854931084884,0.000414774636765425
-3,9,0.2709363748061172,-0.0017005332027950713,0.0004929839803689614
-3,10,0.26375777716495646,-0.0007936592414744584,0.0002922765889480611
-2,-7,-0.3224851753322437,-0.0007409683080975074,-0.002162232560081928
-2,-6,-0.3238694590307229,-0.002275831029567648,-0.005095066751652823
-2,-5,-0.32721647153197697,-0.005191564238299381,-0.008209683552914475
