radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.08916091309550724,-0.008862679862598016,0.09802359295810525,2,True
1.0,0.12853361497881877,-0.01626003115478029,0.14479364613359907,4,True
1.5,0.24842175003183972,-0.01858383637877214,0.26700558641061184,10,True
2.0,0.32570448925965373,-0.01407873288377906,0.3397832221434328,18,True
2.5,0.38481536765963015,-0.012592251710848358,0.3974076193704785,30,True
3.0,0.4269505420885031,-0.007379423902754657,0.4343299659912577,40,True
3.5,0.477807987843967,-0.004572782957029361,0.48238077080099634,56,True
4.0,0.5151070940015492,-0.002976060866369635,0.5180831548679189,72,True
4.5,0.5467238922489404,-0.0021129352218735775,0.548836827470814,90,True
5.0,0.5811448118195564,-0.0016750333281465198,0.5828198451477029,112,True
5.5,0.6119497283934723,-0.001371699543992705,0.613321427937465,136,True
6.0,0.6346956510431676,-0.0010325838003755812,0.6357282348435432,158,True
6.5,0.6645593215344554,8.143235308964331e-05,0.6644778891813659,188,True
7.0,0.6916026645564308,0.0013861876422974256,0.6902164769141335,220,True
7.5,0.7166115325493115,0.002994610193837318,0.7136169223554741,254,True
8.0,0.7377164695245351,0.004472040794424387,0.7332444287301108,286,True
