j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-23,0,-19.77424671974468,0.993280038741893,0.0,0.0,0.993280038741893,0.0,0.0,False
-22,0,-18.908221315960244,0.9929746655086994,0.0,0.0,0.9929746655086994,0.0,0.0,False
-21,0,-18.042195912175806,0.9926402212948431,0.0,0.0,0.9926402212948431,0.0,0.0,False
-20,0,-17.176170508391365,0.9922723480741953,0.0,0.0,0.9922723480741953,0.0,0.0,False
-19,0,-16.310145104606928,0.9918657710858574,0.0,0.0,0.9918657710858574,0.0,0.0,False
-18,0,-15.444119700822489,0.9914140444544532,0.0,0.0,0.9914140444544532,0.0,0.0,False
-17,0,-14.57809429703805,0.9909092071497969,0.0,0.0,0.9909092071497969,0.0,0.0,False
-16,0,-13.712068893253612,0.9903413101252472,0.0,0.0,0.9903413101252472,0.0,0.0,False
-15,0,-12.84604348946917,0.9896977546317836,0.0,0.0,0.9896977546317836,0.0,0.0,False
-14,0,-11.980018085684733,0.9889623474982352,0.0,0.0,0.9889623474982352,0.0,0.0,False
-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.9819193591208826,0.000487655128695282,0.0005976485352606705,0.9819193591208826,0.000487655128695282,0.0005976485352606705,True
-8,0,-6.783865662978103,0.979517730565197,0.0015915381376379757,0.0006150447071830226,0.979517730565197,0.0015915381376379757,0.0006150447071830226,True
-7,0,-5.917840259193664,0.9763445213200529,0.0031857815932625133,0.000688482777556429,0.9763445213200529,0.0031857815932625133,0.000688482777556429,True
-6,0,-5.0518148554092255,0.971536598360093,0.005374683549484591,0.0009547668235172628,0.971536598360093,0.005374683549484591,0.0009547668235172628,True
-5,0,-4.185789451624787,0.9638773932496241,0.008555152265680196,0.0014299496375710283,0.9638773932496241,0.008555152265680196,0.0014299496375710283,True
-4,0,-3.319764047840348,0.9514483334272041,0.014013570095256557,0.0022794048061890375,0.9514483334272041,0.014013570095256557,0.0022794048061890375,True
-3,0,-2.4537386440559095,0.9299268295420691,0.02521262960633502,0.0039247310115370915,0.9299268295420691,0.02521262960633502,0.0039247310115370915,True
-2,0,-1.5877132402714706,0.884264116853191,0.04439244003065502,0.008195268304012172,0.884264116853191,0.04439244003065502,0.008195268304012172,True
-1,0,-0.7216878364870323,0.753973673157862,0.05839053399605392,0.02384104869599019,0.753973673157862,0.05839053399605392,0.02384104869599019,True
0,0,0.14433756729740643,0.254064290540554,0.05847189713670056,0.02541144800045348,0.254064290540554,0.05847189713670056,0.02541144800045348,True
1,0,1.010362971081845,0.12148264500539047,0.045523422030747954,0.009095386392122162,0.12148264500539047,0.045523422030747954,0.009095386392122162,True
2,0,1.8763883748662837,0.0745368915968896,0.02648221210636159,0.00437491246363198,0.0745368915968896,0.02648221210636159,0.00437491246363198,True
3,0,2.7424137786507226,0.05206119132262798,0.014898646178995103,0.002570614671712711,0.05206119132262798,0.014898646178995103,0.002570614671712711,True
4,0,3.608439182435161,0.038917999921822266,0.00920134397522503,0.0016195236218317713,0.038917999921822266,0.00920134397522503,0.0016195236218317713,True
5,0,4.474464586219599,0.03074146521520181,0.00596175245464067,0.0010850177553735167,0.03074146521520181,0.00596175245464067,0.0010850177553735167,True
6,0,5.340489990004038,0.025563331861556484,0.003807442708381917,0.0007366780237478465,0.025563331861556484,0.003807442708381917,0.0007366780237478465,True
7,0,6.206515393788477,0.02214158877797985,0.0022497252000959053,0.0005473929800890438,0.02214158877797985,0.0022497252000959053,0.0005473929800890438,True
8,0,7.072540797572915,0.019732064728197052,0.0011102659052902092,0.0005055652544199252,0.019732064728197052,0.0011102659052902092,0.0005055652544199252,True
9,0,7.938566201357354,0.017784606302079023,0.00032074088022160727,0.0004936670615485905,0.017784606302079023,0.00032074088022160727,0.0004936670615485905,True
10,0,8.804591605141791,0.015447840188074897,0.0,0.0,0.015447840188074897,0.0,0.0,False
11,0,9.670617008926232,0.014045060544141893,0.0,0.0,0.014045060544141893,0.0,0.0,False
12,0,10.53664241271067,0.012875733304131833,0.0,0.0,0.012875733304131833,0.0,0.0,False
13,0,11.402667816495107,0.011886078650749539,0.0,0.0,0.011886078650749539,0.0,0.0,False
14,0,12.268693220279548,0.011037652501764764,0.0,0.0,0.011037652501764764,0.0,0.0,False
15,0,13.134718624063986,0.010302245368216511,0.0,0.0,0.010302245368216511,0.0,0.0,False
16,0,14.000744027848423,0.009658689874752801,0.0,0.0,0.009658689874752801,0.0,0.0,False
17,0,14.866769431632862,0.009090792850203186,0.0,0.0,0.009090792850203186,0.0,0.0,False
18,0,15.732794835417302,0.008585955545546852,0.0,0.0,0.008585955545546852,0.0,0.0,False
19,0,16.59882023920174,0.0081342289141427,0.0,0.0,0.0081342289141427,0.0,0.0,False
20,0,17.464845642986177,0.0077276519258047596,0.0,0.0,0.0077276519258047596,0.0,0.0,False
21,0,18.330871046770618,0.0073597787051570655,0.0,0.0,0.0073597787051570655,0.0,0.0,False
22,0,19.196896450555055,0.007025334491300672,0.0,0.0,0.007025334491300672,0.0,0.0,False
23,0,20.062921854339493,0.006719961258107067,0.0,0.0,0.006719961258107067,0.0,0.0,False
