j,l,ux,uy,uz
-9,0,-0.4934599989087715,-0.0006697704045643671,0.0006812782148553156
-9,1,0.48845936021211106,-0.0001821152758690851,0.0012789267501159861
-9,2,0.47052779101360176,0.00027673365923248916,0.001308284173085168
-9,3,0.45278249441094476,0.0004373135302725893,0.0010710132525946871
-9,4,0.4353380550152274,0.00046934424527738565,0.000807172283770157
-9,5,0.418467817478241,0.000370929292671084,0.0005248065449934267
-9,6,0.40246600067141264,0.0002205853793063296,0.00029589310772591985
-9,7,0.3876372096203251,7.988128741294754e-05,0.00013286893200091155
-8,-2,-0.4579275211946006,-0.0014415509853010196,-2.9257880342197382e-05
-8,-1,-0.475886009555299,-0.0020208568258855237,0.0005909833521367632
-8,0,-0.49576407544651596,-0.0023777207155940747,0.0017354220437148658
-8,1,0.48375365511868096,-0.000786182577956099,0.0023504667508978884
-8,2,0.4637013152110951,0.000570901995961792,0.002131332650181224
-8,3,0.4442972109080345,0.0010111986111597136,0.001552439388731884
-8,4,0.4255063636448627,0.0010801070685348647,0.0010297797553583423
-8,5,0.4075693719822938,0.0008463689975391421,0.0005649506577264117
-8,6,0.39078077340142975,0.0004976212736512462,0.0002559825274245749
-8,7,0.3754454632107411,0.0001846642904239585,6.263972527671375e-05
-8,8,0.3617880822637957,-7.501482965386755e-06,1.3966356600584668e-05
-7,-3,-0.4362010122568089,-0.001978601298760607,-0.0003191673702298566
-7,-2,-0.4544959632084536,-0.00392911051249284,-0.00015227038636898298
-7,-1,-0.4754451844451507,-0.004979509141235071,0.0005033798575088322
-7,0,-0.4983718367624968,-0.004660604746316433,0.0017047916950146816
-7,1,0.4779726845575561,-0.0014748231530539197,0.0023932744725711106
-7,2,0.4553493655998784,0.001012857366450009,0.0020356045621102376
-7,3,0.434029274824371,0.001690840389868896,0.0012466345693089272
-7,4,0.41368851372300736,0.0016728958975768407,0.0006107841756100589
-7,5,0.3945826889828558,0.001209833732800645,0.0001486526004376761
-7,6,0.3770603810878348,0.0006131023312469192,-9.288500561749347e-05
-7,7,0.36137881103511393,0.00013905701569226145,-0.00012501731080724585
-7,8,0.3476469334627742,-8.778890553821263e-05,-0.00016560645042060218
-7,9,0.33580573321286894,-0.0001275301482299717,-6.604074055548148e-05
-6,-4,-0.41192173523837083,-0.001998492860148752,-0.0009394267179311858
-6,-3,-0.4282137032516656,-0.004711728177671605,-0.0014965010469535464
-6,-2,-0.44865679692780336,-0.007408137688048278,-0.0016114405931564736
-6,-1,-0.47310533775952934,-0.00867381200964694,-0.0008995975340644556
-6,0,-0.5005942630014829,-0.007629751631393414,0.0005908367360433402
-6,1,0.47094233535861013,-0.002255068081908822,0.001545603559560603
-6,2,0.44484817991453546,0.001661520846532026,0.0012411669540119792
-6,3,0.42134962218330524,0.002467688967996036,0.00033730373366578606
-6,4,0.39930395716056016,0.002170715370159159,-0.00027192282797698685
-6,5,0.3790734533017141,0.001327855618911655,-0.0005862432953238164
-6,6,0.3610649492877792,0.0005224877494074271,-0.0005660612418938927
-6,7,0.3454076386246257,2.1510427567431265e-05,-0.0006029942949267667
-6,8,0.33201243701330807,-0.0003277440409218001,-0.0004547015099903211
-6,9,0.3207129983036576,-0.0003439257465241863,-0.0002001001700194268
-5,-5,-0.38655786233910583,-0.0015788762282693194,-0.0015334538148396146
-5,-4,-0.39889461478146193,-0.004327364347248144,-0.003010490581285613
-5,-3,-0.41601263700810476,-0.008012188937699605,-0.0041582217258079625
-5,-2,-0.43861768402957285,-0.0114984720080882,-0.004485630400941725
-5,-1,-0.46721347353316045,-0.013486213334975386,-0.0036803374673414786
-5,0,-0.5011758093386023,-0.011694784520719835,-0.0016883811899962697
-5,1,0.46270158391102184,-0.0031396322550396377,-0.0002584315524252413
-5,2,0.4314447875377756,0.002593282003343042,-0.0003615883370362056
-5,3,0.40543858147099165,0.003278748530826711,-0.001203468821607692
-5,4,0.38169222804680003,0.0023065233766378854,-0.0015086922016233884
-5,5,0.36070085432453597,0.0011625693536829438,-0.001379121017339953
-5,6,0.3427213636306912,0.00038063250983990337,-0.0014564783727843672
-5,7,0.32761009984660955,-0.0003532084202748354,-0.0012352048433206383
-5,8,0.3150120247072893,-0.0007622167423858501,-0.0008499812903570959
-5,9,0.3045122290185297,-0.0007263798226734914,-0.0004633550044179853
-5,10,0.29576378656773955,-0.0003061858329071058,-0.00012989137065109777
-4,-6,-0.3619108703035217,-0.000978800380600981,-0.001732074902800388
-4,-5,-0.3693724695871631,-0.003023441185901014,-0.003894854583345363
-4,-4,-0.3809894196987307,-0.006637926469988102,-0.006120086752967282
-4,-3,-0.39817487575461746,-0.011213252979715607,-0.007889693311948304
-4,-2,-0.4223450752771507,-0.016157920430554328,-0.00883142240691835
-4,-1,-0.4552457140307135,-0.019884160769736196,-0.008253550113636158
-4,0,-0.4979346202011908,-0.017801692106093964,-0.005673113076011546
-4,1,0.4535137132260133,-0.0037881220108374075,-0.003393708269822508
-4,2,0.4143307867916191,0.003946618829460073,-0.0030334850045158996
-4,3,0.3853062086436864,0.003631329583063513,-0.0031094604344196124
-4,4,0.3602864051445543,0.0020899775492210218,-0.002523910666645455
-4,5,0.33933432574518685,0.0011083153526836211,-0.002642939796317884
-4,6,0.32217480057783676,-5.0879350705728766e-05,-0.0022816182603825168
-4,7,0.30823541082237127,-0.0008656507560576793,-0.0016354039140687115
-4,8,0.29686635504980974,-0.0012596084567064163,-0.001023589015051635
-4,9,0.2874983037590899,-0.0011849703615446048,-0.0004914400030190825
-4,10,0.2797237285340096,-0.0006053245935008997,-0.00010201235521469593
-3,-7,-0.3396071673653721,-0.0005171412681967923,-0.0013335195887882163
-3,-6,-0.3426158255724794,-0.0014719832356476054,-0.003630121810798906
-3,-5,-0.3479375001261629,-0.004007378409966437,-0.006447988217347482
-3,-4,-0.3574682414498286,-0.008103940414352131,-0.009352538455476353
-3,-3,-0.37320975321322875,-0.013756938349919564,-0.01229750641505963
-3,-2,-0.3974597463297696,-0.020895197441558273,-0.014777448105647989
-3,-1,-0.43389978408195756,-0.02818379753515662,-0.015505992979932569
-3,0,-0.4879929667619841,-0.028121597180682426,-0.012940219248288034
-3,1,0.441933862780085,-0.002908967574347404,-0.009015488236750942
-3,2,0.3917620033171536,0.004979265100899966,-0.006601253155010286
-3,3,0.35977182684772663,0.0036369470823869967,-0.004613693906654344
-3,4,0.33483476902117365,0.002375430936807897,-0.00438073125412768
-3,5,0.3152546064862182,0.0007066904504206943,-0.0036130009044496557
-3,6,0.2998274444211866,-0.0005786987364172139,-0.002445321552179702
-3,7,0.2875954640948085,-0.0013750792307944582,-0.0014656506168135887
-3,8,0.2777892497218327,-0.0017243160127031983,-0.0007210318484363707
-3,9,0.26981011788370246,-0.0015861589196584374,-0.00020883485727451554
-3,10,0.26323017969207335,-0.0007831722773317372,-1.754262923838254e-06
-2,-7,-0.3209158634796222,-0.000125048120517076,-0.002104771895333434
-2,-6,-0.3206291972320192,-0.0011624310166391519,-0.004925875487507203
-2,-5,-0.3223788924099569,-0.0037385466825652714,-0.007962991084331092
-2,-4,-0.32777137372608145,-0.007983718717555618,-0.01159669956008218
-2,-3,-0.3392859613182725,-0.014449514779610165,-0.01612765529095965
-2,-2,-0.3601613881726117,-0.02403693912340579,-0.02154636618163609
-2,-1,-0.3967530665019153,-0.03687805450655314,-0.02616409756353958
-2,0,-0.4651367003076399,-0.04442958678508839,-0.024260708553823986
-2,1,0.419127416545551,-3.714675443337508e-05,-0.016065440249811814
-2,2,0.35900800911904696,0.006503068048239859,-0.008764628129908523
-2,3,0.32711432020753894,0.005348646047984955,-0.006912267244892396
-2,4,0.305267783904289,0.0024680887530196603,-0.004901914489635766
-2,5,0.28881645045638255,0.00036337512769450377,-0.0027745657191263016
-2,6,0.27594103245349544,-0.0009840253344877467,-0.0013413023772647704
-2,7,0.26587420581143656,-0.00176828574205818,-0.00042429044504299125
-2,8,0.2579423427361359,-0.0021079342335090126,0.00011773665990482698
-2,9,0.2515757655616126,-0.0018444975105040232,0.00029623435925824504
-2,10,0.2463979184814428,-0.0008315203767956692,0.00014514101909549114
-1,-8,-0.30286000963942233,0.0004259255569937491,-0.0008781635691264128
-1,-7,-0.2998492233591759,0.0009248500672836689,-0.002941946742054131
-1,-6,-0.296515132802253,0.0001096575197629108,-0.0051126650426601946
-1,-5,-0.2936486738168669,-0.001942987386683246,-0.007557663102396414
-1,-4,-0.29250973756307047,-0.005454904978397623,-0.01067148719390315
-1,-3,-0.2952656016189414,-0.011271369220587529,-0.015193318491121828
-1,-2,-0.3047853477273893,-0.02158682535715363,-0.022659607375653135
-1,-1,-0.3273913482264775,-0.03763180408685145,-0.03434636816425179
-1,0,-0.39640652019228223,-0.049835080676023324,-0.03558174010389349
-1,1,0.3575671529655798,0.008555453320030599,-0.011740691407903302
-1,2,0.29748765640667374,0.015965921274625854,-0.005539806545276144
-1,3,0.2756652104612447,0.010578801234452938,-0.0005497211041734926
-1,4,0.264969877139592,0.005658086439733651,0.0023284125577105724
-1,5,0.25663150563263465,0.002436717021832794,0.00293547145455423
-1,6,0.2490957538542295,0.000272627758211255,0.0028188125223378917
-1,7,0.24258644012542277,-0.0010948892015736674,0.0024744352128273106
-1,8,0.23720127002575672,-0.0017783049146004731,0.001959178304786171
-1,9,0.23277935940110275,-0.0016210297147053684,0.0012264225990519535
-1,10,0.2292216114762155,-0.0005546716321963316,0.0003805144368937971
0,-8,-0.2836226449540797,0.001296729419045141,-0.000816887855000158
0,-7,-0.2780961010807599,0.0020578272656102156,-0.0017783296787604462
0,-6,-0.27160805755871004,0.001834693663136092,-0.0024336312920396133
0,-5,-0.26390066587369215,0.0007697193820057806,-0.002900549603397732
0,-4,-0.2549973808005364,-0.0012012438503298032,-0.003178383407831665
0,-3,-0.24514335082754596,-0.004330042441425721,-0.0028240417029885044
0,-2,-0.23282435894230732,-0.009277535269172842,-0.00029026133933455665
0,-1,-0.20906852317351024,-0.014777611941182173,0.004326500756522018
0,0,-0.14601667841289118,-0.007198349285853157,0.010498445344544386
