radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.08915849567788324,-0.008860816098035778,0.09801931177591902,2,True
1.0,0.128529658623678,-0.016256025264303302,0.14478568388798127,4,True
1.5,0.24842431814789817,-0.018571430969975378,0.26699574911787355,10,True
2.0,0.3257238651888211,-0.014051215632346207,0.33977508082116736,18,True
2.5,0.38487655083450023,-0.012525285700221702,0.39740183653472183,30,True
3.0,0.4270597242030959,-0.007268853117255882,0.4343285773203517,40,True
3.5,0.47798697762110176,-0.0043974902764093915,0.48238446789751116,56,True
4.0,0.5153653578740225,-0.0027245076724117575,0.5180898655464342,72,True
4.5,0.547079826736652,-0.001766218717233541,0.5488460454538856,90,True
5.0,0.5815826367657073,-0.0012465888041010087,0.5828292255698084,112,True
5.5,0.6124366539283611,-0.0008938208411687666,0.6133304747695298,136,True
6.0,0.6351906590041131,-0.0005474884365390485,0.6357381474406522,158,True
6.5,0.6650353491161549,0.0005495674975594545,0.6644857816185954,188,True
7.0,0.6920330805165422,0.0018106011950515194,0.6902224793214908,220,True
7.5,0.7169699998129035,0.003348445172185832,0.7136215546407177,254,True
8.0,0.7380025600327657,0.00475488880179066,0.733247671230975,286,True
