model,polarization,radius_L0,amplitude_L0,direct_curvature,analytic_curvature,absolute_error,relative_error,harmonic_tail_bound,energy_units,curvature_units
v23_radial_joint,screw,12.0,0.002,14.17518664315054,14.17849815119385,0.003311508043310596,0.00023355844942096748,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,12.0,0.001,14.177674032112009,14.17849815119385,0.0008241190818409905,5.812456813503175e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,12.0,0.0005,14.178298165745673,14.17849815119385,0.00019998544817667607,1.4104840022177711e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,0.002,14.175178373543318,14.17849815119385,0.003319777650531819,0.00023414169929214523,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,0.001,14.177665762282743,14.17849815119385,0.0008323889111068183,5.870783366690446e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,0.0005,14.178289902133656,14.17849815119385,0.00020824906019356604,1.4687667055590659e-05,3.666548875050309e-05,eV/atom,eV/L0^2
Al99_target_only,screw,,0.002,16.322733806806156,16.322041195764406,0.0006926110417495579,4.2434094696952585e-05,0.0,eV/atom,eV/L0^2
Al99_target_only,screw,,0.001,16.322276886526765,16.322041195764406,0.00023569076235929742,1.4440029867168747e-05,0.0,eV/atom,eV/L0^2
Al99_target_only,screw,,0.0005,16.322075381935974,16.322041195764406,3.418617156825121e-05,2.0944789416166287e-06,0.0,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,0.002,287.4378328685534,375.8720204055378,88.43418753698438,0.2352773889409765,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,0.001,348.49409027337686,375.8720204055378,27.37793013216094,0.07283843607891383,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,0.0005,368.593982990717,375.8720204055378,7.278037414820801,0.019363073119856966,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,0.002,287.43782741535995,375.8720204055378,88.43419299017785,0.23527740344908876,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,0.001,348.4940848190732,375.8720204055378,27.377935586464616,0.07283845058997973,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,0.0005,368.5939775373015,375.8720204055378,7.278042868236298,0.019363087628559983,3.666548875050309e-05,eV/atom,eV/L0^2
Al99_target_only,largest_matrix_discrepancy,,0.002,60.08541501234532,60.08625728155553,0.0008422692102101337,1.4017668071186762e-05,0.0,eV/atom,eV/L0^2
Al99_target_only,largest_matrix_discrepancy,,0.001,60.08578134064635,60.08625728155553,0.0004759409091832367,7.92096114343721e-06,0.0,eV/atom,eV/L0^2
Al99_target_only,largest_matrix_discrepancy,,0.0005,60.08595853046472,60.08625728155553,0.00029875109080990114,4.972036940276148e-06,0.0,eV/atom,eV/L0^2
