model,polarization,radius_L0,amplitude_L0,direct_curvature,analytic_curvature,absolute_error,relative_error,analytic_operator_tail_bound,energy_units,curvature_units
v23_radial_joint,screw,12.0,0.0005,14.178298165745673,14.17849815119385,0.00019998544817667607,1.4104840022177711e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,12.0,0.00025,14.17845435014442,14.17849815119385,4.380104942924845e-05,3.0892587467024057e-06,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,12.0,0.000125,14.178493415784033,14.17849815119385,4.735409817158143e-06,3.3398528997974353e-07,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,12.0,6.25e-05,14.178503079165239,14.17849815119385,4.92797138917922e-06,3.475665291130525e-07,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,12.0,3.125e-05,14.178505807649344,14.17849815119385,7.656455494498005e-06,5.400046896308908e-07,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,12.0,1.5625e-05,14.178505807649344,14.17849815119385,7.656455494498005e-06,5.400046896308908e-07,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,12.0,7.8125e-06,14.178483979776502,14.17849815119385,1.4171417348052273e-05,9.995005957330605e-07,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,0.0005,14.178289902133656,14.17849815119385,0.00020824906019356604,1.4687667055590659e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,0.00025,14.178446079426976,14.17849815119385,5.207176687349602e-05,3.6725869212439477e-06,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,0.000125,14.178485173488298,14.17849815119385,1.2977705551975305e-05,9.153089003399728e-07,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,6.25e-05,14.178494893712923,14.17849815119385,3.2574809267771343e-06,2.297479529955737e-07,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,3.125e-05,14.178495803207625,14.17849815119385,2.347986225004206e-06,1.6560189941561276e-07,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,1.5625e-05,14.17849853169173,14.17849815119385,3.8049788031457865e-07,2.683626121324778e-08,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,screw,16.0,7.8125e-06,14.17849853169173,14.17849815119385,3.8049788031457865e-07,2.683626121324778e-08,3.666548875050309e-05,eV/atom,eV/L0^2
Al99_target_only,screw,,0.0005,16.322075381935974,16.322041195764406,3.418617156825121e-05,2.0944789416166287e-06,0.0,eV/atom,eV/L0^2
Al99_target_only,screw,,0.00025,16.322037708960124,16.322041195764406,3.4868042817493006e-06,2.1362550428616345e-07,0.0,eV/atom,eV/L0^2
Al99_target_only,screw,,0.000125,16.32203748158645,16.322041195764406,3.7141779571925326e-06,2.2755597250956328e-07,0.0,eV/atom,eV/L0^2
Al99_target_only,screw,,6.25e-05,16.322040210070554,16.322041195764406,9.85693851873748e-07,6.039035438387685e-08,0.0,eV/atom,eV/L0^2
Al99_target_only,screw,,3.125e-05,16.322039300575852,16.322041195764406,1.8951885536466762e-06,1.1611222705543156e-07,0.0,eV/atom,eV/L0^2
Al99_target_only,screw,,1.5625e-05,16.322024748660624,16.322041195764406,1.6447103782013528e-05,1.0076621903554184e-06,0.0,eV/atom,eV/L0^2
Al99_target_only,screw,,7.8125e-06,16.322010196745396,16.322041195764406,3.099901901038038e-05,1.8992121535443829e-06,0.0,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,0.0005,368.593982990717,375.8720204055378,7.278037414820801,0.019363073119856966,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,0.00025,374.02323941648774,375.8720204055378,1.8487809890500557,0.004918644880923417,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,0.000125,375.40796256507747,375.8720204055378,0.4640578404603275,0.001234616612217243,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,6.25e-05,375.75589294647216,375.8720204055378,0.1161274590656376,0.0003089547845044338,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,3.125e-05,375.8429866138613,375.8720204055378,0.0290337916765111,7.724382263196716e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,1.5625e-05,375.86476537398994,375.8720204055378,0.007255031547856561,1.9301866470478046e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,12.0,7.8125e-06,375.87020779028535,375.8720204055378,0.0018126152524473582,4.822426661332813e-06,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,0.0005,368.5939775373015,375.8720204055378,7.278042868236298,0.019363087628559983,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,0.00025,374.02323395951953,375.8720204055378,1.8487864460182664,0.004918659399078318,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,0.000125,375.40795705126584,375.8720204055378,0.464063354271957,0.0012346312816028382,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,6.25e-05,375.7558872621303,375.8720204055378,0.11613314340752368,0.0003089699075824459,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,3.125e-05,375.8429802473984,375.8720204055378,0.02904015813942351,7.726076047931407e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,1.5625e-05,375.86476173601113,375.8720204055378,0.0072586695266636525,1.9311545240374706e-05,3.666548875050309e-05,eV/atom,eV/L0^2
v23_radial_joint,largest_matrix_discrepancy,16.0,7.8125e-06,375.8701932383701,375.8720204055378,0.001827167167675725,4.8611417410304725e-06,3.666548875050309e-05,eV/atom,eV/L0^2
Al99_target_only,largest_matrix_discrepancy,,0.0005,60.08595853046472,60.08625728155553,0.00029875109080990114,4.972036940276148e-06,0.0,eV/atom,eV/L0^2
Al99_target_only,largest_matrix_discrepancy,,0.00025,60.08606658269855,60.08625728155553,0.0001906988569828627,3.1737516299479296e-06,0.0,eV/atom,eV/L0^2
Al99_target_only,largest_matrix_discrepancy,,0.000125,60.0861619659554,60.08625728155553,9.531560013442686e-05,1.5863128184356867e-06,0.0,eV/atom,eV/L0^2
Al99_target_only,largest_matrix_discrepancy,,6.25e-05,60.08622131048469,60.08625728155553,3.597107084374329e-05,5.986572050309391e-07,0.0,eV/atom,eV/L0^2
Al99_target_only,largest_matrix_discrepancy,,3.125e-05,60.08624768583104,60.08625728155553,9.595724492328372e-06,1.596991546781723e-07,0.0,eV/atom,eV/L0^2
