model,first_ring,second_ring,maximum_pair_force_change_eV_L0,coarse_infinite_majorant,majorant_over_actual_change,full_environment_force_certified
unchanged,3,5,2.0233297422135478e-05,0.013603254630688242,672.3202030236611,False
unchanged,5,7,1.7528126392476328e-06,0.0012175300127000943,694.6150349661444,False
unchanged,7,9,3.24133444293668e-07,0.000235916239119693,727.8367699260019,False
unchanged,9,13,1.1677004261901575e-07,6.823015448663785e-05,584.312148529838,False
joint_trial,3,5,0.00010099333016021252,0.06998299945867223,692.9467455687765,False
joint_trial,5,7,9.996140019556766e-06,0.0061828573358723915,618.5244828279768,False
joint_trial,7,9,1.917563623543091e-06,0.0011906759094085905,620.9316315714068,False
joint_trial,9,13,7.084543501409183e-07,0.0003431381152239201,484.3475308686673,False
unchanged_at_source,3,5,5.095575271210256e-05,0.017729939149513815,347.94774300925513,False
unchanged_at_source,5,7,4.97393594853623e-06,0.001458039813019494,293.1360250926789,False
unchanged_at_source,7,9,9.482530821899084e-07,0.0002716161652619705,286.43847340279297,False
unchanged_at_source,9,13,3.4749468620746923e-07,7.680052625678551e-05,221.0120882566023,False
joint_trial_at_source,3,5,0.0002519910964740166,0.08765462727148528,347.8481124848931,False
joint_trial_at_source,5,7,2.459627234936463e-05,0.007209909052829087,293.1301520173374,False
joint_trial_at_source,7,9,4.689123475699434e-06,0.001343141136858874,286.43757065035055,False
joint_trial_at_source,9,13,1.7183644869537007e-06,0.0003797790467876642,221.0119271383062,False
