configuration,j,l,component,radius_over_L0,source_force,u,v,A,B,C,D3,D1,D2,D_Eg,K3
R8_zero,-3,0,0,2.7726341266023544,-7.245514604958814e-11,-0.04922099842322297,-0.05111252619942506,-0.0005356951034707056,0.0010545783348323984,-6.67767403306543e-05,0.002186875649136452,-0.00020065274333745247,-0.00874819832484068,-0.00901859715084859,8.31575111462337e-07
R8_zero,-3,0,1,2.7726341266023544,1.776922636809175e-10,1.443690910991881,-0.3134497039150196,-0.002341843301752137,0.003919313107231026,-0.002991218018264259,-0.001943843304859374,0.005220799637380714,0.0160898318251139,0.03361706869693647,-4.806141883879208e-07
R8_zero,-3,0,2,2.7726341266023544,1.2475544902690316e-11,0.9418833483130891,0.04566214205037879,0.006790225935980017,-0.017403393246762967,-0.015250527869284491,0.00026394891627221496,-0.007432035993108378,0.025168568261444275,-0.01562846307179575,2.2213738832181715e-07
R8_zero,-3,1,0,2.48746859276655,-3.0807635956198176e-11,1.0390047248008543,-0.2991723898232863,-0.0022038176360529753,0.004364240724105094,-0.00017196012650761114,-0.002401097080404373,-0.00030977501775185975,0.007231077289363043,0.014439577349574437,-6.009240722895818e-07
R8_zero,-3,1,1,2.48746859276655,6.449928091623036e-11,-0.22330522310802137,0.270877927845554,0.007677570675278373,-0.018525490275240097,-0.012478936137249982,0.0026991769307541484,-0.003895791823432977,0.004876031452778569,-0.04649658190455947,6.963649739627588e-07
R8_zero,-3,1,2,2.48746859276655,1.3383889396062498e-10,-0.4434272916525835,0.1047419673202485,0.004380044127142075,-0.011846439912028831,-0.012310058774703155,0.0007100598940577627,8.343749799736124e-05,0.011894742524096683,-0.01267420282358448,-8.347200917379906e-07
R8_zero,-3,2,0,2.48746859276655,1.2117933956626303e-10,0.22607010057309862,-0.058111743775804345,-0.00034464615941125757,0.0006816092001901271,-3.0276040233444464e-05,0.001589874352662849,0.000249073748542455,-0.00019814830283354078,-0.007810209893239987,8.264550452578671e-07
R8_zero,-3,2,1,2.48746859276655,6.779711514415254e-11,-0.0276138539555526,0.0843261580208015,0.0034031328065449924,-0.00912482413261475,-0.009120977716258492,-0.0011811759135841099,0.0010758907235852303,0.00662950541486929,0.035676961786511655,-4.812522328712697e-07
R8_zero,-3,2,2,2.48746859276655,-6.88717884805845e-11,-0.34473479260784945,-0.06128774360096026,-0.004886948181107181,0.011571916001686096,0.007057630470575202,-0.002227602176280023,0.00445229973189716,-0.012774033707836025,-0.013374108852982864,-3.1689266679237763e-07
R8_zero,-3,3,0,2.772634126602354,2.1187676266243294e-10,-0.01219216325535432,0.0016335110059224108,3.851511546531009e-06,2.4668805483032186e-07,3.1528390214581256e-05,-0.0002531863804775536,4.6127089591918927e-07,0.0003542687787495798,0.007445704389342872,-1.3849182538395424e-08
R8_zero,-3,3,1,2.772634126602354,-3.4146713234761705e-11,0.30657554895041383,-0.05613774464448004,-0.00023184204825334686,0.00014753399336673857,-0.0012311340521652826,0.0008105470939798169,0.001803629957819599,0.0034735406178964144,-0.024691825058715665,6.68158520016076e-08
R8_zero,-3,3,2,2.772634126602354,7.650761447985932e-11,-0.3221109742982102,-0.010833821387726645,-0.0026463538818755072,0.00783922092998071,0.010074719559864038,-0.0004999359459792976,-0.0028155803228381623,-0.006869284600664019,-0.00940231374866734,-3.9222349645774585e-08
R8_zero,-2,-1,0,2.48746859276655,-3.540878170098932e-11,-0.4433785046410776,0.10084100957392662,0.0005639939760556218,-0.0011370020366316975,-3.6306725823591904e-05,-0.0029946991695394124,-0.0001468099864841636,-0.0027913713811279794,-0.008362383621413266,-1.735495838959484e-06
R8_zero,-2,-1,1,2.48746859276655,7.983821503215749e-11,0.5720188593672108,-0.10999672819820845,-0.002215073226717705,0.004615830534390639,0.000786996013275284,0.0016986701243102387,0.004853707484111545,-0.006150559758081906,0.040960542019252595,-8.157582950871844e-07
R8_zero,-2,-1,2,2.48746859276655,4.967389312382497e-10,0.8120010911664332,-0.21787090080506868,-0.0028117276904547606,0.0038595050099518254,-0.007040841551658311,0.0019926299555143947,0.01583813777161039,-0.00707757043554836,0.12063967536050041,7.006891961395389e-07
R8_zero,-2,0,0,1.920286436967152,-1.5475172358836442e-10,0.3287303034056033,-0.18738378256098417,-0.0015085255331855345,0.0029786094495310696,-0.00015030557458682055,0.006846325559317251,-0.0002266582102166874,-0.014937820411711152,-0.012072283692215954,5.451011668226983e-06
R8_zero,-2,0,1,1.920286436967152,1.143303646200522e-10,1.5045361619480668,-0.12404051497986807,0.0028932625820237094,-0.008349359730996335,-0.010120688842852795,-0.0030937025518848046,-0.002264378519286276,0.01639907236436594,-0.07605760164847744,3.858167154254897e-06
R8_zero,-2,0,2,1.920286436967152,-3.7692667390065715e-10,1.433916849823926,0.3454967996447934,0.016693202718161826,-0.039663694359060496,-0.024938831355142854,0.0015212149580271252,-0.026803796904927332,0.022404692595150464,-0.10356315832363151,1.0370459142215316e-06
R8_zero,-2,1,0,1.6393596310754999,-2.823877954388765e-10,1.7473919067404338,-0.5061806987542945,-0.003717021001674494,0.007308098755046363,-0.0004962149443680584,-0.0024062547662762127,-0.0007892528959103687,0.006899187919367718,0.026559183031865836,2.0480819783279538e-06
R8_zero,-2,1,1,1.6393596310754999,4.890200744345208e-11,-0.3757486762630248,0.4497623692660611,0.012721321307155174,-0.029106757663404554,-0.014348385747236842,0.000799091081141688,-0.017819568543930853,0.010282192393845998,-0.07300636428837934,-5.857460890864715e-06
R8_zero,-2,1,2,1.6393596310754999,1.81823016929053e-10,-1.0767820332845126,-0.044743015513519405,0.0004500215248145449,-0.0038915746940656483,-0.011900542568893599,-4.19960633689036e-05,0.01376376429487242,0.004823717776592614,-0.013244742548231823,-3.436084486996738e-06
R8_zero,-2,2,0,1.7853571071357126,-7.026818623495634e-11,0.20360433329770883,-0.013439630976204847,0.0002170093863675,-0.00040300554221449645,0.00012160633329003477,0.003593460575499065,-0.00011817729537344328,0.003175063545110664,-0.003263665180367619,2.9752151659608943e-06
R8_zero,-2,2,1,1.7853571071357126,-1.9972870579643143e-10,-0.1664372350748838,0.11921107872172299,0.002255253704630152,-0.005442812366390601,-0.0036101699348488696,-0.00077226985251934,0.00033696627903935777,0.00806943491024005,0.028110629669992376,1.041969413515955e-06
R8_zero,-2,2,2,1.7853571071357126,-5.634851960034659e-11,0.36454768643219265,-0.3779284643290609,-0.012341772535071863,0.028929834425382085,0.016644489749897615,-0.005442101955838601,0.012772658145168826,-0.009265482083702236,0.05569576521805759,-4.199314301112203e-06
R8_zero,-2,3,0,2.2776083947860744,2.9784768401652784e-12,-0.3584875123784006,0.09098861638760969,0.0005996362235343219,-0.0011742919791395004,9.916778745447844e-05,-0.00021250745528869684,-0.0002722867274055892,0.00024598585932743007,0.020264299251390932,-1.3313850206652902e-08
R8_zero,-2,3,1,2.2776083947860744,4.3043799080599854e-10,0.28787534684708777,-0.0987846235749117,-0.0023095629640374478,0.005834801058557364,0.004856523536426641,0.0004720160640031211,0.0024167420238723567,-0.0010591807993143034,0.09979347385645329,2.086576859195921e-09
R8_zero,-2,3,2,2.2776083947860744,-7.578293027832306e-11,-0.23515038068756272,-0.042395095577689855,-0.003426899763038926,0.010372337351891777,0.013912153421062416,-0.0004912087730697382,-0.006293488811556992,-0.0028161267578666136,-0.04989311590337001,-5.198712320889125e-08
R8_zero,-2,4,0,2.947456530637899,9.02104458841424e-11,-0.283132874579214,0.07018466663095127,0.0004501498703276473,-0.0008916814598725446,3.4439723952393185e-05,0.00011437744486734498,-2.615386301439647e-05,-0.0017478188011608078,0.010934787553843162,3.859409882129578e-09
R8_zero,-2,4,1,2.947456530637899,7.413554492519125e-11,0.12601476449958018,-0.06262066908486649,-0.0018997680633710652,0.005287557844714827,0.00594894755011998,-0.00017820194221673346,0.0002953113082467607,-0.0004880716636686928,0.015291742945530984,-3.790596344152392e-09
R8_zero,-2,4,2,2.947456530637899,-1.378209521334106e-10,-0.09797022004969347,-0.008559656548827546,-0.0006786316324161874,0.00258293615890298,0.0048701530059066175,6.251590859956594e-05,-0.000920942710137158,-0.0027116795130405534,0.008674930774734498,7.364629618208188e-09
R8_zero,-1,-2,0,2.5860201081971503,1.9773049690641198e-10,-0.07746105819688835,0.041843030805021456,0.00036687565361389837,-0.0007383312837939659,-1.8438467055781747e-05,0.00039236888129080344,6.366809522484999e-05,-0.003914704602993395,0.00035754677325031256,2.545510654832514e-08
R8_zero,-1,-2,1,2.5860201081971503,4.976755119123766e-11,0.19753443768520274,-0.05332802520423704,-0.0014266057577707362,0.003048908351859553,0.0008023099194562217,-0.0005426296128882237,0.0017869046086341398,-0.000952074797389989,0.013845902998713494,-1.1369581719142451e-07
R8_zero,-1,-2,2,2.5860201081971503,-1.1784231620029506e-10,0.09855845388940768,-0.04667633718522796,-0.0018553828212574336,0.003873914130678772,0.0006844236847113969,-0.000331944191576703,0.00013301847795868776,-0.0023675263023849556,-0.0408259291763173,-3.690455494825641e-07
R8_zero,-1,-1,0,1.7853571071357126,1.2182804675557428e-10,-0.519670502043351,0.13458646816584668,0.0008520138401610115,-0.0017105203514064947,-2.5890862558889973e-05,-0.0033123802123052825,-0.00032410833997992023,-0.0018067191072070772,-0.01745615393990177,-6.333974671819797e-06
R8_zero,-1,-1,1,1.7853571071357126,1.8843262020173945e-11,0.6402655467243844,-0.09273672178002412,-0.00016075521642693817,-0.001195371841299991,-0.006032785145102547,0.004554607609246646,0.0068063120026445436,-0.005240033839714854,0.012041264530471043,4.85779244137049e-06
R8_zero,-1,-1,2,1.7853571071357126,4.219110477654553e-11,0.43362555725557456,-0.13935151093029174,-0.0010797286332230609,-0.0014039972420546644,-0.014200106647789758,0.005893029243145827,0.023883001014154935,-0.010649136793582384,0.11904168931918661,1.281289785921235e-05
R8_zero,-1,0,0,1.0897247358851683,1.12658672321575e-10,0.4269002464063911,-0.17470267461986394,-0.001468797905405157,0.002929341670744808,-2.9481826653055156e-05,0.00979850706750517,-0.00037034337562341207,0.0029717369442976956,-0.02048289886243567,1.5816885710150695e-05
R8_zero,-1,0,1,1.0897247358851683,-9.485236901474181e-10,0.6705567328969528,0.13475882715890763,0.007820237046647579,-0.019505902672304676,-0.015280964167137758,-0.0053770213211470665,-0.010702636842831568,0.007001802477037576,-0.03471954570588434,-2.0110854296919883e-06
R8_zero,-1,0,2,1.0897247358851683,-6.627692838989674e-11,0.14977374739830346,1.108176979554687,0.03134706039587837,-0.07055713151128777,-0.03109375299052508,0.003852674128905257,-0.061383763796115154,0.010157107584438172,-0.1500479298880128,3.0588147379020933e-06
R8_zero,-1,1,0,0.8291561975888501,1.2289099631575956e-10,1.7472501558415663,-0.3830523557416287,-0.0021746202156901857,0.004266359893727932,-0.00032604050126025454,-0.007934555993161794,0.0016970581897841309,0.014636173824158147,0.010041789306461983,-6.9537069786877684e-06
R8_zero,-1,1,1,0.8291561975888501,-6.389049359012411e-11,0.5459433061865584,-0.11872054934007091,0.00010341246786070899,-0.0014068406018861587,-0.004703515310168605,0.00234114439419314,-0.0008153287008168886,0.013240124034741537,0.07247879856403527,-5.831217153909562e-06
R8_zero,-1,1,2,0.8291561975888501,-4.6131253331194166e-11,0.5445595105450436,-0.8048026809973161,-0.012264010599565531,0.023704590330327072,-0.00329021480138949,0.00139185740443811,0.03994947869467517,-0.0037203552963647264,0.02292553593169012,4.251938295704201e-07
R8_zero,-1,2,0,1.2990381056766578,1.5156199646010338e-10,0.14750784829171637,0.026679123501596055,0.0006056898917912378,-0.0011436356491613157,0.00026662045630995165,0.0028553327870074804,-0.00033690998273260106,0.008999300613965764,0.039066977407592844,2.721382226046185e-06
R8_zero,-1,2,1,1.2990381056766578,7.180343819523927e-11,-0.47702198299401344,0.05723116599721955,-0.00358774056388912,0.009513223279803182,0.009269898945680085,-0.002601176030747506,0.001934510903502227,0.0013716738883965437,-0.026214283280089668,-3.192120272809099e-07
R8_zero,-1,2,2,1.2990381056766578,1.5806388142802774e-10,2.251835308715839,-0.8080095224882834,-0.016836992936547973,0.039901219447563474,0.024451890439015852,-0.006737668663117197,0.012283258340006627,0.0020405842894414255,0.17552211954226055,-1.039690234582916e-05
R8_zero,-1,3,0,2.046338192968112,-3.255047186651039e-11,-0.6363266321720291,0.1582501728772091,0.0010249537152834248,-0.0020255026054119313,9.745044856186449e-05,-0.0003904019819945169,-0.00041531631575431657,-0.0010223509118189153,0.009964517695071173,-1.7646723424040767e-08
