j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-14,0,-11.980018085684733,0.9889623474982353,0.0,0.0,0.9889623474982353,0.0,0.0,False
-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.9828383249644312,0.0,0.0,0.9828383249644312,0.0,0.0,False
-8,0,-6.783865662978103,0.9806971903212367,0.0,0.0,0.9806971903212367,0.0,0.0,False
-7,0,-5.917840259193664,0.9779464345120836,0.0,0.0,0.9779464345120836,0.0,0.0,False
-6,0,-5.0518148554092255,0.9742830319368372,0.0,0.0,0.9742830319368372,0.0,0.0,False
-5,0,-4.185789451624787,0.9691638671258577,0.0,0.0,0.9691638671258577,0.0,0.0,False
-4,0,-3.319764047840348,0.9633659891239055,0.0024735832890229945,0.00035081455047320973,0.9633659891239055,0.0024735832890229945,0.00035081455047320973,True
-3,0,-2.4537386440559095,0.9564503737403759,0.006110912379205889,0.0013151169567692216,0.9564503737403759,0.006110912379205889,0.0013151169567692216,True
-2,0,-1.5877132402714706,0.9444658985851457,0.011095364724508736,0.004856305468865278,0.9444658985851457,0.011095364724508736,0.004856305468865278,True
-1,0,-0.7216878364870323,0.9047190140221415,0.01608872068311179,0.007877749578631838,0.9047190140221415,0.01608872068311179,0.007877749578631838,True
0,0,0.14433756729740643,0.7428152644976431,0.014773986270559536,0.018192069896632614,0.7428152644976431,0.014773986270559536,0.018192069896632614,True
1,0,1.010362971081845,0.2418393070951813,0.015181269622309049,0.016513513507127327,0.2418393070951813,0.015181269622309049,0.016513513507127327,True
2,0,1.8763883748662837,0.08441191666770508,0.01521397655805862,0.00658456949888582,0.08441191666770508,0.01521397655805862,0.00658456949888582,True
3,0,2.7424137786507226,0.0480499209093723,0.008770894772740486,0.003480448376099416,0.0480499209093723,0.008770894772740486,0.003480448376099416,True
4,0,3.608439182435161,0.037737116861773015,0.003167487294866571,0.0010327036316941246,0.037737116861773015,0.003167487294866571,0.0010327036316941246,True
5,0,4.474464586219599,0.03083613287414235,0.0,0.0,0.03083613287414235,0.0,0.0,False
6,0,5.340489990004038,0.02571696806316287,0.0,0.0,0.02571696806316287,0.0,0.0,False
7,0,6.206515393788477,0.022053565487916392,0.0,0.0,0.022053565487916392,0.0,0.0,False
8,0,7.072540797572915,0.019302809678763293,0.0,0.0,0.019302809678763293,0.0,0.0,False
9,0,7.938566201357354,0.017161675035568747,0.0,0.0,0.017161675035568747,0.0,0.0,False
10,0,8.804591605141791,0.015447840188074886,0.0,0.0,0.015447840188074886,0.0,0.0,False
11,0,9.670617008926232,0.014045060544141884,0.0,0.0,0.014045060544141884,0.0,0.0,False
12,0,10.53664241271067,0.012875733304131824,0.0,0.0,0.012875733304131824,0.0,0.0,False
13,0,11.402667816495107,0.01188607865074953,0.0,0.0,0.01188607865074953,0.0,0.0,False
14,0,12.268693220279548,0.011037652501764757,0.0,0.0,0.011037652501764757,0.0,0.0,False
