j,l,ux,uy,uz,gx,gy,gz
-4,0,-0.48210668422311503,-0.001515823895912891,0.0007766757903654283,-2.563946277511775e-11,1.757241921418462e-12,-1.5699950454278744e-11
-4,1,0.4812593049007904,0.0009577593931101034,0.001127490340838638,-2.7316123321630137e-11,3.7303599445537294e-11,1.0993388491198353e-11
-4,2,0.4440948796037101,0.0003021910425279798,0.00045366131521989945,-2.4070030690825917e-11,1.170538297366741e-10,-9.303601292143249e-12
-4,3,0.40696919535621445,-0.0008143939329346637,0.0008296793609470818,-1.1306039437997129e-11,7.083678955910333e-11,-2.0855392945308307e-11
-4,4,0.3724274135826049,-0.0014520262434467215,0.0008973868596532125,-1.0272240089786999e-10,1.3234778724335872e-11,2.005885388345341e-11
-3,-2,-0.4080087777615679,-0.0036299919672734345,-0.0022150046566758717,1.4199745437641631e-11,4.730016552045857e-11,-3.5266354723659243e-11
-3,-1,-0.44064242814891,-0.005298194670693497,-0.0030222227832439395,1.696659739786055e-11,4.858196830936912e-11,2.953389095783354e-11
-3,0,-0.4813390429862631,-0.005979548061696053,-0.0007762571771495686,-1.5805689222714303e-11,-1.9545578697210964e-11,-1.167083096831334e-10
-3,1,0.47511133075411277,0.0001313643175098365,0.0005388597796196531,-9.230647843305739e-11,2.181806211393189e-11,-8.475897761428541e-11
-3,2,0.4292243765446829,-0.0007383932145266544,0.002035538994638224,-6.952868142340307e-11,-1.4110143609080694e-11,3.168603573966422e-11
-3,3,0.3839045928905086,-0.0037896062294551667,0.0035340316777874893,-1.0729515886875873e-10,-1.2945720862488075e-10,1.2244881497647242e-10
-3,4,0.34558447218921173,-0.0032682171965842054,0.004753188244215874,-8.76202200530106e-11,-4.063705383479388e-11,-6.661034123909247e-11
-3,5,0.31739667240483765,-0.0001791866623395246,0.001834275661978771,-3.692508625252611e-11,-4.9622774639379585e-11,5.6607808718300845e-12
-2,-3,-0.36206880857188073,-0.0031925726631653385,-0.002839414015299633,2.849145615616e-11,-7.862339512082483e-11,-2.388266320818566e-11
-2,-2,-0.38544919652267207,-0.008569563299989282,-0.006261057036074446,-6.2519831759561e-11,-6.985090370698055e-11,1.5684105056368303e-11
-2,-1,-0.4251395818701799,-0.012679680087044913,-0.007916233465480637,-1.191527605748366e-10,1.2698376204711703e-10,-1.530947139893879e-10
-2,0,-0.48167502049493754,-0.013287350462633421,-0.004006943953773613,-4.015581617222708e-11,2.0764966135455865e-11,-1.6644182213032543e-10
-2,1,0.46279087809020814,-0.0021919857381246855,0.0008493615150916649,-7.042588734407218e-11,1.3438989504566123e-11,5.844465536530841e-11
-2,2,0.3998626139370974,-0.004461946469536641,0.005314713562360979,-7.659393258530045e-11,2.2758702908354245e-11,-2.363095830126838e-12
-2,3,0.3468757481067797,-0.007489170489121026,0.009903643187786589,-8.507030751494712e-11,-5.7477039620834613e-11,6.090575613293403e-11
-2,4,0.3087556956252813,-0.0024321568605112746,0.005081756278313389,-2.5421741101094852e-11,-5.113392348432555e-13,1.3026271727945016e-10
-2,5,0.28450903534213345,-0.00017198309273344924,0.0012429415997852703,-1.6596994611983718e-11,1.311497555521457e-10,-2.1367458150067797e-11
-1,-3,-0.33012821693874794,-0.004361145571820569,-0.004117795600400103,1.0326185392872667e-10,-6.022062536137351e-11,-3.743183887849888e-11
-1,-2,-0.34698766948380205,-0.011551026940536674,-0.009266639279581091,4.327058156228247e-11,-1.257704357326972e-10,-5.993434568085654e-11
-1,-1,-0.3868671000838693,-0.01899706342880795,-0.012999187171908783,6.0313906646847215e-12,-4.800453784481462e-11,8.045454927274598e-11
-1,0,-0.47299677223544195,-0.022273440698057437,-0.007690137879036156,-1.202674348999011e-10,3.7965422472474586e-11,3.2320257581375245e-12
-1,1,0.4317222417866995,-0.0061847200149456475,0.00018761169959568273,-1.0785383697253792e-10,-2.1365187397037744e-11,1.1447011047382993e-10
-1,2,0.3486789866814924,-0.010169923482329429,0.012010937003785038,-2.090567753394864e-10,-3.764853706567095e-11,1.5152143428842635e-10
