j,l,ux,uy,uz
-4,0,-0.48205190431444844,-0.002039953108338265,0.00041509102224499385
-4,1,0.48066318819657683,0.0007874304502279658,0.0008290415599950203
-4,2,0.44324988168147494,0.0004690320482371199,0.00044408088878800865
-4,3,0.40609277442522856,-0.000722107234012375,0.0008844149966951745
-4,4,0.3720115580885041,-0.001367206637653043,0.0011494859139383306
-3,-2,-0.4070169100656822,-0.004041325350295618,-0.002544588105829019
-3,-1,-0.4385918317727048,-0.006208106721193916,-0.003345511261109097
-3,0,-0.4793984658151036,-0.006940035271766758,-0.0019052595539986313
-3,1,0.4738672665220281,0.00026335998021132824,-0.0003079728345330907
-3,2,0.42743816087156167,-0.0005673778241839351,0.001290987011417327
-3,3,0.3827735818368846,-0.0033198489550940913,0.0034737019954510485
-3,4,0.3453089943338841,-0.0028803385670113178,0.004298529229271109
-3,5,0.31747518762358756,-0.00045289825678132534,0.0019902943604245154
-2,-3,-0.36232752039110966,-0.003472431997797301,-0.0032450032566096075
-2,-2,-0.3846698847639792,-0.009260521611827341,-0.006986721980275221
-2,-1,-0.4209481045773494,-0.014083833495492089,-0.008679020030351306
-2,0,-0.4742114774870705,-0.014501953149493393,-0.006289953494471036
-2,1,0.4611170699600074,-0.0014924335823640086,-0.0012065027082379474
-2,2,0.39833700039866066,-0.004136236655738762,0.004120442480190093
-2,3,0.3468311479365065,-0.006440030539573001,0.008508588681257116
-2,4,0.3093704910901253,-0.0025448696907948037,0.004765891006315632
-2,5,0.28502514279584384,-0.0004127109562844216,0.0013101997084875988
-1,-3,-0.3311596638516768,-0.004777471363381222,-0.005141987574266569
-1,-2,-0.34941732543043935,-0.012444004483500026,-0.010904211453688539
-1,-1,-0.3860596600429656,-0.02106520565336692,-0.014917644025500276
-1,0,-0.45766130387961906,-0.02526978105730735,-0.01240793479317956
-1,1,0.4313918086715316,-0.004785635053118933,-0.0012465467344153559
-1,2,0.34979264674394434,-0.008665206541811268,0.00980693802956495
-1,3,0.2979536228581539,-0.0046267871751086535,0.005136882128216762
-1,4,0.26671606385051744,-0.002162137670489648,0.0013403965772489734
-1,5,0.2498849756955981,-0.00044548674902722196,-0.00017223761741906086
0,-4,-0.29006073339283805,-8.17937634170958e-05,-0.002233533237181046
0,-3,-0.29284059919231853,-0.0036835928994350792,-0.006234834276765241
0,-2,-0.2992319097173584,-0.010736701748883118,-0.011292647142287985
0,-1,-0.3185111412316962,-0.020849162758765742,-0.01816601842296598
0,0,-0.3899931588569897,-0.03134547209691619,-0.019897462517861217
0,1,0.35322230437403795,-0.004570369209627702,0.0035053879531340318
0,2,0.2720405532754869,-0.0010921197722867561,0.003278672809361286
0,3,0.23828660191423373,-0.0016741439029063564,0.0006924938371462919
0,4,0.2228287838084552,-0.0016355145992301941,-0.0005807185801287105
0,5,0.2148332824725938,-0.0010579502692347215,-0.0008240559574323303
1,-4,-0.2557332952653348,0.0014309113192409186,0.0005018001200532116
1,-3,-0.24975071035522475,-2.7035600579351433e-05,0.0007360779431637878
1,-2,-0.23925121332096264,-0.0023928513599321528,0.0004487042775378964
1,-1,-0.2139159064246615,-0.004641070285678959,-0.0008294531369276187
1,0,-0.14066609974765718,-0.0012030437723170597,-0.0008634229336017041
1,1,0.10261309788422635,0.025237230265187763,0.020398329586640476
1,2,0.16603109014033912,0.014947111061840233,0.017577372834938106
1,3,0.1778865611137237,0.006580403890312851,0.009823643790708885
1,4,0.1796091033694807,0.001807445344065393,0.003986132521920951
2,-4,-0.2217570022125968,0.0008386715090812378,0.0007249781598607404
2,-3,-0.20787117482221856,0.0005283380933068065,0.00038644062560113724
2,-2,-0.1820805831038213,0.0007366364066451668,-0.002222023403678545
2,-1,-0.13772207526292735,0.003711400754900634,-0.007201488518509611
2,0,-0.06452156530203249,0.0005674924166462733,0.001464130550660597
2,1,0.035967989843850044,0.019864602507631467,0.010917715377729996
2,2,0.09914368717229076,0.015188275282066533,0.012515347045059962
2,3,0.1295845133711018,0.007938168788468168,0.008319911345221033
2,4,0.1436206054796304,0.0026594931811795685,0.00318764527518569
3,-4,-0.18793960946537516,0.00043634050366418107,-0.00012321561307213107
3,-3,-0.16775983703558525,0.0007425407179657631,-0.001956044278306374
3,-2,-0.13568006428855872,0.0033846310149674695,-0.00584651365471067
3,-1,-0.09077773003079086,0.0009353370019140484,-0.0032374541002885573
3,0,-0.03513618536562458,-0.0010409088840096547,-0.0001442928384948434
3,1,0.021497430365382365,0.009805383928859388,0.003390104423292796
3,2,0.06705582129685655,0.007482806209363156,0.005174576086535877
3,3,0.09758241842626361,0.004192577333950393,0.0032755890453856442
4,-3,-0.13355706308870705,0.001535003867200359,-0.0023046181519752506
4,-2,-0.10198910246840195,0.0013879787834122778,-0.0017699002896475757
4,-1,-0.06314949811364244,-0.0005673853623297813,-0.001252886745830042
4,0,-0.022334596272707105,-0.0013206870312759535,-0.00131229876938016
4,1,0.017563223652760036,0.002843984670205739,-0.00028060883136357944
