j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.9918657710858574,0.0,0.0,0.9918657710858574,0.0,0.0,False
-18,0,-15.444119700822489,0.9914140444544532,0.0,0.0,0.9914140444544532,0.0,0.0,False
-17,0,-14.57809429703805,0.9909092071497969,0.0,0.0,0.9909092071497969,0.0,0.0,False
-16,0,-13.712068893253612,0.9903413101252472,0.0,0.0,0.9903413101252472,0.0,0.0,False
-15,0,-12.84604348946917,0.9896977546317836,0.0,0.0,0.9896977546317836,0.0,0.0,False
-14,0,-11.980018085684733,0.9889623474982352,0.0,0.0,0.9889623474982352,0.0,0.0,False
-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.9829572943419784,0.00047180864306063983,0.00025954576818295585,0.9829572943419784,0.00047180864306063983,0.00025954576818295585,True
-8,0,-6.783865662978103,0.9809915026517149,0.0014468343270096643,8.077037730106905e-05,0.9809915026517149,0.0014468343270096643,8.077037730106905e-05,True
-7,0,-5.917840259193664,0.9785076715960543,0.002717775127874205,6.63499141936825e-05,0.9785076715960543,0.002717775127874205,6.63499141936825e-05,True
-6,0,-5.0518148554092255,0.9752520778533642,0.004346525865964232,0.00029964703591006865,0.9752520778533642,0.004346525865964232,0.00029964703591006865,True
-5,0,-4.185789451624787,0.9708305237123189,0.006436315710448302,0.0008283625683853635,0.9708305237123189,0.006436315710448302,0.0008283625683853635,True
-4,0,-3.319764047840348,0.9645206273064776,0.0092041995536646,0.001787721292676246,0.9645206273064776,0.0092041995536646,0.001787721292676246,True
-3,0,-2.4537386440559095,0.9547315117741468,0.01274759197780078,0.0034949444937620745,0.9547315117741468,0.01274759197780078,0.0034949444937620745,True
-2,0,-1.5877132402714706,0.936722187712092,0.017803684097293986,0.006582096727229345,0.936722187712092,0.017803684097293986,0.006582096727229345,True
-1,0,-0.7216878364870323,0.8912207467725213,0.024875784235665346,0.011950000496045455,0.8912207467725213,0.024875784235665346,0.011950000496045455,True
0,0,0.14433756729740643,0.7462843500670104,0.03072397214194202,0.022585677924161423,0.7462843500670104,0.03072397214194202,0.022585677924161423,True
1,0,1.010362971081845,0.24634166415428008,0.030927866519454342,0.021410860093872303,0.24634166415428008,0.030927866519454342,0.021410860093872303,True
2,0,1.8763883748662837,0.10378412950051734,0.024660769769973973,0.011158324049330325,0.10378412950051734,0.024660769769973973,0.011158324049330325,True
3,0,2.7424137786507226,0.059824598752772476,0.017464029883318778,0.006123608488767582,0.059824598752772476,0.017464029883318778,0.006123608488767582,True
4,0,3.608439182435161,0.042650323063320034,0.01237223486502938,0.0031436876243427754,0.042650323063320034,0.01237223486502938,0.0031436876243427754,True
5,0,4.474464586219599,0.03327408146142684,0.008746877219984706,0.0014987417870430948,0.03327408146142684,0.008746877219984706,0.0014987417870430948,True
6,0,5.340489990004038,0.02717498871679859,0.005915761553482313,0.0005974912210501545,0.02717498871679859,0.005915761553482313,0.0005974912210501545,True
7,0,6.206515393788477,0.022888557924472558,0.0037284218833415757,0.00016894976119677022,0.022888557924472558,0.0037284218833415757,0.00016894976119677022,True
8,0,7.072540797572915,0.01973382553956969,0.0020101854932097476,8.824867863337961e-05,0.01973382553956969,0.0020101854932097476,8.824867863337961e-05,True
9,0,7.938566201357354,0.017321667896122307,0.000688579040552943,0.0002788630219641655,0.017321667896122307,0.000688579040552943,0.0002788630219641655,True
10,0,8.804591605141791,0.015447840188074897,0.0,0.0,0.015447840188074897,0.0,0.0,False
11,0,9.670617008926232,0.014045060544141893,0.0,0.0,0.014045060544141893,0.0,0.0,False
12,0,10.53664241271067,0.012875733304131833,0.0,0.0,0.012875733304131833,0.0,0.0,False
13,0,11.402667816495107,0.011886078650749539,0.0,0.0,0.011886078650749539,0.0,0.0,False
14,0,12.268693220279548,0.011037652501764764,0.0,0.0,0.011037652501764764,0.0,0.0,False
15,0,13.134718624063986,0.010302245368216511,0.0,0.0,0.010302245368216511,0.0,0.0,False
16,0,14.000744027848423,0.009658689874752801,0.0,0.0,0.009658689874752801,0.0,0.0,False
17,0,14.866769431632862,0.009090792850203186,0.0,0.0,0.009090792850203186,0.0,0.0,False
18,0,15.732794835417302,0.008585955545546852,0.0,0.0,0.008585955545546852,0.0,0.0,False
19,0,16.59882023920174,0.0081342289141427,0.0,0.0,0.0081342289141427,0.0,0.0,False
