radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.09121557251818377,0.0007516536305726281,0.09046391888761113,2,True
1.0,0.14180257105792743,0.0012545772759015457,0.14054799378202587,4,True
1.5,0.26789230576030765,0.001386996631592368,0.26650530912871523,10,True
2.0,0.34755275078263415,0.0009287593263544666,0.3466239914562797,18,True
2.5,0.4145006115627827,0.0003660836299445933,0.4141345279328381,30,True
3.0,0.45666863430537585,7.393805224670995e-05,0.4565946962531291,40,True
3.5,0.5093547240005548,-0.00017789227052944533,0.5095326162710843,56,True
4.0,0.5490189268398051,-0.00023356911021966888,0.5492524959500247,72,True
4.5,0.5840173948642656,-0.00017105570623953553,0.5841884505705051,90,True
5.0,0.6206383492215211,-0.00018179737502435929,0.6208201465965454,112,True
5.5,0.6533569465571626,-0.0001527481809508824,0.6535096947381134,136,True
6.0,0.677958289316855,-0.00011260095313994731,0.6780708902699949,158,True
6.5,0.708209676480661,-0.0001490250039498769,0.7083587014846109,188,True
7.0,0.7352332264520699,-0.0002582761594486782,0.7354915026115185,220,True
7.5,0.7597210505331458,-0.0004193577485257588,0.7601404082816714,254,True
8.0,0.7799611161838349,-0.0005685230497080895,0.780529639233543,286,True
