j,l,ux,uy,uz
-12,3,0.4669345124411936,7.566475723313949e-05,0.00011836798232451433
-12,4,0.45352748546831767,0.00013786438864510505,0.00011851607732326879
-12,5,0.4401153078090585,0.00012135732085401539,7.299864414040491e-05
-12,6,0.4267786969679102,5.768483991458679e-05,2.9260975975866592e-05
-11,0,-0.492984039657865,-0.00043740880060978314,0.0003498826256655449
-11,1,0.49307526282596803,-0.00017723944783018078,0.0005573356947889989
-11,2,0.4787627783057003,2.4114852861487345e-05,0.0005798856229084334
-11,3,0.46433145795462016,0.0002593742388165696,0.0004949673417135853
-11,4,0.44985695119141333,0.0003582868596005292,0.0003370165660074718
-11,5,0.4354488217590872,0.00026544946456915687,0.00021459568622879624
-11,6,0.4212422090358539,7.481310131903886e-05,0.00016954381827705302
-11,7,0.4073998647148079,-0.00010535234270777103,0.0001812584958831745
-11,8,0.3943721944255512,-0.00019062443468845973,0.0002062041220230332
-11,9,0.38214314974776437,-0.0001964568230445244,0.00018447924472833315
-10,-2,-0.4640448967908953,-0.0009427483129397225,4.888489536864514e-05
-10,-1,-0.477685877357617,-0.0012227368699006484,0.0004504163839564496
-10,0,-0.49223884970053333,-0.0012917213654725715,0.0008768780893199282
-10,1,0.49251384163825346,-0.0005116028111627562,0.0009790023079635547
-10,2,0.4769533591210382,8.154563121544053e-05,0.0007771467133255776
-10,3,0.46122033499958215,0.0005047306310874168,0.0005320618225262139
-10,4,0.4454708888819535,0.0005838944350100102,0.00032564772145113346
-10,5,0.4298597205497513,0.00035217200419404663,0.00025391987980503055
-10,6,0.41460780110291623,-1.3215730761635382e-05,0.0003072638220365558
-10,7,0.39994687362056175,-0.00032642754653238994,0.0004161291397760938
-10,8,0.3861502452903243,-0.000493844185966013,0.0004870691563939081
-10,9,0.37335976811677574,-0.0004102301790129299,0.00040285611364275405
-10,10,0.36157678521304243,-0.0002238022916817496,0.00025641952956261693
-9,-4,-0.43479049613587,-0.001311568121345925,-0.0003408887583545798
-9,-3,-0.4470356194161047,-0.0019339312238122854,-0.00036413168237465186
-9,-2,-0.4605354316692874,-0.002931057142947514,-3.681362922198928e-05
-9,-1,-0.47540252811222655,-0.0029543903527694104,0.00031786170950032667
-9,0,-0.4914156207632588,-0.0023958941643542554,0.0007004350422306781
-9,1,0.4917548703668339,-0.0008424863124206227,0.0007431653628374494
-9,2,0.474663010152462,0.00017709956088329262,0.00046116133035571313
-9,3,0.45740714801617866,0.0007349392276050986,0.00023040155978245707
-9,4,0.44015728845271,0.0007241579561054959,0.0001494338191537046
-9,5,0.42313164730060393,0.0002981933604107375,0.00026564019593762874
-9,6,0.4066286706665382,-0.00024216351727733185,0.0005162441953079063
-9,7,0.3909768432235775,-0.0006657481508908123,0.0007624335150269205
-9,8,0.3764585278032423,-0.0008031159398337136,0.000875473277207042
-9,9,0.3632460531385586,-0.0007075225974731248,0.0008210834859297926
-9,10,0.35133747054342757,-0.000409471217561237,0.000571393745288713
-9,11,0.3406813126528976,-0.0001916971510653242,0.00032470354912050674
-8,-5,-0.41723900816331305,-0.0016221626778306058,-0.000592757825248923
-8,-4,-0.4287225826628394,-0.003254181008826954,-0.0010401684838835517
-8,-3,-0.44178544898395705,-0.0044090217790209675,-0.0011012781211203722
-8,-2,-0.4564062520227667,-0.005208007801484626,-0.0009049495811401244
-8,-1,-0.472698823316343,-0.004852674245259121,-0.0005431937416384314
-8,0,-0.4904706546563184,-0.003603891963233792,-6.424650758512737e-05
-8,1,0.4907334127625241,-0.0011199066982061773,7.138864556209372e-05
-8,2,0.4717617258953428,0.0003123032764916739,-0.00017479960958554936
-8,3,0.45265590654050847,0.0009096968523197298,-0.000248777579442973
-8,4,0.4335866797288873,0.0007092154502988549,-6.853408101386291e-05
-8,5,0.4148677119499955,5.082667493368887e-05,0.0003550073777560939
-8,6,0.3969399492434562,-0.0006485550070483143,0.0008443338685860005
-8,7,0.38025586290824814,-0.001063912709183631,0.001219462064819022
-8,8,0.365120645333265,-0.0011312519454287355,0.0013253663184912214
-8,9,0.35163861456032003,-0.0009123764701395622,0.0011832177181454186
-8,10,0.3397519421807326,-0.0005708707399669208,0.000858062940478279
-8,11,0.3292841101805703,-0.00024454874614157076,0.0003996740795463068
-7,-6,-0.3991602840333144,-0.0016147540742068314,-0.0009412332363820178
-7,-5,-0.4097060184541338,-0.0035985498587906045,-0.001755331587962094
-7,-4,-0.42173987632338733,-0.005672941665588509,-0.0023799168758858844
-7,-3,-0.43559414799598206,-0.00698674630582591,-0.002592752209419476
-7,-2,-0.4514272083792988,-0.007687064668057358,-0.0024353084563946093
-7,-1,-0.4694094175249918,-0.0069799222992532085,-0.001981739614888994
-7,0,-0.4893677040208506,-0.004987421977804046,-0.0012655459732405453
-7,1,0.489333814762028,-0.0013291148738701518,-0.0009201287568760073
-7,2,0.46802329804274573,0.0004879828650993543,-0.0010266995141138973
-7,3,0.446619806121034,0.0009732122360315662,-0.0008020192151155978
-7,4,0.42528258031066923,0.0004730215844747078,-0.0001945597151466733
-7,5,0.40453087235657353,-0.00045002731768455887,0.0006156728947809045
-7,6,0.38505922393839537,-0.0011915133036151766,0.0013703177086777296
-7,7,0.3674511760863729,-0.0014788440226368687,0.001734798601359727
-7,8,0.35192889600251487,-0.0013603925746483489,0.0017643680768735697
-7,9,0.33844738873862174,-0.0009913970960888797,0.0014246592309343136
-7,10,0.3268319180406922,-0.0006069523661824525,0.0009562523492052934
-7,11,0.31684449099309775,-0.0002449217988314781,0.0004931968584781279
