radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.09084356216230427,0.0007419881084379622,0.09010157405386629,2,True
1.0,0.1412945692595267,0.0012400560826219943,0.14005451317690468,4,True
1.5,0.26681211114892983,0.0013712426297096396,0.26544086851922016,10,True
2.0,0.34606200149599226,0.0009181040671227571,0.34514389742886953,18,True
2.5,0.41259936609062114,0.00037418950589460727,0.41222517658472646,30,True
3.0,0.45443228284817594,9.299163898887037e-05,0.45433929120918704,40,True
3.5,0.5066084003188727,-0.00014832923363411915,0.5067567295525068,56,True
4.0,0.5457930090196671,-0.0001969699644757063,0.5459899789841429,72,True
4.5,0.5804975463380778,-0.00012761075087082112,0.5806251570889486,90,True
5.0,0.6164830121397813,-0.00014526479722848005,0.6166282769370098,112,True
5.5,0.648608533231037,-0.00012233901359535808,0.6487308722446323,136,True
6.0,0.6728929257686015,-8.701794928880771e-05,0.6729799437178902,158,True
6.5,0.7024806933190085,-7.901670194865535e-05,0.7025597100209572,188,True
7.0,0.7291004460814219,-6.087735791602189e-05,0.7291613234393377,220,True
7.5,0.7534341257585846,-3.36629917098856e-05,0.7534677887502945,254,True
8.0,0.773719924606521,-2.15368516816067e-05,0.7737414614582026,286,True
8.5,0.7934159042602644,-4.715300430411411e-05,0.7934630572645686,320,True
9.0,0.813627302431571,-0.0001405419670606568,0.8137678443986317,360,True
9.5,0.8313844565103162,-0.00026562882959408046,0.8316500853399104,400,True
10.0,0.8494933260991272,-0.00044899357055434267,0.8499423196696815,444,True
