j,l,ux,uy,uz,gx,gy,gz
-9,0,-0.4915649511499811,-0.0005643911279357499,0.00045238242371210135,-5.814129126063827e-12,1.8594349150691247e-11,-3.8610512356762605e-12
-9,1,0.49124549682359075,-8.945954930089485e-05,0.000712662018919974,7.139535490585658e-12,-7.878548204456881e-11,9.620660973604089e-11
-9,2,0.4736403523732046,0.00018408350981079236,0.0005892880905102618,1.599502171337197e-11,4.7038695855095014e-11,-5.456781261656968e-11
-9,3,0.4558111405829219,0.00029116079476581636,0.000417894801608041,-1.7987229761207146e-11,-4.7784314374278714e-11,2.1285477923966255e-11
-9,4,0.43802152411064116,0.00019739731830746338,0.0002726671484242121,-5.564806298055669e-11,-2.5277956973695365e-11,-1.398725902354396e-11
-9,5,0.4205780128288112,-1.367469669918988e-05,0.0002194843821681891,-5.909041572021989e-11,-7.297368102582996e-11,2.1304371380101786e-11
-9,6,0.4037925857747698,-0.0002000777314813574,0.00024693454199437774,-8.497048160568954e-11,4.435706641402193e-11,-3.450384098715401e-11
-9,7,0.387903399447667,-0.00027811733150215643,0.00024229293652715676,-2.5447417176943654e-11,-8.36082123673032e-11,-7.255255044750358e-11
-8,-2,-0.45588822270161417,-0.001486399892004749,-9.674779489900404e-06,-2.3043251768523065e-11,-8.688836629355823e-11,-6.670627765437143e-11
-8,-1,-0.472470500911972,-0.0017530476655152625,0.00038525015606507537,-4.096589430527264e-11,5.02818012920736e-11,2.8317277559267162e-11
-8,0,-0.4905509242486063,-0.0018034868793742854,0.0009964807879274523,-5.811189463661437e-11,5.1127124777762545e-11,-2.17719976162295e-10
-8,1,0.490289484509581,-0.0003496319296141752,0.001077735915595669,-6.508997507648218e-11,-9.767184240214166e-12,5.90391893359743e-11
-8,2,0.4708828701782185,0.0003894024353469725,0.0007105612223175771,-8.834779826119576e-11,-1.7220901619855247e-10,3.4970142775460344e-11
-8,3,0.4513207695076901,0.0005842261272470529,0.00042632652455045747,-6.497271297367657e-11,-6.71335393417731e-11,2.8176816674156668e-11
-8,4,0.4318110498296885,0.0002925225821707527,0.00033268114577860385,-4.445568262470556e-11,7.691089366941573e-11,-2.069760779866564e-11
-8,5,0.41270439161131117,-0.0002097960164336219,0.00044959057767061646,-1.2311191996405846e-11,-3.0587778403895483e-12,6.533199361277026e-11
-8,6,0.3944546394539312,-0.0006393191597087583,0.0006216064876016429,2.1076313437562444e-11,4.900096496097961e-11,2.920910952344813e-11
-8,7,0.3774911901913183,-0.0006394236882276705,0.0005999562095921225,-3.37814320787444e-11,-1.2353991094005146e-10,-9.478699845421462e-11
-8,8,0.3620341712910505,-0.00038300013866200786,0.0004157646005608144,8.071415828455122e-11,-1.0998025233577291e-10,1.8200138011265077e-10
-7,-3,-0.4345755880372587,-0.0021646371467608856,-0.00027531536808330444,-2.322393341004647e-11,8.074320422338244e-11,-7.608442597738935e-11
-7,-2,-0.45068359071297165,-0.0037937852613414134,-0.00024016921402429464,8.612172129954243e-11,2.3109079753946826e-12,-1.274484647591917e-10
