j,l,ux,uy,uz
-9,0,-0.4921750911024452,-0.000534008185111558,0.0004711934434281262
-9,1,0.4893273547535756,-3.46478052076213e-05,0.0007354524942962182
-9,2,0.47044455330327895,0.00025551599114891836,0.0006124424615106937
-9,3,0.45134707890368647,0.00036188878258784575,0.00043659931845105873
-9,4,0.43229099273290267,0.0002612342107626474,0.0002894634501226722
-9,5,0.4135728374179887,3.337370929058969e-05,0.0002374830903360268
-9,6,0.39550687296952636,-0.00016698939847023016,0.0002666989709482147
-9,7,0.37834679437960755,-0.0002621227229775415,0.0002602699897290724
-8,-2,-0.45375701041536215,-0.00151053647563495,-8.077499039024525e-06
-8,-1,-0.47165616271798333,-0.0017547157110578437,0.00039622960984051083
-8,0,-0.49108866251180683,-0.0017407342100161575,0.0010244976115150108
-8,1,0.4884149407857871,-0.00023581633483338348,0.0011219210132754386
-8,2,0.46772051887259786,0.00053416108048716,0.0007544553762586271
-8,3,0.4469013214014879,0.0007287227185654426,0.0004669118037639853
-8,4,0.4261272337337154,0.00041744442688833945,0.00037780179521548036
-8,5,0.40573952067660857,-0.00012311963823868384,0.0005138123644768676
-8,6,0.3862016518968,-0.0005788340875273865,0.0006982287660927741
-8,7,0.36796318171110176,-0.0006034724774164193,0.000674493173204352
-8,8,0.35127749718729295,-0.0003744692728115358,0.00046354555882833863
-7,-3,-0.4309830257856301,-0.002215289773514319,-0.0002974337353706028
-7,-2,-0.44838829730554236,-0.0038563938789990477,-0.00026569780413024727
-7,-1,-0.46809625981082653,-0.004112994052749735,5.122107418504828e-05
-7,0,-0.489803097617979,-0.0031676596181722787,0.0006310275375381571
-7,1,0.4871669078877223,-0.0003487543975227652,0.000719793614766218
-7,2,0.4641650019668535,0.0008907620540611013,0.0003085165116991364
-7,3,0.44108266015578423,0.0009854685663764466,0.0002063241486937148
-7,4,0.41804591131811,0.0003176273126928222,0.0005001953811801683
-7,5,0.39558695151430306,-0.0005918638879566466,0.0010210204361268246
-7,6,0.37445605327277576,-0.0011178257390317295,0.0014451895861500627
-7,7,0.35530512676744985,-0.0011325867659614736,0.0015013186427720831
-7,8,0.3383660997674771,-0.0006733491756271915,0.001131804786809317
-7,9,0.32360336092388853,-0.00028607537735584026,0.0006245701401170166
-6,-4,-0.40673741765088306,-0.002418266701273104,-0.0008821597440278927
-6,-3,-0.4230033711660369,-0.005028549940306861,-0.0014324095600703854
-6,-2,-0.4418758308852628,-0.006892592189892444,-0.001694392960121179
-6,-1,-0.4637208009319977,-0.0067871856224113155,-0.0013958974070768198
-6,0,-0.4882874937656971,-0.004842405464814144,-0.0006186142526203799
-6,1,0.48536297993781863,-0.00034776573627306643,-0.00028966262672409834
-6,2,0.45935418020242585,0.0012377619413410472,-0.0004665700447798243
-6,3,0.43327127419117445,0.0009846760175305693,-4.8838841305376394e-05
-6,4,0.40727096630526655,-0.00020907731747262672,0.0008715781475450294
-6,5,0.3823580741969561,-0.001336012888440605,0.0019001608133075328
-6,6,0.3597288626548287,-0.0017939164678885614,0.0024198497564205876
-6,7,0.340002496626251,-0.0015082512999407727,0.00237121828060249
-6,8,0.3231674788998352,-0.0008470845438796433,0.0016862420103893616
-6,9,0.3089085022095171,-0.0003202347667867691,0.0007597606547103701
-5,-5,-0.38176322831296766,-0.002184500008573283,-0.0015085476645901345
-5,-4,-0.39617854507305506,-0.005194269293378867,-0.0028136636270185192
-5,-3,-0.41323476773720363,-0.008338149226209143,-0.0038323013217911772
-5,-2,-0.43370982550387144,-0.010282127687561772,-0.00421958516378305
-5,-1,-0.4581762175331024,-0.009967165934649684,-0.0038313713578441407
-5,0,-0.486476147760384,-0.006894559687224331,-0.0026259795605292776
-5,1,0.48263698583581693,-0.0002710286574856814,-0.0017443309142427573
-5,2,0.4525732371730142,0.0014776447453228923,-0.0013055226570944278
-5,3,0.42237280796473514,0.00048524965693612793,-6.2813379307140814e-06
-5,4,0.39250918606382823,-0.00122539111964551,0.0018184893786689674
-5,5,0.3650906288524887,-0.0023183147478354196,0.0030908320485837316
-5,6,0.34148840810657566,-0.002283993506416305,0.0036026529340820817
-5,7,0.3218476566255712,-0.0014419677774843527,0.0028060316751069092
-5,8,0.30572711690521703,-0.0007627524469121775,0.001773356592859362
-5,9,0.2925307710651394,-0.00021078407349797238,0.0008564813998536868
-5,10,0.2816429105837124,-3.526021833280403e-05,0.000289937234491129
-4,-6,-0.3569511195836596,-0.0016617008909484087,-0.0018496348514896322
-4,-5,-0.36892409836470824,-0.004398078472929068,-0.003796572057094368
-4,-4,-0.38321574136325753,-0.008070548351161905,-0.00564504070512154
-4,-3,-0.40082995786185,-0.011647099953700439,-0.0069646038825628195
-4,-2,-0.42297611517370315,-0.014055984982544543,-0.007583770632260724
-4,-1,-0.4507519100644551,-0.01379103419683694,-0.0071104108094224025
-4,0,-0.4842447729892321,-0.009597908592293397,-0.005297020684904534
-4,1,0.4783582450537105,-0.00015725250260984036,-0.0034149319692105503
-4,2,0.44239072887355696,0.0013100902622176758,-0.0017975646635445485
-4,3,0.4062800382175372,-0.0007129258871977961,0.0009370125896375032
-4,4,0.37203245519547284,-0.00273670949644095,0.003367033220650361
-4,5,0.34289143853213705,-0.003076240357194144,0.004799777653005442
-4,6,0.31941329843252253,-0.0018768143089024705,0.0037208893280376216
-4,7,0.3008939413584647,-0.0011261753388532405,0.0024173733826904718
-4,8,0.28636810684362785,-0.0005117580884819723,0.001331169102139347
-4,9,0.27483669268506444,-0.0001969131115079518,0.0006485216717023926
-4,10,0.26546782239989714,-2.818922281920054e-06,0.0001771439057246287
-3,-7,-0.33317565654703873,-0.0010719347217122471,-0.00160499110185486
-3,-6,-0.34237688557440193,-0.0030395053546686483,-0.0038313644012512105
-3,-5,-0.35334164779581967,-0.006303635469254874,-0.006279132051420931
-3,-4,-0.36690867266771554,-0.010413959439316741,-0.008444018997954961
-3,-3,-0.3844231069706002,-0.014695451680002483,-0.010280916167682909
-3,-2,-0.407938096656422,-0.018022907757351544,-0.011423897316885322
