j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.9920080691678699,0.0,0.0,0.9918657710858573,0.0,0.0,False
-18,0,-15.444119700822489,0.9915563425364657,0.0,0.0,0.9914140444544531,0.0,0.0,False
-17,0,-14.57809429703805,0.9910515052318095,0.0,0.0,0.9909092071497969,0.0,0.0,False
-16,0,-13.712068893253612,0.9904836082072599,0.0,0.0,0.9903413101252473,0.0,0.0,False
-15,0,-12.84604348946917,0.9898400527137963,0.0,0.0,0.9896977546317837,0.0,0.0,False
-14,0,-11.980018085684733,0.9891046455802479,0.0,0.0,0.9889623474982353,0.0,0.0,False
-13,0,-11.113992681900296,0.9882562194312632,0.0,0.0,0.9881139213492506,0.0,0.0,False
-12,0,-10.247967278115857,0.9872665647778809,0.0,0.0,0.9871242666958683,0.0,0.0,False
-11,0,-9.381941874331417,0.9860972375378708,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9846944578939377,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.9831040862921183,0.00046873225912916596,0.0002588205787974694,0.9829617882101057,0.00046873225912916596,0.0002588205787974694,True
-8,0,-6.783865662978103,0.9811425108084524,0.0014399215015881536,8.027272629831331e-05,0.9810002127264398,0.0014399215015881536,8.027272629831331e-05,True
-7,0,-5.917840259193664,0.9786640175134294,0.002707039089026375,6.528575561348877e-05,0.9785217194314167,0.002707039089026375,6.528575561348877e-05,True
-6,0,-5.0518148554092255,0.9754158951472103,0.0043319069708276075,0.00029665602474401897,0.9752735970651977,0.0043319069708276075,0.00029665602474401897,True
-5,0,-4.185789451624787,0.9710053146313291,0.006417907078461077,0.0008220387198236007,0.9708630165493165,0.006417907078461077,0.0008220387198236007,True
-4,0,-3.319764047840348,0.9647143725294549,0.00918217727177439,0.0017764982976128836,0.9645720744474423,0.00918217727177439,0.0017764982976128836,True
-3,0,-2.4537386440559095,0.954963537350969,0.01272300391319682,0.003477261486773563,0.9548212392689563,0.01272300391319682,0.003477261486773563,True
-2,0,-1.5877132402714706,0.937028991984526,0.017771372583148357,0.00655366827134455,0.9368866939025134,0.017771372583148357,0.00655366827134455,True
-1,0,-0.7216878364870323,0.8916631707006565,0.02484079555914908,0.011892948253848214,0.8915208726186439,0.02484079555914908,0.011892948253848214,True
0,0,0.14433756729740643,0.746945394734783,0.03071825035139214,0.022477873912416024,0.7468030966527704,0.03071825035139214,0.022477873912416024,True
1,0,1.010362971081845,0.2468833073316108,0.0309156228840443,0.021485423336460814,0.24674100924959816,0.0309156228840443,0.021485423336460814,True
2,0,1.8763883748662837,0.10416999901422531,0.02467426306093733,0.01120977359322936,0.10402770093221267,0.02467426306093733,0.01120977359322936,True
3,0,2.7424137786507226,0.0601040808766722,0.017480306864999,0.006151196058908694,0.05996178279465955,0.017480306864999,0.006151196058908694,True
4,0,3.608439182435161,0.0428678139717528,0.012385899392638521,0.0031610728117997906,0.042725515889740155,0.012385899392638521,0.0031610728117997906,True
5,0,4.474464586219599,0.03345944402909989,0.008760647583003744,0.0015095400643646397,0.03331714594708724,0.008760647583003744,0.0015095400643646397,True
6,0,5.340489990004038,0.027344082592157946,0.005927680339469815,0.0006033011066748743,0.0272017845101453,0.005927680339469815,0.0006033011066748743,True
7,0,6.206515393788477,0.023047909570138556,0.0037377099109976606,0.0001714600098797625,0.02290561148812591,0.0037377099109976606,0.0001714600098797625,True
8,0,7.072540797572915,0.01988642412690237,0.0020163086351613992,8.916686052547033e-05,0.019744126044889725,0.0020163086351613992,8.916686052547033e-05,True
9,0,7.938566201357354,0.01746903117335024,0.0006912766411111523,0.0002794275916899382,0.017326733091337594,0.0006912766411111523,0.0002794275916899382,True
10,0,8.804591605141791,0.01559013827008754,0.0,0.0,0.015447840188074897,0.0,0.0,False
11,0,9.670617008926232,0.014187358626154539,0.0,0.0,0.014045060544141895,0.0,0.0,False
12,0,10.53664241271067,0.013018031386144477,0.0,0.0,0.012875733304131833,0.0,0.0,False
13,0,11.402667816495107,0.012028376732762181,0.0,0.0,0.011886078650749537,0.0,0.0,False
14,0,12.268693220279548,0.01117995058377741,0.0,0.0,0.011037652501764765,0.0,0.0,False
15,0,13.134718624063986,0.010444543450229155,0.0,0.0,0.010302245368216511,0.0,0.0,False
16,0,14.000744027848423,0.009800987956765445,0.0,0.0,0.009658689874752801,0.0,0.0,False
17,0,14.866769431632862,0.009233090932215832,0.0,0.0,0.009090792850203188,0.0,0.0,False
18,0,15.732794835417302,0.008728253627559496,0.0,0.0,0.008585955545546852,0.0,0.0,False
19,0,16.59882023920174,0.008276526996155343,0.0,0.0,0.0081342289141427,0.0,0.0,False
