j,l,ux,uy,uz
-9,0,-0.49143220061000303,-0.0005706738474650983,0.0004489990473956989
-9,1,0.49167122634901894,-0.00010146255621893275,0.0007079712220262582
-9,2,0.4743537839957616,0.00016810416358793983,0.0005850820125901523
-9,3,0.4568094101974539,0.0002747953254942874,0.0004149879137118538
-9,4,0.43930382261633505,0.00018295354594197064,0.0002704414177372585
-9,5,0.42214488528101823,-2.4854208117274173e-05,0.00021663294005740735
-9,6,0.40564346278489344,-0.00020741034198814686,0.00024338784505339376
-9,7,0.39003349249882163,-0.0002812198314143658,0.0002392006696040277
-8,-2,-0.4563690676071822,-0.0014817988101328966,-9.234758165083701e-06
-8,-1,-0.47265767211738763,-0.0017525036114354278,0.0003827796150273715
-8,0,-0.49043622808236365,-0.0018163451201876684,0.0009909895198383057
-8,1,0.4907054353179497,-0.0003759057490783199,0.0010716537838450523
-8,2,0.47159074576139687,0.0003554334734092868,0.0007048973995362019
-8,3,0.452314786209109,0.0005500062493316545,0.00042115000462461234
-8,4,0.4330908973364075,0.00026308380713432406,0.0003253681709320774
-8,5,0.4142712834236298,-0.00023177602286840956,0.0004379678766878781
-8,6,0.39630779180633724,-0.0006530061754498439,0.0006061697870860303
-8,7,0.37962346584165185,-0.0006460874676189676,0.0005846109242293512
-8,8,0.36443211249668545,-0.0003844571287822103,0.00040526680194021
-7,-3,-0.4353806517034004,-0.002154756057278388,-0.0002707995003407371
-7,-2,-0.45120369540276645,-0.0037815208444532513,-0.00023523976242988118
-7,-1,-0.4692518170359504,-0.004088486160075966,5.921412324024592e-05
-7,0,-0.48924073979674215,-0.0032696537171507814,0.0005948757413961862
-7,1,0.4894218777504334,-0.0005616862144079923,0.0006605927335604817
-7,2,0.4680206872247941,0.0006163763736114009,0.00024169652931286438
-7,3,0.44649767253696887,0.0007235033997636548,0.00012949911731417377
-7,4,0.4250340153898009,0.00011327356521630845,0.0003865061391396859
-7,5,0.4041683231304917,-0.0007254642072173769,0.0008532823759519229
-7,6,0.3846237521239879,-0.0012086739255418115,0.0012411902352060563
-7,7,0.36701988861704865,-0.001191598686089557,0.0012960832701566609
-7,8,0.35155526705527473,-0.0007056318295188802,0.0009763746159014987
-7,9,0.33819653305029934,-0.00029422043578827925,0.0005409878503446876
-6,-4,-0.41293288881701534,-0.002350733162578734,-0.0008252220935661775
-6,-3,-0.42769896561628346,-0.00489336129548064,-0.0013428437433777763
-6,-2,-0.4449575835348301,-0.006746300900817408,-0.0016062096371055204
-6,-1,-0.4650567001779406,-0.0067183017584892925,-0.0013576933522863952
-6,0,-0.4878087854772742,-0.004965631659460626,-0.0006369347024710337
-6,1,0.4876052131466169,-0.0006319573084687922,-0.0003403019513479045
-6,2,0.4632410784315555,0.0008811439607153,-0.0005505532610480155
-6,3,0.4387682906247096,0.0006667988420152495,-0.00018130812788153176
-6,4,0.4143969163910156,-0.00042991275688490877,0.000651771070959941
-6,5,0.39112791935716024,-0.0014689918986640137,0.0015925145962793312
-6,6,0.37008521641411074,-0.0018854387784822488,0.002069614964708099
-6,7,0.3518554435664832,-0.0015824546585585532,0.002040156574559864
-6,8,0.33644009769666927,-0.00090665869056881,0.0014341655482863042
-6,9,0.3235099178025714,-0.00035710535198788874,0.0006411105071618953
-5,-5,-0.3897561018234488,-0.0021325425165436276,-0.0014186863419120128
-5,-4,-0.40277393580010623,-0.005053153884446153,-0.0026491941866498103
-5,-3,-0.4183322826202681,-0.008110832228396038,-0.0036310435628875994
-5,-2,-0.43713133322525455,-0.010041613774270855,-0.004040761186641474
-5,-1,-0.459736825883764,-0.009836444570690881,-0.003726067053785544
-5,0,-0.48608151144088013,-0.007034387618953428,-0.0026036698993478057
-5,1,0.48492184539049166,-0.000614009007149424,-0.0017819827546234753
-5,2,0.45656979075016835,0.001063855062641254,-0.0014333435432607343
-5,3,0.42806275570847524,0.00015354058343306065,-0.0002520581798169326
-5,4,0.39993494964599446,-0.0014184458673958413,0.0014218084450680372
-5,5,0.37419537955575144,-0.002429147012759597,0.002589261623292384
-5,6,0.35214132827280675,-0.0023847960408333335,0.00306523033790496
-5,7,0.3339155351839763,-0.0015615270846296141,0.00233171002292674
-5,8,0.31913049255155523,-0.000885063138041214,0.0014314939926292631
-5,9,0.3072137727897171,-0.0003022787699393476,0.0006559271417048353
-5,10,0.2975621238224901,-5.649044760874581e-05,0.00020383915075628588
-4,-6,-0.3667230738502244,-0.00164252643599331,-0.0017530737865244109
-4,-5,-0.37739875829576863,-0.004317200590262454,-0.003590331371853777
-4,-4,-0.390338392326959,-0.007874857253691645,-0.005355537289426093
-4,-3,-0.40645806986438293,-0.011344427917084962,-0.0066406496018202215
-4,-2,-0.4268810823493047,-0.013713748923836769,-0.007295821483332163
-4,-1,-0.4526628821610543,-0.013578627043277188,-0.0069320351832788795
-4,0,-0.48394839633825654,-0.00973247037434196,-0.005243374666018301
-4,1,0.4807631624863886,-0.000547279004232404,-0.003467026902353362
-4,2,0.4466317897000193,0.0008885573878560923,-0.0020259629701231017
-4,3,0.4123514734231211,-0.001002924840901887,0.0004838037198526835
-4,4,0.37994076925415027,-0.0028747670713805576,0.0027244393071820545
-4,5,0.3524489083637877,-0.0031669923979807226,0.004037752698441721
-4,6,0.33041091954572677,-0.00202897755957552,0.0030009716986593203
-4,7,0.31320949715959157,-0.0013231475014777098,0.0018364755550726915
-4,8,0.29991261551602016,-0.0007022756494647654,0.0009119062256942172
-4,9,0.2895731129604466,-0.00033173074608097995,0.00038539018444629227
-4,10,0.2813708206366655,-5.5781146867630145e-05,6.946056710456082e-05
-3,-7,-0.3446929826859477,-0.0010700826662833408,-0.0015372644891357415
-3,-6,-0.3526795296425136,-0.0030403754915697113,-0.003656077734704718
