j,l,ux,uy,uz
-9,0,-0.4914315456179609,-0.0003884499918290631,0.0004875409202630407
-9,1,0.4915942732129502,7.955674055885008e-05,0.0007023325093705448
-9,2,0.47421510924318605,0.00024087797925108277,0.00042587804227999665
-9,3,0.4565490588609445,0.00023157092044595218,0.00025962294214676494
-9,4,0.4388631840685384,0.00010475810453869686,0.00016377992005597525
-9,5,0.42151363543996156,-0.0001122531764110775,0.0001416100704123655
-9,6,0.4048150463478057,-0.0002543286319811985,0.00021354825235223005
-9,7,0.38901195003483763,-0.0003037962365258128,0.0002206745983349486
-8,-2,-0.4560927848589769,-0.0012778747022037969,-1.944238869322607e-06
-8,-1,-0.4724472101180691,-0.0014121688106296742,0.0003650887502876728
-8,0,-0.49031767433085593,-0.0014434595474033536,0.0010832590157007094
-8,1,0.4907850971009572,4.3785720230914766e-05,0.0010405660952294133
-8,2,0.4716817168182259,0.0005060093786259658,0.00045822348913229674
-8,3,0.4523020290246761,0.0004464370982924155,0.00022121595883071153
-8,4,0.43285617099437235,7.543379075736681e-05,0.00020983365855223595
-8,5,0.41378916284018985,-0.0004156700977741792,0.0003941419511365558
-8,6,0.39556970092049826,-0.0007937265735723976,0.0005817437024042301
-8,7,0.3786476883082374,-0.0007112076714952988,0.0005819904588721618
-8,8,0.36325362403798805,-0.00039661493786655763,0.00037092777878517286
-7,-3,-0.434985226742955,-0.0018181758459951335,-0.00025711279182755935
-7,-2,-0.4508615354572153,-0.0032948464407296864,-0.0001851025216431342
-7,-1,-0.4689221533673833,-0.0034808517439664953,3.9920688628534794e-05
-7,0,-0.4889807479734319,-0.0026754565349843724,0.0007139579286482037
-7,1,0.48968895068492074,7.968728558508886e-05,0.0006125331153821174
-7,2,0.4683619274678837,0.0008245036625199419,-2.9573032147540265e-05
-7,3,0.44674768847924407,0.00048683600285615036,-4.571980244616546e-05
-7,4,0.42499576601937245,-0.00020199410253188052,0.0003890718055018388
-7,5,0.403799892634822,-0.0010584405115004695,0.000907943721102333
-7,6,0.38391906361607997,-0.0014609853974209541,0.0013770384168963028
-7,7,0.36604112757581025,-0.0013527460255348838,0.001380974984100594
-7,8,0.35037712111640534,-0.0007737403691229708,0.0010840257660547244
-7,9,0.3368653834803201,-0.00027369564686478034,0.000563070078922721
-6,-4,-0.4124030715801536,-0.001985818628136669,-0.0007098338359816192
-6,-3,-0.42730817660544385,-0.004216089287517899,-0.0011790448452000766
-6,-2,-0.4445937428158311,-0.006069336221017058,-0.0014778182065532633
-6,-1,-0.4646333976695357,-0.005817007689678168,-0.0013822029703393587
-6,0,-0.4873880818318697,-0.004167476978564254,-0.0004750972161804081
-6,1,0.48810407665067695,0.00022092698205841991,-0.0003464319172944938
-6,2,0.46386402303509944,0.001057004466029434,-0.0007545843300170863
-6,3,0.43930633473830055,0.0002525774712464054,-0.00017627337186972497
-6,4,0.4145429562241638,-0.0009430829540093942,0.0008420101186437898
-6,5,0.39079725941651905,-0.0019510184460417833,0.0019472135126492088
-6,6,0.36932826909987665,-0.0022780335432505223,0.0024056028082990654
-6,7,0.3508069770738989,-0.0018624677999909956,0.0024640099368704177
-6,8,0.33520471623333153,-0.0009142151731500183,0.00161920519870312
-6,9,0.32214527669493914,-0.000327739165243571,0.000706556341474271
-5,-5,-0.3890154276706547,-0.00181637511189261,-0.001183748575422919
-5,-4,-0.4022167873029906,-0.004350084418811362,-0.0022627389005875865
-5,-3,-0.41796700182845964,-0.007234644460146559,-0.0032993406792717482
-5,-2,-0.43683862222250763,-0.009138218573214906,-0.003813669110632601
-5,-1,-0.4593276055756155,-0.008642451183448105,-0.003761453497916423
-5,0,-0.4855140512052069,-0.005979577735065484,-0.002337876999291045
-5,1,0.48575174424162426,0.0003244003134157403,-0.0016765885912294915
-5,2,0.45752763004387004,0.0011286951668368933,-0.0013749792531145852
-5,3,0.4289140746655299,-0.0005895470434264639,2.7595448970823707e-05
-5,4,0.40017288228627373,-0.0021560092948082403,0.00208314278021501
-5,5,0.37374493363046685,-0.003117785006666865,0.0032638272241295144
-5,6,0.3512126204611153,-0.0029822759216863825,0.003983862881627974
-5,7,0.33270092884963376,-0.0017020520873824916,0.0028557779018658137
-5,8,0.31774924658092846,-0.0008849208962410176,0.001733619786142807
-5,9,0.30574956195361613,-0.0002059762062471444,0.0007999076117791683
-5,10,0.2960508064119365,-1.5693821062013928e-05,0.00023792248875669937
-4,-6,-0.36576793975243,-0.0014169229436607241,-0.0014325963188989033
-4,-5,-0.376545327699117,-0.0037396547249438587,-0.0030244122396935404
-4,-4,-0.3896622319213512,-0.007023456794143961,-0.004753310409571605
-4,-3,-0.4060759342787819,-0.010313802085581308,-0.006115699220980937
-4,-2,-0.42681080039604363,-0.012625964853987226,-0.006970662897595509
-4,-1,-0.4526536153951589,-0.012009077663817029,-0.006937393842622569
-4,0,-0.4835244379627112,-0.008459531851620856,-0.004758293158817614
-4,1,0.4821197631639798,0.000309796221881318,-0.0030057865742040917
-4,2,0.44807760181411427,0.0005738954749388604,-0.0014699121160268948
-4,3,0.4134283551747058,-0.0021237946453112693,0.001486710628822959
-4,4,0.3799806827448753,-0.00392421206502289,0.0038765573146111714
-4,5,0.3516365062742102,-0.0041919819011495925,0.005607524666641641
-4,6,0.3291331992404617,-0.002357778915701111,0.003965172102440843
-4,7,0.31170334114343906,-0.0014291613478296839,0.0024745595378778368
-4,8,0.29833282414426576,-0.0005853617641958557,0.0012905542882836508
-4,9,0.2879904779732951,-0.00018031836127226742,0.0005987265204184448
-4,10,0.2798044325179391,7.672651866843632e-05,0.0001279489050860227
-3,-7,-0.34361350659230566,-0.0009674827174602213,-0.0012608791659699122
-3,-6,-0.35167152463334406,-0.0027133351061277614,-0.0030681503266598758
-3,-5,-0.3614491135400605,-0.0056473547739792065,-0.005296685567250844
-3,-4,-0.3738009423551999,-0.009401758606217113,-0.00730675760591025
-3,-3,-0.3901698755439281,-0.013387708812570894,-0.009200174291290157
-3,-2,-0.41273962989002755,-0.016427835891925934,-0.010570181791937801
-3,-1,-0.44362930008070117,-0.016328966830575994,-0.010741008772883781
-3,0,-0.482247201162443,-0.012077083628450919,-0.007356942592520147
-3,1,0.4759360005013759,-0.0005822723190551679,-0.003729453288258141
-3,2,0.43233254679709093,-0.000818263255519097,0.00034719154973620475
-3,3,0.3891914861612276,-0.004718691287752115,0.004111991011860353
-3,4,0.3520979556949151,-0.0056982096770202195,0.007603970240548989
-3,5,0.323778866025918,-0.002822759516559052,0.0049183313955854764
-3,6,0.3032034883089447,-0.0016779577125792544,0.0027517422201972933
-3,7,0.2884648715193736,-0.0007893131014664665,0.001228314741964191
-3,8,0.2776409358349135,-0.0004699586032647886,0.0004438108509687251
-3,9,0.2693992211564929,-0.00013937515013432287,8.792021546246953e-05
-3,10,0.2629519134497896,7.824615014832403e-05,-3.0029243159934147e-05
-2,-7,-0.3280914717131265,-0.001158896002769328,-0.0018556269895324872
-2,-6,-0.3349014367898999,-0.003245852849580245,-0.004307325656687518
-2,-5,-0.3430999066391129,-0.006558557902869889,-0.006632229441040872
-2,-4,-0.3535422471487187,-0.010806500935487974,-0.009012099292955674
-2,-3,-0.36802161940687506,-0.015565441313165333,-0.011475161105778252
-2,-2,-0.39057096899313315,-0.01997474802017404,-0.013814975981662928
-2,-1,-0.4279951435516037,-0.021509532358964988,-0.014621444092842143
-2,0,-0.48234121472928626,-0.017737441104583675,-0.009623364817051096
-2,1,0.46366117390727424,-0.0023286243939236255,-0.0027666986357070666
-2,2,0.40327227967203577,-0.0036268800075169956,0.0037447452341921373
-2,3,0.35263355965084064,-0.007422370053365283,0.00985274856387406
-2,4,0.31558148066522645,-0.002982376023659296,0.005694177392684912
-2,5,0.29088562849200406,-0.0013317955743016043,0.0024934475991084818
-2,6,0.27500350291680165,-0.0003925433586650582,0.0006128830787065115
-2,7,0.2642399298704421,-0.00035285000600636423,-0.00019654459884514577
-2,8,0.2564109837111075,-0.0003506369230350902,-0.0003774130537454185
-2,9,0.25047306759339505,-0.0002317610553393449,-0.0002812079108979393
-2,10,0.24585276475034454,5.368188556600715e-05,-0.00012577880329294708
-1,-8,-0.30702814799724365,-0.00015537994171073593,-0.0007076793538346968
-1,-7,-0.3108975890914468,-0.0009076279256724189,-0.0025832778100301408
-1,-6,-0.3155835145672443,-0.0030605246776465034,-0.004471194384187763
-1,-5,-0.32127651935064616,-0.0063101570825584855,-0.0064245687448514915
-1,-4,-0.328316547129151,-0.010545681206308046,-0.008592535975304677
-1,-3,-0.3377053346754067,-0.015673142635747303,-0.011396359999450248
-1,-2,-0.35371390766024635,-0.02123206853299236,-0.014950710471894472
-1,-1,-0.3911445796767517,-0.025818549419588294,-0.017791774301714934
-1,0,-0.4741561141703033,-0.024973881645724665,-0.012010206787048202
-1,1,0.4327645428126535,-0.004947234636011643,-0.002617331999383326
-1,2,0.35327723100579533,-0.0076919845933620164,0.009966280433182928
-1,3,0.30252662791429735,-0.0032972271401028297,0.004384159258086839
-1,4,0.27298740967610297,-0.0009678620900725938,0.0007398735559789858
-1,5,0.2568438569367151,0.0003538468711190835,-0.0011091154761934594
-1,6,0.24701008917909367,0.00017238803645705639,-0.0015373798153640692
-1,7,0.24027835128585143,-0.0002113823138866255,-0.0012451645439046288
-1,8,0.2353606026807175,-0.0005482707133317484,-0.0007666550039335583
-1,9,0.2316186400772681,-0.0004096339838125932,-0.00036591359602062553
-1,10,0.228760752790567,3.068616744678504e-05,-0.00011019145314526113
0,-8,-0.28991987553594073,0.0004924003676644448,-0.0009500333599753089
0,-7,-0.29168586516010675,-5.1205614070885804e-05,-0.0021538800935379963
0,-6,-0.29363744482580123,-0.001682973904752975,-0.0032336475171138527
0,-5,-0.2958605618556865,-0.00411811320801753,-0.004361560430222594
0,-4,-0.29819234681329093,-0.007329227966088454,-0.005888126612164758
0,-3,-0.29985927614540475,-0.011116312180096673,-0.008363755401608176
0,-2,-0.30033124971704533,-0.015359796668045225,-0.01274029675780995
0,-1,-0.3093439455737875,-0.020264118726162034,-0.01838467545304438
0,0,-0.3922511740369545,-0.021686373125697076,-0.014060150702808178
0,1,0.35481300424599305,-0.002962540197005736,0.003496910853468925
0,2,0.2749856552675735,0.0029040663422524138,0.003421664985992875
