j,l,ux,uy,uz
-9,0,-0.49151704913782596,-0.00042357215312513474,0.0005769018666142739
-9,1,0.49122912456935713,0.00025966923458594114,0.0008086453967113364
-9,2,0.47357198355453023,0.00039699481467257383,0.00038955187862986735
-9,3,0.4555936177619678,0.0002990458138356854,0.0002030073927911617
-9,4,0.4375760903025297,6.856808050165519e-05,0.00013356471441385912
-9,5,0.4199761552987592,-0.00019045700914547788,0.00019903653060544322
-9,6,0.40326440089396964,-0.0003641272283072727,0.0002883494261664314
-9,7,0.38791197959051443,-0.0003634513856597934,0.00035752584798379254
-8,-2,-0.45572020481412756,-0.0014500248877534906,-0.00012686482042993427
-8,-1,-0.4720975754580086,-0.001633033408267199,0.00020597732286364626
-8,0,-0.49039219851609867,-0.0016070434781397924,0.0010890481526755768
-8,1,0.4899913829068547,0.0004329023319384302,0.0010339540728576152
-8,2,0.47022205414585766,0.0008707592471201578,0.0003375721996303954
-8,3,0.45013119709217414,0.0005329367089013655,0.00015317357858180938
-8,4,0.4299386651872903,-2.1149080522273928e-05,0.00034940379370004907
-8,5,0.41033705618795013,-0.0006383879010901844,0.000633882211433263
-8,6,0.39204441444851323,-0.0009779188579190656,0.0009626711009384573
-8,7,0.3757198031259123,-0.0007651327125918145,0.0007465668736363274
-8,8,0.36167837832063593,-0.00038431952631813083,0.0005389809160505198
-7,-3,-0.4342470763124593,-0.0019707655055566362,-0.0005078432797518929
-7,-2,-0.44975956307663734,-0.003729225339779262,-0.0006416274136067169
-7,-1,-0.46803951066522453,-0.004023918550924966,-0.000491196897918656
-7,0,-0.48896534321008994,-0.0030339767380119865,0.0003920470313629462
-7,1,0.4883267124275001,0.0007066660897152525,0.0004090262940590744
-7,2,0.46574847278396303,0.0013108744286905083,-0.00023422420500367772
-7,3,0.4428446329968734,0.0005205698598476852,5.603906377112155e-05
-7,4,0.41980672432072763,-0.000512214553179561,0.0007518581735435376
-7,5,0.3978128404335245,-0.0013840875068375472,0.0015925007178984282
-7,6,0.378030449076404,-0.001579396645696608,0.0017821882030034247
-7,7,0.3610417162734379,-0.0012570460559596427,0.0018173869784611678
-7,8,0.34688022393715484,-0.0004225787889330148,0.0009293276630749964
-7,9,0.3352994133812534,-0.0002156393680992451,0.000421015696694574
-6,-4,-0.41116501830783236,-0.0020294650205867266,-0.0010392596364939416
-6,-3,-0.42521868569018767,-0.004545846490120541,-0.0018620277816917457
-6,-2,-0.44232735792931244,-0.006844521681211862,-0.0024484254607431933
-6,-1,-0.46295807812250633,-0.006779684745382423,-0.0025015440986936414
-6,0,-0.48720251986205226,-0.0048182401513716935,-0.0012333751715981772
-6,1,0.48596488474598587,0.000982471747864981,-0.0007859194728233778
-6,2,0.4595143935522204,0.0015881321015936852,-0.0008210692458323158
-6,3,0.43273624065894856,-5.443114651539927e-05,0.0002029483090430945
-6,4,0.40594139015299974,-0.0014980205004830932,0.0018650573767137195
-6,5,0.38141414828758835,-0.002300574379455466,0.0026917984415484146
-6,6,0.3605969174317189,-0.0021981297897047743,0.0032558745590192187
-6,7,0.34357638531386775,-0.0010254634477064525,0.0020644870577142737
-6,8,0.3299570723812433,-0.0005051801037723108,0.0011654877416472289
-6,9,0.31935310360911073,-0.00015867748822009591,0.00038697592607698985
-5,-5,-0.3873151496882522,-0.0017000009700800837,-0.001502346079636059
-5,-4,-0.3989163230169123,-0.0043555869403287565,-0.0029989272471980808
-5,-3,-0.4137122687731065,-0.007718414490160822,-0.004462657584655984
-5,-2,-0.43266281544267027,-0.010270334339072259,-0.005409289915484556
-5,-1,-0.45651557135170634,-0.01014746002622786,-0.005588277480178527
-5,0,-0.4852639193559515,-0.00721859719896679,-0.0036237431253771098
-5,1,0.482418334358168,0.0011231153833551801,-0.0021374803785215463
-5,2,0.450304019337843,0.0012921372506030891,-0.0010264048167444564
-5,3,0.4177791984940512,-0.0013083501829157576,0.0014436066557164105
-5,4,0.3865300726904726,-0.002944975887735194,0.0033621235141547134
-5,5,0.36014112932687803,-0.0031960544537877862,0.0047914572826211225
-5,6,0.3392763101970058,-0.0014971502684266948,0.0030736329861648527
-5,7,0.3232458137686905,-0.0008159296938692895,0.0017534568008106294
-5,8,0.31103961726713486,-0.00025546216100109427,0.0006962272418702
-5,9,0.3017150116861933,-0.0001308210760743647,0.00014969699063964735
-5,10,0.29456541399082464,2.2373000129658852e-07,-4.515067711186488e-05
-4,-6,-0.36393256111216404,-0.0011717037239871112,-0.0016330440423573372
-4,-5,-0.37248827932728473,-0.0033466659795604176,-0.003568225376648895
-4,-4,-0.38347155264154154,-0.006868237132789542,-0.005677425523522372
-4,-3,-0.39832687648825327,-0.01081282478442633,-0.007565423344862847
-4,-2,-0.4191068018714163,-0.014097425851757658,-0.009060218570256445
-4,-1,-0.4478158920846083,-0.014384450979583907,-0.009448749821774054
-4,0,-0.48398592816065045,-0.01074914410867117,-0.006338822672342357
-4,1,0.47650424337816505,0.0004638815093108701,-0.0030260819195751503
-4,2,0.43514337817611237,0.00020948440659879463,0.000488920835386708
-4,3,0.39445723706040364,-0.003494565581741964,0.003666534430702302
-4,4,0.3596724954412264,-0.004432483460542262,0.006661823514147753
-4,5,0.33323513833627816,-0.001746130129601657,0.003905820545395703
-4,6,0.3141807458532641,-0.0008577366117475773,0.0019151471399151475
-4,7,0.3006548206187645,-0.00022259288461155767,0.0005432878787708114
-4,8,0.29082484845697515,-0.00014956000030519995,-9.502523835785343e-05
-4,9,0.28338467196845574,-0.00015973565205330156,-0.000251187421587229
-4,10,0.27773544841494474,-6.910830786467988e-05,-0.00018351033708190808
-3,-7,-0.34190143182117794,-0.0006277735591101401,-0.001291291468768976
-3,-6,-0.347585096940256,-0.0019201757477042322,-0.0032353082370683026
-3,-5,-0.3546287386847925,-0.0046805365983888635,-0.00555060908307258
-3,-4,-0.3638690205599116,-0.008612497118621975,-0.007796877569096576
-3,-3,-0.3769936209424001,-0.013303206097707463,-0.010212209219523859
-3,-2,-0.39782124038881045,-0.017758009470152887,-0.012559682943262172
-3,-1,-0.43285728608552637,-0.01953914025292865,-0.01356883485252353
-3,0,-0.48418899831941903,-0.01624558074333141,-0.008905169690960881
-3,1,0.46471991250274436,-0.001021688416555376,-0.0024612238468009794
-3,2,0.40720261187417023,-0.0020906395884827855,0.003370542424473201
-3,3,0.3591352751202196,-0.005767661228434286,0.008751329349832727
-3,4,0.324285613518816,-0.001640650401329667,0.004556550990891223
-3,5,0.3013669875283894,-0.0002983037256229597,0.0015950308243951239
-3,6,0.2867506717025629,0.0003856794861919494,-9.627503966674489e-05
-3,7,0.2769626686495316,0.00020120634804189334,-0.0007573685244375819
-3,8,0.2699800522263941,-8.32449677840738e-05,-0.000788070692663599
-3,9,0.2647629888780338,-0.0003191919099259546,-0.000543047100833258
-3,10,0.2608160182072685,-0.00016681217976797727,-0.00024767443015425334
-2,-7,-0.3249626874394492,-0.00041263924141049854,-0.0015828114749503208
-2,-6,-0.3285625037930996,-0.001902285170816545,-0.0035780442542558766
-2,-5,-0.33325420039895104,-0.00471689309242464,-0.005506767735345277
-2,-4,-0.3393201568988953,-0.008728698011858806,-0.007678165206202504
-2,-3,-0.3476371800563042,-0.01372921110979428,-0.0104494722649718
-2,-2,-0.36217361720309676,-0.01922872606396277,-0.014069763353934164
-2,-1,-0.3972193996667883,-0.0238357613149247,-0.017169840510864336
-2,0,-0.47658421294245157,-0.023230024931384635,-0.011843471572057515
-2,1,0.434462402767919,-0.00313856453752146,-0.0029501106227237716
-2,2,0.3584756750918614,-0.00553947294194894,0.00870091963236532
-2,3,0.3104912348133337,-0.0014985324349739103,0.003264587373877085
-2,4,0.2829717881102119,0.00039406472309302075,-6.129036143905367e-05
-2,5,0.26814674982174447,0.0014052719300616853,-0.0017031220210757198
-2,6,0.2592626641620941,0.001000576396551933,-0.002006785823193875
-2,7,0.25335997217971984,0.0003665063795414143,-0.0016200005047795451
-2,8,0.24923679679687377,-0.0002917995164131432,-0.0010560250319873279
-2,9,0.24624044401804343,-0.000571518123230003,-0.0005294616527825929
-2,10,0.24397635692432187,-0.000263986467161923,-0.0002063887299855082
-1,-8,-0.3050180909009059,0.000371766047658919,-0.0005921870207147689
-1,-7,-0.3058101658493394,0.0004006840223482801,-0.001842927226434897
-1,-6,-0.30683153457950507,-0.0007432133434197602,-0.0029652288146481427
-1,-5,-0.3082061470636459,-0.0028482446677253435,-0.0041464880551018435
-1,-4,-0.3097691895971651,-0.005857101918348015,-0.005689888439594073
-1,-3,-0.3106248081778432,-0.009492564854878587,-0.008251953134227254
-1,-2,-0.30981130589927436,-0.013568540661719706,-0.012869393592245192
-1,-1,-0.3165859323051492,-0.018384608542466357,-0.018943108348987454
-1,0,-0.396108211592657,-0.01979779032853002,-0.015189921338423083
-1,1,0.35691342288545064,-0.0007468628687786593,0.0017578442705574555
