j,l,ux,uy,uz
-9,0,-0.49172417444863775,-0.000526869565300749,0.000919455308606604
-9,1,0.49073462577455124,0.00017800447097723386,0.001385519016176754
-9,2,0.4723248754761035,0.0010673214607342346,0.0013146353419585836
-9,3,0.45366473795037987,0.0016665971594201124,0.0007320907139031915
-9,4,0.4353515452546673,0.0017628670213754925,-6.487954825492078e-05
-9,5,0.4178631106261766,0.0014577005813260074,-0.0007296888506855777
-9,6,0.4015557647510018,0.0009834361149172125,-0.0010251804213108797
-9,7,0.386723360602582,0.0005535764546331515,-0.0008289855709227642
-8,-2,-0.45596340068196756,-0.001141900569163403,0.0004995981563051732
-8,-1,-0.47234487084243665,-0.00142663324587265,0.0013268029121628504
-8,0,-0.4908057242659264,-0.0011812199361160354,0.0020223614018718876
-8,1,0.48887945250032083,0.000528874438441066,0.0021710223367231605
-8,2,0.46750062092840383,0.0025796192026944584,0.0014472030998323928
-8,3,0.4461306276712233,0.003770024391456183,8.990239237387462e-05
-8,4,0.4256213122152676,0.003742802302026302,-0.0012552985440440073
-8,5,0.40655730370920456,0.002867625144905492,-0.0020803819263433233
-8,6,0.3892899205327733,0.0016960732464660934,-0.0021985687439948923
-8,7,0.3739643197238635,0.0005899238475419735,-0.0016711345455433849
-8,8,0.3605937375292433,-1.926370068573557e-06,-0.0009623477696629155
-7,-3,-0.43419721934777256,-0.0016826653889505114,0.00033958925769851455
-7,-2,-0.44963870116682053,-0.002815617936002809,0.000875783641382295
-7,-1,-0.4680562112104353,-0.003114962858741823,0.0015891843177305983
-7,0,-0.4894501465951975,-0.002119822266111832,0.002203813386789615
-7,1,0.48641776674211135,0.0013348414551421946,0.002009185333909919
-7,2,0.4611155316647349,0.004892167031927714,0.00043125908353642943
-7,3,0.43644761652276204,0.006370027571109591,-0.0016865942120044483
-7,4,0.41347828972691575,0.005699903709125559,-0.0032381018615178377
-7,5,0.39283551345124545,0.003888573543709896,-0.003750578135679739
-7,6,0.3747585576892382,0.0019118690857875752,-0.0033504921214629222
-7,7,0.35918698125719656,0.00037816872245307974,-0.0024852713692927607
-7,8,0.3458638042339971,-0.0004667647605890967,-0.0014749968215356207
-7,9,0.3344691776772321,-0.0004590621447243459,-0.0006522701004609686
