j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.9918828371163816,0.0,0.0,0.9918828371163816,0.0,0.0,False
-18,0,-15.444119700822489,0.9914320546587712,0.0,0.0,0.9914320546587712,0.0,0.0,False
-17,0,-14.57809429703805,0.9909282718509096,0.0,0.0,0.9909282718509096,0.0,0.0,False
-16,0,-13.712068893253612,0.9903615601251208,0.0,0.0,0.9903615601251208,0.0,0.0,False
-15,0,-12.84604348946917,0.9897193465967873,0.0,0.0,0.9897193465967873,0.0,0.0,False
-14,0,-11.980018085684733,0.9889854712321714,0.0,0.0,0.9889854712321714,0.0,0.0,False
-13,0,-11.113992681900296,0.9881388098037639,0.0,0.0,0.9881388098037639,0.0,0.0,False
-12,0,-10.247967278115857,0.9871512100477771,0.0,0.0,0.9871512100477771,0.0,0.0,False
-11,0,-9.381941874331417,0.9859843053948623,0.0,0.0,0.9859843053948623,0.0,0.0,False
-10,0,-8.51591647054698,0.9845844236142178,0.0,0.0,0.9845844236142178,0.0,0.0,False
-9,0,-7.649891066762541,0.9827540717555406,0.0005234340047337737,0.00040980311582907293,0.9827540717555406,0.0005234340047337737,0.00040980311582907293,True
-8,0,-6.783865662978103,0.9805056484289458,0.001224379033233837,0.00017448151798798365,0.9805056484289458,0.001224379033233837,0.00017448151798798365,True
-7,0,-5.917840259193664,0.9775546799800855,0.002375997216315852,-9.396024167280864e-05,0.9775546799800855,0.002375997216315852,-9.396024167280864e-05,True
-6,0,-5.0518148554092255,0.9733854321915323,0.004358522837085744,-0.00038129022653172876,0.9733854321915323,0.004358522837085744,-0.00038129022653172876,True
-5,0,-4.185789451624787,0.9667241673076012,0.008194879522400738,-0.0006908526241594298,0.9667241673076012,0.008194879522400738,-0.0006908526241594298,True
-4,0,-3.319764047840348,0.9538006745740251,0.016459393931704484,-0.0011015163555411719,0.9538006745740251,0.016459393931704484,-0.0011015163555411719,True
-3,0,-2.4537386440559095,0.9242493872348687,0.03424952538585719,-0.0013266010725072426,0.9242493872348687,0.03424952538585719,-0.0013266010725072426,True
-2,0,-1.5877132402714706,0.8569282484235767,0.0665949435873827,0.00427153650467222,0.8569282484235767,0.0665949435873827,0.00427153650467222,True
-1,0,-0.7216878364870323,0.717979509383242,0.11108919556870199,0.02815863112107654,0.717979509383242,0.11108919556870199,0.02815863112107654,True
0,0,0.14433756729740643,0.5519361116061023,0.142084383730682,0.0449488562313635,0.5519361116061023,0.142084383730682,0.0449488562313635,True
1,0,1.010362971081845,0.40860902843858293,0.13833396382270885,0.042538836813163505,0.40860902843858293,0.13833396382270885,0.042538836813163505,True
2,0,1.8763883748662837,0.24285644266587317,0.10022096566689664,0.022518631646128693,0.24285644266587317,0.10022096566689664,0.022518631646128693,True
3,0,2.7424137786507226,0.12051133210820593,0.057379764758213554,0.0011744171802250264,0.12051133210820593,0.057379764758213554,0.0011744171802250264,True
4,0,3.608439182435161,0.06481144631573607,0.028576273188629157,-0.0014400972378312143,0.06481144631573607,0.028576273188629157,-0.0014400972378312143,True
5,0,4.474464586219599,0.04075466746072831,0.013582596206139545,-0.0009611531810597959,0.04075466746072831,0.013582596206139545,-0.0009611531810597959,True
6,0,5.340489990004038,0.029988437060096955,0.00672261326832242,-0.0005493335586247574,0.029988437060096955,0.00672261326832242,-0.0005493335586247574,True
7,0,6.206515393788477,0.024132086662690913,0.003454663721253858,-0.00019462805287975187,0.024132086662690913,0.003454663721253858,-0.00019462805287975187,True
8,0,7.072540797572915,0.020314823233752596,0.0017100943745569162,0.00014866093485134575,0.020314823233752596,0.0017100943745569162,0.00014866093485134575,True
9,0,7.938566201357354,0.017541199776810963,0.0007048740362777143,0.00046606370757047147,0.017541199776810963,0.0007048740362777143,0.00046606370757047147,True
10,0,8.804591605141791,0.015415576385782205,0.0,0.0,0.015415576385782205,0.0,0.0,False
11,0,9.670617008926232,0.014015694605137848,0.0,0.0,0.014015694605137848,0.0,0.0,False
12,0,10.53664241271067,0.012848789952222973,0.0,0.0,0.012848789952222973,0.0,0.0,False
13,0,11.402667816495107,0.01186119019623618,0.0,0.0,0.01186119019623618,0.0,0.0,False
14,0,12.268693220279548,0.011014528767828644,0.0,0.0,0.011014528767828644,0.0,0.0,False
15,0,13.134718624063986,0.010280653403212693,0.0,0.0,0.010280653403212693,0.0,0.0,False
16,0,14.000744027848423,0.0096384398748793,0.0,0.0,0.0096384398748793,0.0,0.0,False
17,0,14.866769431632862,0.009071728149090463,0.0,0.0,0.009071728149090463,0.0,0.0,False
18,0,15.732794835417302,0.00856794534122893,0.0,0.0,0.00856794534122893,0.0,0.0,False
19,0,16.59882023920174,0.008117162883618408,0.0,0.0,0.008117162883618408,0.0,0.0,False
