j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-14,0,-11.980018085684733,0.9889854712321714,0.0,0.0,0.9889854712321714,0.0,0.0,False
-13,0,-11.113992681900296,0.9881388098037639,0.0,0.0,0.9881388098037639,0.0,0.0,False
-12,0,-10.247967278115857,0.9871512100477771,0.0,0.0,0.9871512100477771,0.0,0.0,False
-11,0,-9.381941874331417,0.9859843053948623,0.0,0.0,0.9859843053948623,0.0,0.0,False
-10,0,-8.51591647054698,0.9845844236142178,0.0,0.0,0.9845844236142178,0.0,0.0,False
-9,0,-7.649891066762541,0.9828741155538487,0.0,0.0,0.9828741155538487,0.0,0.0,False
-8,0,-6.783865662978103,0.980737363567538,0.0,0.0,0.980737363567538,0.0,0.0,False
-7,0,-5.917840259193664,0.9779921952515785,0.0,0.0,0.9779921952515785,0.0,0.0,False
-6,0,-5.0518148554092255,0.9743361482217381,0.0,0.0,0.9743361482217381,0.0,0.0,False
-5,0,-4.185789451624787,0.9692270705374979,0.0,0.0,0.9692270705374979,0.0,0.0,False
-4,0,-3.319764047840348,0.9530205687283402,0.010971681494231604,0.0002464195414063346,0.9530205687283402,0.010971681494231604,0.0002464195414063346,True
-3,0,-2.4537386440559095,0.9181283948203816,0.03240732564057282,-0.0014166986747029485,0.9181283948203816,0.03240732564057282,-0.0014166986747029485,True
-2,0,-1.5877132402714706,0.8390925048251625,0.06791813399449571,0.005970650667363497,0.8390925048251625,0.06791813399449571,0.005970650667363497,True
-1,0,-0.7216878364870323,0.6776456853483821,0.1133854391742509,0.03096981055477135,0.6776456853483821,0.1133854391742509,0.03096981055477135,True
0,0,0.14433756729740643,0.4999999999997966,0.13388544486388276,0.04547035738448389,0.4999999999997966,0.13388544486388276,0.04547035738448389,True
1,0,1.010362971081845,0.32235431465196396,0.11338543917505285,0.030969810554959572,0.32235431465196396,0.11338543917505285,0.030969810554959572,True
2,0,1.8763883748662837,0.16090749517470898,0.06791813399373353,0.005970650667109218,0.16090749517470898,0.06791813399373353,0.005970650667109218,True
3,0,2.7424137786507226,0.08187160517968084,0.0324073256409763,-0.0014166986745742186,0.08187160517968084,0.0324073256409763,-0.0014166986745742186,True
4,0,3.608439182435161,0.04697943127164737,0.010971681494092977,0.0002464195413354885,0.04697943127164737,0.010971681494092977,0.0002464195413354885,True
5,0,4.474464586219599,0.03077292946250218,0.0,0.0,0.03077292946250218,0.0,0.0,False
6,0,5.340489990004038,0.025663851778261918,0.0,0.0,0.025663851778261918,0.0,0.0,False
7,0,6.206515393788477,0.02200780474842157,0.0,0.0,0.02200780474842157,0.0,0.0,False
8,0,7.072540797572915,0.019262636432462066,0.0,0.0,0.019262636432462066,0.0,0.0,False
9,0,7.938566201357354,0.017125884446151343,0.0,0.0,0.017125884446151343,0.0,0.0,False
10,0,8.804591605141791,0.015415576385782205,0.0,0.0,0.015415576385782205,0.0,0.0,False
11,0,9.670617008926232,0.014015694605137848,0.0,0.0,0.014015694605137848,0.0,0.0,False
12,0,10.53664241271067,0.012848789952222973,0.0,0.0,0.012848789952222973,0.0,0.0,False
13,0,11.402667816495107,0.01186119019623618,0.0,0.0,0.01186119019623618,0.0,0.0,False
14,0,12.268693220279548,0.011014528767828644,0.0,0.0,0.011014528767828644,0.0,0.0,False
