j,l,ux,uy,uz
-14,1,0.49435486209219753,-5.422423822670043e-05,0.00036781404454899817
-14,2,0.4829368278603324,0.00014694885168279782,0.0005463122477023259
-14,3,0.4712881141515489,0.0003540317379415821,0.0005862828063241032
-14,4,0.45952887020815175,0.0005247392597450104,0.0005116162697903702
-14,5,0.4477911546628979,0.0006320148190087878,0.0003533390414197847
-14,6,0.43620508084652954,0.000665027859042232,0.00015239581949311044
-14,7,0.4248903123393639,0.0006295955100738976,-4.5368861234485844e-05
-14,8,0.413952437916414,0.0005420089995225784,-0.00019350154863268876
-14,9,0.40349089106248726,0.0004182118434627397,-0.00023688132945382355
-13,-1,-0.4828068690040212,-0.00030333173301654704,0.000409419901619833
-13,0,-0.4942428578121525,-0.0002469342774277933,0.0007728409997997143
-13,1,0.49378985179192697,-4.846549627880837e-05,0.0009858796786652714
-13,2,0.48142276225412695,0.00035292546002626814,0.0010385129396292907
-13,3,0.4688019090669972,0.0007824175454029378,0.0009348117300998768
-13,4,0.45609029511132604,0.0011393863097955747,0.0006868255907261291
-13,5,0.44345870040339014,0.001355561346201104,0.00034322314291207657
-13,6,0.43106927827185415,0.0014052184307054905,-2.408510373073197e-05
-13,7,0.41906396398546036,0.0013020538156233768,-0.0003390525353915538
-13,8,0.4075586403601489,0.0010801064544084297,-0.0005342647981004178
-13,9,0.39663563121140827,0.0007233304333058282,-0.0005435550775245887
-13,10,0.3863490769246653,0.0003498439798964941,-0.0005176937211468989
-13,11,0.376678442476978,0.00020971315849672818,-0.0003775845552478536
-12,-3,-0.4589320776113818,-0.0004761779852244046,0.0002848055024205279
-12,-2,-0.46980945031561633,-0.0006030924129658302,0.0006621821970032825
-12,-1,-0.4814699892446982,-0.0007030258235433057,0.0010149833582681097
-12,0,-0.4938592702235262,-0.0004822866617157124,0.0012664958950141508
-12,1,0.4931301192163856,-1.2993729593295385e-05,0.0013727428943787758
-12,2,0.47964930335478684,0.000652811940022021,0.001289662576902317
-12,3,0.4658943197569757,0.0013407647124847866,0.0010060895303753389
-12,4,0.4520852846992974,0.001886737105407021,0.0005580461220842609
-12,5,0.4384433795777988,0.0021806305595005277,3.101070871169683e-05
-12,6,0.4251679115622516,0.002192344713151365,-0.0004698856876459742
-12,7,0.41242176699766964,0.001958777027888148,-0.0008522187816811058
-12,8,0.4003245170136259,0.001543011763473434,-0.0010557286245817844
-12,9,0.3889528612476245,0.0010398807753982569,-0.0010969847502354437
-12,10,0.37834124368191546,0.000574237885467289,-0.0009945873796902013
-12,11,0.36848785055955685,0.00022339331032381193,-0.0007316136693136323
-12,12,0.35939521911499,4.694186391323416e-05,-0.00043617722704785073
-11,-5,-0.43508309689536745,-0.0005212428857424036,9.841837379381001e-05
-11,-4,-0.4448650510528907,-0.0007705218929930139,0.00034594946238552935
-11,-3,-0.4555697418722018,-0.0011367041483328854,0.0006694177920161779
-11,-2,-0.4672461755147217,-0.0012600298056689191,0.001008702207942486
-11,-1,-0.47987100001074456,-0.0011685874026846222,0.0013126340161678264
