j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-17,0,-14.57809429703805,0.9909282718509096,0.0,0.0,0.9909282718509096,0.0,0.0,False
-16,0,-13.712068893253612,0.9903615601251208,0.0,0.0,0.9903615601251208,0.0,0.0,False
-15,0,-12.84604348946917,0.9897193465967873,0.0,0.0,0.9897193465967873,0.0,0.0,False
-14,0,-11.980018085684733,0.9889854712321714,0.0,0.0,0.9889854712321714,0.0,0.0,False
-13,0,-11.113992681900296,0.9881388098037639,0.0,0.0,0.9881388098037639,0.0,0.0,False
-12,0,-10.247967278115857,0.9871512100477771,0.0,0.0,0.9871512100477771,0.0,0.0,False
-11,0,-9.381941874331417,0.9859843053948623,0.0,0.0,0.9859843053948623,0.0,0.0,False
-10,0,-8.51591647054698,0.9845844236142178,0.0,0.0,0.9845844236142178,0.0,0.0,False
-9,0,-7.649891066762541,0.9828741155538487,0.0,0.0,0.9828741155538487,0.0,0.0,False
-8,0,-6.783865662978103,0.980737363567538,0.0,0.0,0.980737363567538,0.0,0.0,False
-7,0,-5.917840259193664,0.9771097047155445,0.00027711397788309714,0.0013693902861295747,0.9771097047155445,0.00027711397788309714,0.0013693902861295747,False
-6,0,-5.0518148554092255,0.972526247862809,0.0031504146895774887,0.00024295881203038276,0.972526247862809,0.0031504146895774887,0.00024295881203038276,True
-5,0,-4.185789451624787,0.9645548493481257,0.008246551932216335,-0.0005338685226776215,0.9645548493481257,0.008246551932216335,-0.0005338685226776215,True
-4,0,-3.319764047840348,0.9480635959056978,0.0188692124014952,-0.001322401293243753,0.9480635959056978,0.0188692124014952,-0.001322401293243753,True
-3,0,-2.4537386440559095,0.9097538182435971,0.04069285901492721,-0.0012350606121513527,0.9097538182435971,0.04069285901492721,-0.0012350606121513527,True
-2,0,-1.5877132402714706,0.8225022459678215,0.07731433008485254,0.010283474309105544,0.8225022459678215,0.07731433008485254,0.010283474309105544,True
-1,0,-0.7216878364870323,0.6659151908163602,0.12126768289264066,0.033433759906416546,0.6659151908163602,0.12126768289264066,0.033433759906416546,True
0,0,0.14433756729740643,0.49999999999635714,0.1393885762549725,0.045942586351218714,0.49999999999635714,0.1393885762549725,0.045942586351218714,True
1,0,1.010362971081845,0.3340848091860731,0.121267682903465,0.03343375990834203,0.3340848091860731,0.121267682903465,0.03343375990834203,True
2,0,1.8763883748662837,0.1774977540285561,0.07731433007292517,0.010283474304982264,0.1774977540285561,0.07731433007292517,0.010283474304982264,True
3,0,2.7424137786507226,0.09024618175664945,0.04069285902096888,-0.0012350606103822123,0.09024618175664945,0.04069285902096888,-0.0012350606103822123,True
4,0,3.608439182435161,0.0519364040937962,0.018869212398663283,-0.0013224012944751586,0.0519364040937962,0.018869212398663283,-0.0013224012944751586,True
5,0,4.474464586219599,0.0354451506518051,0.00824655193308747,-0.000533868522174447,0.0354451506518051,0.00824655193308747,-0.000533868522174447,True
6,0,5.340489990004038,0.02747375213714406,0.0031504146893142227,0.00024295881180796215,0.02747375213714406,0.0031504146893142227,0.00024295881180796215,True
7,0,6.206515393788477,0.02289029528444702,0.0002771139776814405,0.001369390286208666,0.02289029528444702,0.0002771139776814405,0.001369390286208666,False
8,0,7.072540797572915,0.019262636432462066,0.0,0.0,0.019262636432462066,0.0,0.0,False
9,0,7.938566201357354,0.017125884446151343,0.0,0.0,0.017125884446151343,0.0,0.0,False
10,0,8.804591605141791,0.015415576385782205,0.0,0.0,0.015415576385782205,0.0,0.0,False
11,0,9.670617008926232,0.014015694605137848,0.0,0.0,0.014015694605137848,0.0,0.0,False
12,0,10.53664241271067,0.012848789952222973,0.0,0.0,0.012848789952222973,0.0,0.0,False
13,0,11.402667816495107,0.01186119019623618,0.0,0.0,0.01186119019623618,0.0,0.0,False
14,0,12.268693220279548,0.011014528767828644,0.0,0.0,0.011014528767828644,0.0,0.0,False
15,0,13.134718624063986,0.010280653403212693,0.0,0.0,0.010280653403212693,0.0,0.0,False
16,0,14.000744027848423,0.0096384398748793,0.0,0.0,0.0096384398748793,0.0,0.0,False
17,0,14.866769431632862,0.009071728149090463,0.0,0.0,0.009071728149090463,0.0,0.0,False
