j,l,ux,uy,uz,gx,gy,gz
-7,1,0.4879206544956835,0.00027711397788309714,0.0013693902861295747,2.4142259816718054e-10,1.7612315772463916e-10,2.0441565194012634e-10
-7,2,0.4640750797455071,0.0017915792151317112,0.0012243249327729625,3.5195027035979376e-10,3.149754207454336e-10,-1.196323337702282e-10
-7,3,0.44051351869575284,0.0023629178530522313,0.00026716139207289365,1.7602038750175186e-10,1.3821027655680496e-10,-4.9936915090227976e-11
-7,4,0.4183158937021673,0.001939361693377666,-0.0005179331746893123,1.1257515709559018e-10,3.075117521733617e-10,-1.5201097563859178e-10
-6,-1,-0.46411868309245047,-0.00184527870448787,0.0009364079540074599,4.433751872590097e-10,-2.028535533993292e-10,4.3552911049762194e-10
-6,0,-0.4879244021961356,-0.0017883230570208215,0.002274657240709552,-3.295255171162359e-11,2.0025082980712483e-10,-3.7879903163826056e-10
-6,1,0.48460184566667336,0.001362091632556667,0.0025176160527399347,8.116240286185766e-11,2.914021801636579e-11,3.0517175895680704e-10
-6,2,0.4560920964860081,0.0045965930003793705,0.0008468438457172537,-9.242077979657037e-11,9.220613161886604e-11,1.2372520694602096e-10
-6,3,0.4288430412195173,0.0051684122324961055,-0.0011714678059087718,-5.7083401807517253e-11,-9.289340130447243e-11,1.777805691289408e-11
-6,4,0.40397524076895225,0.003429251232616082,-0.0020646569387194206,-1.0992373157547863e-10,-2.1890118884204668e-10,3.3755138224497716e-11
-6,5,0.38213443532612895,0.0011211041933569808,-0.002115834408221988,1.5699856215425911e-10,-7.2240186055339e-11,-1.0885881172179035e-10
-6,6,0.3630571505689087,0.00018200880967438694,-0.0013647700584152817,-9.707901149624831e-12,2.0902353459195666e-10,-2.27191474834465e-10
-5,-2,-0.43405084879681854,-0.0028475297863274104,0.00035811067499589807,-6.292007800196009e-11,2.7061136664841e-10,2.314155231916519e-10
-5,-1,-0.45673377811240834,-0.004696716835032001,0.0011435663584643083,2.3959529932976453e-10,2.65959865242138e-10,-1.5146913974820042e-10
-5,0,-0.48514859753630357,-0.004352841985566656,0.0021908411166352863,1.2653087778924377e-10,8.353981395536891e-11,-6.543214060850122e-11
-5,1,0.4794062518118222,0.003893709946649679,0.0016569725939576648,3.64838517469962e-11,-4.083797189302629e-10,-3.345643588559266e-10
-5,2,0.44470310693290754,0.008678680587231844,-0.0017511634462033406,-1.2374257434694114e-10,4.3841610897210614e-11,1.7671975146259233e-10
-5,3,0.4130359709465722,0.007951506212902165,-0.004200329906992247,-4.8267258679485225e-11,1.5346057757881226e-13,1.9481535959084417e-11
-5,4,0.38558156192534027,0.004533971262770019,-0.004552206917141025,7.252999589812958e-11,2.667356335805948e-10,7.915872861710693e-11
-5,5,0.3626317970033074,0.001292441030212394,-0.003537027065112569,-7.690592260245488e-11,1.7161534693332925e-10,-2.473663806342591e-10
-5,6,0.3436621585902331,-0.0004472426749108955,-0.0020511845372101546,-2.076572793927034e-10,-4.676070225473339e-10,2.726188018820769e-10
-5,7,0.3280861600942987,-0.0006855181945866252,-0.0008416201209659512,-1.2496096865599604e-10,-3.429589806591693e-10,2.7933678753335606e-10
-4,-3,-0.4009203341670432,-0.002900297895032549,-0.000987153226066279,3.919773689659012e-10,-1.337268906720368e-10,-2.6763447317709743e-10
-4,-2,-0.4193015161273829,-0.006118382674489192,-0.00142278369946382,-2.593208946188863e-10,1.6812687353429112e-10,1.8503392026046617e-10
-4,-1,-0.44464556435517383,-0.008485706187182966,-0.0012380784475841198,1.3515421681126183e-10,1.567578011840709e-10,-4.2860174350595193e-10
-4,0,-0.47843404842490095,-0.009138364065362423,-0.0003218198754451543,-1.472473705466104e-10,2.0577876902461156e-10,-3.380652927736927e-10
-4,1,0.4696295474807969,0.009730848336132778,-0.0016442211686889072,-6.577369291577151e-11,3.384122565508463e-10,-3.2287107362694023e-10
-4,2,0.42748811111399776,0.013831769513027092,-0.00662138046485527,-5.947988065621579e-11,-5.607125874718122e-12,-2.0594287039599202e-10
-4,3,0.39109708458238135,0.009892276196391173,-0.007533301263796101,-1.0907032568785446e-10,-1.0255880866782974e-10,-1.533016179278146e-10
-4,4,0.36197636757291873,0.004443272377291155,-0.005710656177715466,2.008115375373709e-11,-2.3473284427311114e-10,1.0755881471938289e-10
