j,l,ux,uy,uz
-9,0,-0.4918311945496042,-0.0005614828511967963,0.000957238247471436
-9,1,0.49081500125163585,5.7807342836977954e-05,0.0014548062125413618
-9,2,0.47272223150193243,0.000731848481861628,0.0014626901500112805
-9,3,0.4543340264197197,0.0013127879939269305,0.0009958476430551705
-9,4,0.4361178166648864,0.0014997582729273729,0.0002639084228792576
-9,5,0.4186930027598798,0.0012369365493188253,-0.0003201176191306078
-9,6,0.4022737283909111,0.0007898974170739407,-0.0006163658182262268
-9,7,0.3872445198339997,0.0004899657425912825,-0.0005510821220175797
-8,-2,-0.4563406638253127,-0.001042751512762065,0.0005955794339007859
-8,-1,-0.47275047429471423,-0.0013466563027601964,0.0015625040950955525
-8,0,-0.4909869958827739,-0.001211292555551007,0.0023032784907301676
-8,1,0.4892342232654237,0.00018793108332049968,0.00238617595198303
-8,2,0.4685045829481624,0.0017894541888399224,0.001747244166108178
-8,3,0.44766713003112046,0.002938343492071314,0.0005950548571057745
-8,4,0.42749424433120387,0.003039129164589667,-0.0005898222134127108
-8,5,0.40856016285676133,0.0023842937155021423,-0.0014313865511134042
-8,6,0.39106005532044175,0.001435585255122922,-0.0017278557887983135
-8,7,0.3752953836893784,0.00046441965769295575,-0.001376571189791053
-8,8,0.36132834386206447,-1.2151605956166747e-05,-0.0008187131828899462
-7,-3,-0.43485034989041765,-0.0015463688037880361,0.0004945243096701986
-7,-2,-0.45064085331190584,-0.002678609693556243,0.001261026108984136
-7,-1,-0.4689932498607527,-0.002901658743568203,0.001975216793157045
-7,0,-0.48985943175576396,-0.0020305479451560395,0.0023937173853436616
-7,1,0.48715156119842234,0.0005531969707317563,0.002191921045164043
-7,2,0.4630075762846595,0.0034354330808318216,0.0008867069631146656
-7,3,0.4392178575272913,0.004983536486022205,-0.000872034601853595
-7,4,0.41671697077037906,0.004706548987378727,-0.002347252029613374
-7,5,0.39605382594649496,0.0033108153264277355,-0.002945757797641224
-7,6,0.3776760343887289,0.0016457313835213318,-0.0028125246968395403
-7,7,0.3615048931923349,0.00025420831865622035,-0.002216625104448127
-7,8,0.34741008538483253,-0.0004899193029964678,-0.0013710928572478796
-7,9,0.33518035312223965,-0.0005244057897759315,-0.0005855734181535878
-6,-4,-0.4117076222974853,-0.0016675409561088574,3.716826337838149e-05
-6,-3,-0.4258662849208192,-0.0033861805937704867,0.0003024097423045128
-6,-2,-0.4431488893092713,-0.004536032078137895,0.0006681044268486056
-6,-1,-0.4638268418461846,-0.004751483562957669,0.001166676735875728
-6,0,-0.48810009684443484,-0.003383298550330452,0.0015888640168539238
-6,1,0.48414198344864695,0.0015868746164991129,0.0011658907419566202
-6,2,0.4554232859659746,0.0060680464620905,-0.0008881776706839411
-6,3,0.42793029235689267,0.007451447125862619,-0.0032117347465794423
-6,4,0.4028622583385411,0.006160161344832878,-0.004425205981770588
-6,5,0.3807937426764049,0.0038014935821301266,-0.0043533651691175885
-6,6,0.3617097700553693,0.0015020528380639095,-0.0034948601738740643
-6,7,0.34541978746507196,-0.00021718448742175962,-0.0024662210318612847
-6,8,0.3317135368668472,-0.0011221251339219355,-0.001439581027449109
-6,9,0.3200587100799586,-0.0011234111078526827,-0.0005172890302115486
-5,-5,-0.3879287562558727,-0.0015437230626709278,-0.0005462675760070997
-5,-4,-0.3995510819695733,-0.0033892045488594026,-0.0008453870552734952
-5,-3,-0.41426929016658404,-0.005267476359518174,-0.0011334838957783484
-5,-2,-0.4328918818866567,-0.006700854578472505,-0.0011448500314991399
-5,-1,-0.4562866649988,-0.007205516628900519,-0.0007901838772153898
-5,0,-0.48508116773327586,-0.005610559657539101,2.8616202745412878e-05
-5,1,0.47923812039742403,0.0040745816913738235,-0.000679610507416775
-5,2,0.4444214956304113,0.009937110440075177,-0.0040818923912793485
-5,3,0.41261268900014286,0.010019876076046246,-0.006401085324137564
-5,4,0.38492948973551616,0.006930905020762771,-0.006372778007652896
-5,5,0.3618115325525079,0.00359208346675605,-0.004977953473311768
-5,6,0.34271673638640787,0.0010050383063888383,-0.0032783034143808306
-5,7,0.3271401479475826,-0.0007925814267654,-0.0018046040806824382
-5,8,0.3142341950875835,-0.001742723553672625,-0.0007750001243101045
-5,9,0.30353169261165547,-0.0016375332147966148,-0.00026240346937268794
-5,10,0.2945990516256498,-0.0008237715563665952,4.2317415808312296e-05
-4,-6,-0.3646684916723229,-0.0011961238549959364,-0.0009816491490741606
-4,-5,-0.37332571691667177,-0.002954688913597158,-0.0019324735167797415
-4,-4,-0.3844444201344437,-0.0050211691921137926,-0.0029557204514183764
-4,-3,-0.3990332759443501,-0.007203821632345243,-0.0037493317713768043
-4,-2,-0.41830282245376005,-0.00938816991256148,-0.004310326208517538
-4,-1,-0.44419617916141074,-0.010641205757396997,-0.004086973703393754
-4,0,-0.47825768279757097,-0.010073818590855693,-0.0030725209246050033
-4,1,0.4694995347023661,0.009918914432158522,-0.004148705680133174
-4,2,0.4273768468837321,0.01499859047489001,-0.008631539349160075
-4,3,0.3909387974858327,0.011741429450574452,-0.00899197375262596
-4,4,0.36170187839531726,0.006688688971930716,-0.006582663645687411
-4,5,0.33874947779120806,0.0028199904041428013,-0.0037735671386791092
-4,6,0.3207127488729683,0.0002933250971510601,-0.001472395525894546
