j,l,ux,uy,uz
-19,3,0.47912534829562387,2.3149086347079987e-05,0.00021238401001713058
-19,4,0.47055415128676914,0.00012878617101808848,0.0003152887245755975
-19,5,0.461928245823378,0.00020410819025505622,0.0003473411266699051
-19,6,0.4532945725202134,0.0002701859186455842,0.0003140690747041514
-19,7,0.44470402910875934,0.00030065487929229937,0.00025348795964668075
-19,8,0.436206060873582,0.0003164076254634569,0.00017976417188294528
-19,9,0.4278440962669177,0.00030212422462962796,9.472836180567746e-05
-19,10,0.4196599803055395,0.00028303525449811014,4.926071276894922e-06
-19,11,0.41168432374326686,0.00022576966733984122,-5.1642067027141966e-05
-18,0,-0.4957769106870526,-0.00011248808247162198,0.00024993612180357723
-18,1,0.49564612018814824,-4.555853769109236e-05,0.00041678824000427266
-18,2,0.4868623400159617,1.2043055904972893e-05,0.0005841180622088967
-18,3,0.47791361034473334,0.00013950316173759635,0.000671724557074651
-18,4,0.46885887602149645,0.000303734847221365,0.0006778626330527992
-18,5,0.4597545846575637,0.00045220404580160377,0.0006331140122812992
-18,6,0.45065733979506706,0.0005796270600675726,0.0005281204506332402
-18,7,0.4416245421701963,0.00065004979514677,0.0003881614634963632
-18,8,0.4327119746898048,0.0006720731758885636,0.00023847392950337903
-18,9,0.4239719906964003,0.0006405188805771678,8.419553636605934e-05
-18,10,0.41544877634757427,0.0005848534693775435,-3.668193363738753e-05
-18,11,0.40717594681657526,0.00044949913841379406,-9.763333637625386e-05
-18,12,0.3991838123531066,0.0002595686644715485,-0.0001481081948825316
-18,13,0.39149718612543394,0.0001763569144644262,-0.00014331074175915354
-17,-3,-0.470165643370628,-0.00020514580459526794,0.00016544357886266853
-17,-2,-0.4783013295172721,-0.00021032074863622976,0.00031765187882978625
-17,-1,-0.4867819321837906,-0.000225164154119521,0.0005427519180685155
-17,0,-0.49557846747316703,-0.0002211649866318041,0.000737935268943651
-17,1,0.49534356743916663,-0.00011479021609103536,0.0008953923577819177
-17,2,0.4860390467358632,5.342905435808782e-05,0.0009894681309247785
-17,3,0.47655942892337805,0.00027501920814374756,0.0009958990730619297
-17,4,0.4669663242484537,0.0005223208239208075,0.0009238020727119454
-17,5,0.45733055069141293,0.0007614974245759971,0.0007823843087914707
-17,6,0.44772008335999786,0.0009280406382027445,0.0006003053029094238
-17,7,0.4382018443786088,0.0010216257997944353,0.0003787202904716188
-17,8,0.42884370239280467,0.0010382114528768571,0.00014450030028433927
-17,9,0.4197026102299672,0.0009845844348483994,-4.586542096100366e-05
-17,10,0.41082458531757127,0.0008645751025019655,-0.00019918402742900683
-17,11,0.402251285026477,0.0006794397191766553,-0.0002953719238301644
-17,12,0.39400961907848653,0.00047539197703317293,-0.0003453475052803926
-17,13,0.3861201410544704,0.0002837894082281812,-0.0003259687052953315
-17,14,0.37859228436672265,0.00011503158123314456,-0.0002847238695430158
-17,15,0.37144099991203416,8.617457610643089e-05,-0.0001911005385668461
-16,-4,-0.460331467852995,-0.00033573746859115575,0.00027322102748186426
-16,-3,-0.46850207198119376,-0.0004734199815744528,0.0004987499418484408
-16,-2,-0.4770759171677912,-0.0004866137407515555,0.0007248120083404876
-16,-1,-0.4860348187538378,-0.0004638503405595642,0.0009512786670618627
-16,0,-0.49535369064978724,-0.00035943931076765876,0.0011132908064075038
-16,1,0.4950146551679064,-0.00015807254509585988,0.0012321236229941267
-16,2,0.48512317636508084,0.00013081699262362223,0.0012481244672990068
-16,3,0.475039346191867,0.00045545960152622777,0.0011681579412242322
-16,4,0.46484260627660445,0.0007933252811527128,0.0010063714165237457
-16,5,0.4546134164845299,0.0011013739023325953,0.000777818153800229
-16,6,0.444432991196947,0.001322508950006119,0.0005001009747560174
-16,7,0.4343884256178153,0.001431633260306114,0.00019918447396853384
-16,8,0.4245484969467133,0.0014223407385803208,-8.019863512513598e-05
-16,9,0.41497984780157177,0.0013210701622994633,-0.00031603230307239373
-16,10,0.40573645516954193,0.001127699845521207,-0.0004888745542877467
-16,11,0.3968575056187913,0.0008888443717985376,-0.0005968870228226684
-16,12,0.3883719727458738,0.0006199042557753216,-0.0006330903598753335
-16,13,0.3802940464621862,0.0003781996164721065,-0.0006172285295082247
-16,14,0.3726324645281595,0.00017792482380490072,-0.0005387193560963977
-16,15,0.3653804077144913,4.981193218407567e-05,-0.0003936452907439437
-16,16,0.35852789341661634,6.422612864956957e-06,-0.00023316225155733925
-15,-6,-0.4423249151635321,-0.0002905415233774275,0.00011227975812471581
-15,-5,-0.44994710971467783,-0.00045440572664881437,0.0003403766005132066
-15,-4,-0.45805348909754984,-0.0006933217083309777,0.0005769729229883585
-15,-3,-0.46663819782637606,-0.0007940965364328296,0.000805474382890412
-15,-2,-0.47568718100808577,-0.00080145839184645,0.0010459232594195215
-15,-1,-0.48518182638210894,-0.0006938271283112988,0.0012242500422791082
-15,0,-0.49508633587292383,-0.0004962565482758892,0.0013412866261711667
