j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-29,0,-24.970399142451313,0.99468132815493,0.0,0.0,0.99468132815493,0.0,0.0,False
-28,0,-24.104373738666876,0.9944914056436907,0.0,0.0,0.9944914056436907,0.0,0.0,False
-27,0,-23.238348334882435,0.9942874183247138,0.0,0.0,0.9942874183247138,0.0,0.0,False
-26,0,-22.372322931097997,0.994067743909578,0.0,0.0,0.994067743909578,0.0,0.0,False
-25,0,-21.50629752731356,0.9938305006654286,0.0,0.0,0.9938305006654286,0.0,0.0,False
-24,0,-20.640272123529122,0.9935734933963862,0.0,0.0,0.9935734933963862,0.0,0.0,False
-23,0,-19.77424671974468,0.9932941453436317,0.0,0.0,0.9932941453436317,0.0,0.0,False
-22,0,-18.908221315960244,0.9929894115278113,0.0,0.0,0.9929894115278113,0.0,0.0,False
-21,0,-18.042195912175806,0.992655667354008,0.0,0.0,0.992655667354008,0.0,0.0,False
-20,0,-17.176170508391365,0.9922885638305753,0.0,0.0,0.9922885638305753,0.0,0.0,False
-19,0,-16.310145104606928,0.9918828371163816,0.0,0.0,0.9918828371163816,0.0,0.0,False
-18,0,-15.444119700822489,0.9914703028788112,6.813091185752689e-05,0.00013214324547072346,0.9914703028788112,6.813091185752689e-05,0.00013214324547072346,True
-17,0,-14.57809429703805,0.9910253425537485,0.00010635511611466069,0.0001076070649472106,0.9910253425537485,0.00010635511611466069,0.0001076070649472106,True
-16,0,-13.712068893253612,0.9905290637203215,0.00018027017845963103,7.365940261986107e-05,0.9905290637203215,0.00018027017845963103,7.365940261986107e-05,True
-15,0,-12.84604348946917,0.9899693460356931,0.0002746968475886586,4.008066998017253e-05,0.9899693460356931,0.0002746968475886586,4.008066998017253e-05,True
-14,0,-11.980018085684733,0.9893345382066768,0.00038714145233608257,6.763434867338661e-06,0.9893345382066768,0.00038714145233608257,6.763434867338661e-06,True
-13,0,-11.113992681900296,0.9886087386528662,0.0005213015492058342,-2.604350841761238e-05,0.9886087386528662,0.0005213015492058342,-2.604350841761238e-05,True
-12,0,-10.247967278115857,0.9877704093537131,0.0006845437745377411,-5.833818776896098e-05,0.9877704093537131,0.0006845437745377411,-5.833818776896098e-05,True
-11,0,-9.381941874331417,0.9867903060879388,0.0008881578199241167,-9.023427346121766e-05,0.9867903060879388,0.0008881578199241167,-9.023427346121766e-05,True
-10,0,-8.51591647054698,0.985627758884376,0.0011494769656969382,-0.00012198185209398018,0.985627758884376,0.0011494769656969382,-0.00012198185209398018,True
-9,0,-7.649891066762541,0.984224220624538,0.0014963506310940108,-0.00015411244364760068,0.984224220624538,0.0014963506310940108,-0.00015411244364760068,True
-8,0,-6.783865662978103,0.9824915687178297,0.0019765176218160783,-0.0001878342128896645,0.9824915687178297,0.0019765176218160783,-0.0001878342128896645,True
-7,0,-5.917840259193664,0.9802884402421004,0.00267893831143429,-0.00022571122802812272,0.9802884402421004,0.00267893831143429,-0.00022571122802812272,True
-6,0,-5.0518148554092255,0.9773663219065962,0.003787468270436355,-0.00027309077863872633,0.9773663219065962,0.003787468270436355,-0.00027309077863872633,True
-5,0,-4.185789451624787,0.9732127347045467,0.005728397919326682,-0.0003400753234080057,0.9732127347045467,0.005728397919326682,-0.0003400753234080057,True
-4,0,-3.319764047840348,0.9665179769801493,0.009570108604801475,-0.00045851137823274676,0.9665179769801493,0.009570108604801475,-0.00045851137823274676,True
-3,0,-2.4537386440559095,0.953396122209031,0.01793538669019646,-0.0007107718927766441,0.953396122209031,0.01793538669019646,-0.0007107718927766441,True
-2,0,-1.5877132402714706,0.9232802098042548,0.03592688987825295,-0.0007470396214439446,0.9232802098042548,0.03592688987825295,-0.0007470396214439446,True
-1,0,-0.7216878364870323,0.8548589862428486,0.06850983633679002,0.005415332762292738,0.8548589862428486,0.06850983633679002,0.005415332762292738,True
0,0,0.14433756729740643,0.7169424673162141,0.11288144633957961,0.029213656546403878,0.7169424673162141,0.11288144633957961,0.029213656546403878,True
1,0,1.010362971081845,0.5545655297646196,0.14372786442243807,0.045712381867085004,0.5545655297646196,0.14372786442243807,0.045712381867085004,True
2,0,1.8763883748662837,0.4147792092422711,0.1408552043805297,0.04398708020107541,0.4147792092422711,0.1408552043805297,0.04398708020107541,True
3,0,2.7424137786507226,0.25224343609176725,0.10433822014981634,0.02492252146064366,0.25224343609176725,0.10433822014981634,0.02492252146064366,True
4,0,3.608439182435161,0.12614832421908714,0.06102289913610471,0.0025559610783751976,0.12614832421908714,0.06102289913610471,0.0025559610783751976,True
5,0,4.474464586219599,0.06742146044652837,0.03131169981528322,-0.0009026967687136688,0.06742146044652837,0.03131169981528322,-0.0009026967687136688,True
6,0,5.340489990004038,0.04193706507709942,0.01565177200866495,-0.0006428552651830451,0.04193706507709942,0.01565177200866495,-0.0006428552651830451,True
7,0,6.206515393788477,0.030658569501026987,0.008501348072809386,-0.00042430020664149456,0.030658569501026987,0.008501348072809386,-0.00042430020664149456,True
8,0,7.072540797572915,0.024651240740381844,0.0051717100147468924,-0.0003211610968174687,0.024651240740381844,0.0051717100147468924,-0.0003211610968174687,True
9,0,7.938566201357354,0.020798329833268007,0.00344181117277042,-0.0002569154660760334,0.020798329833268007,0.00344181117277042,-0.0002569154660760334,True
10,0,8.804591605141791,0.018038475968511727,0.0024249281500321636,-0.0002079608538248177,0.018038475968511727,0.0024249281500321636,-0.0002079608538248177,True
11,0,9.670617008926232,0.015936690368687983,0.001764510294999625,-0.00016484203410249926,0.015936690368687983,0.001764510294999625,-0.00016484203410249926,True
12,0,10.53664241271067,0.014272655677000354,0.001303012404689423,-0.00012263793225767718,0.014272655677000354,0.001303012404689423,-0.00012263793225767718,True
13,0,11.402667816495107,0.012918272538593597,0.000962502404879794,-7.908418986387602e-05,0.012918272538593597,0.000962502404879794,-7.908418986387602e-05,True
14,0,12.268693220279548,0.011792458728316243,0.0007004072600690263,-3.311351034061892e-05,0.011792458728316243,0.0007004072600690263,-3.311351034061892e-05,True
15,0,13.134718624063986,0.010840796389451953,0.0004918202519340311,1.5796101243909953e-05,0.010840796389451953,0.0004918202519340311,1.5796101243909953e-05,True
16,0,14.000744027848423,0.010024650590860947,0.0003228219923900753,6.768900458719706e-05,0.010024650590860947,0.0003228219923900753,6.768900458719706e-05,True
17,0,14.866769431632862,0.009314235522520753,0.00019077081196821214,0.0001233352376760374,0.009314235522520753,0.00019077081196821214,0.0001233352376760374,True
18,0,15.732794835417302,0.008683305662028972,0.00011159823312514882,0.00017103145850120037,0.008683305662028972,0.00011159823312514882,0.00017103145850120037,True
19,0,16.59882023920174,0.008117162883618408,0.0,0.0,0.008117162883618408,0.0,0.0,False
20,0,17.464845642986177,0.007711436169424806,0.0,0.0,0.007711436169424806,0.0,0.0,False
21,0,18.330871046770618,0.0073443326459920215,0.0,0.0,0.0073443326459920215,0.0,0.0,False
22,0,19.196896450555055,0.007010588472188713,0.0,0.0,0.007010588472188713,0.0,0.0,False
23,0,20.062921854339493,0.006705854656368289,0.0,0.0,0.006705854656368289,0.0,0.0,False
24,0,20.928947258123934,0.0064265066036137,0.0,0.0,0.0064265066036137,0.0,0.0,False
25,0,21.79497266190837,0.006169499334571513,0.0,0.0,0.006169499334571513,0.0,0.0,False
26,0,22.66099806569281,0.005932256090422026,0.0,0.0,0.005932256090422026,0.0,0.0,False
27,0,23.52702346947725,0.005712581675286214,0.0,0.0,0.005712581675286214,0.0,0.0,False
28,0,24.393048873261687,0.005508594356309385,0.0,0.0,0.005508594356309385,0.0,0.0,False
29,0,25.259074277046125,0.0053186718450700405,0.0,0.0,0.0053186718450700405,0.0,0.0,False
