radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.07507832109097956,-0.010194201393984807,0.08527252248496436,2,True
1.0,0.13317358454843697,-0.05099522375866933,0.1841688083071063,4,True
1.5,0.31918850545185773,-0.010045950260028354,0.3292344557118861,10,True
2.0,0.5122808661694283,-0.011993575049953728,0.524274441219382,18,True
2.5,0.6167370082988999,-0.016895623111124164,0.633632631410024,30,True
3.0,0.697079664505496,0.003356101281756829,0.6937235632237392,40,True
3.5,0.7567840158280656,-0.006535242010786434,0.7633192578388521,56,True
4.0,0.8110558112577091,0.002000245337720351,0.8090555659199887,72,True
4.5,0.8541224460614436,0.0004718383478330029,0.8536506077136107,90,True
5.0,0.8939996378045572,0.0013569035986578937,0.8926427342058993,112,True
5.5,0.9271946275857244,-0.0002561520865489702,0.9274507796722733,136,True
6.0,0.9533597443151125,-0.00023270262639608474,0.9535924469415087,158,True
6.5,0.9833033125197175,-0.00026722624408213533,0.9835705387637996,188,True
7.0,1.0111289830442125,-0.0002651244896568813,1.0113941075338695,220,True
7.5,1.0363147050417147,-1.6563716997992917e-05,1.0363312687587127,254,True
8.0,1.0563468257097561,-0.00024214453702470651,1.0565889702467808,286,True
8.5,1.0761681724685217,-7.353539886090178e-05,1.0762417078673827,320,True
9.0,1.0961253281182488,-0.00013540646695976623,1.0962607345852087,360,True
9.5,1.1140438226159608,-0.00011424004578573918,1.1141580626617467,400,True
10.0,1.1320943451499907,-8.395136653888136e-05,1.1321782965165297,444,True
10.5,1.149622941132407,-9.418215086968822e-05,1.1497171232832768,492,True
11.0,1.1642447299517067,-0.00010865035876342181,1.16435338031047,536,True
11.5,1.1799165070892639,-8.374058529248517e-05,1.1800002476745564,588,True
12.0,1.1954562456815654,-9.509110236156741e-05,1.195551336783927,644,True
12.5,1.2091481407971103,-7.770859842836514e-05,1.2092258493955388,698,True
13.0,1.2207313969108826,-0.00011116992763975792,1.2208425668385223,748,True
13.5,1.2352340256084378,-9.802385713853033e-05,1.2353320494655762,814,True
14.0,1.2468927540067676,-8.441874245330126e-05,1.246977172749221,872,True
14.5,1.258792641723279,-0.00010603173494432971,1.2588986734582235,936,True
15.0,1.2700965353074185,-9.03574189212563e-05,1.2701868927263398,1000,True
15.5,1.2812313185314275,-9.951931944979318e-05,1.2813308378508772,1068,True
16.0,1.2922475484995855,-8.366036738067639e-05,1.2923312088669663,1140,True
16.5,1.302334926532661,-9.334080122820956e-05,1.3024282673338892,1210,True
17.0,1.312679502446077,-8.077634438966898e-05,1.3127602787904666,1286,True
17.5,1.3224219632672116,-9.338678108908793e-05,1.3225153500483007,1362,True
18.0,1.3313096615701974,-7.197087348734081e-05,1.331381632443685,1436,True
18.5,1.341186976226548,-6.652006865084893e-05,1.341253496295199,1522,True
19.0,1.3504243215992582,-0.00015061978502294016,1.3505749413842811,1608,True
19.5,1.3607314414002234,0.0017502981005254005,1.3589811432996979,1690,True
20.0,1.3696965988289773,0.00273201911952227,1.3669645797094552,1772,True
