j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-34,0,-29.300526161373504,0.9940358589085363,0.0,0.0,0.9954633930115678,0.0,0.0,False
-33,0,-28.434500757589063,0.9938984016695616,0.0,0.0,0.9953259357725931,0.0,0.0,False
-32,0,-27.56847535380463,0.9937523548944978,0.0,0.0,0.9951798889975293,0.0,0.0,False
-31,0,-26.702449950020192,0.9935968875464707,0.0,0.0,0.9950244216495022,0.0,0.0,False
-30,0,-25.83642454623575,0.993431057820192,0.0,0.0,0.9948585919232236,0.0,0.0,False
-29,0,-24.970399142451313,0.9932537940518985,0.0,0.0,0.99468132815493,0.0,0.0,False
-28,0,-24.104373738666876,0.9930638715406591,0.0,0.0,0.9944914056436907,0.0,0.0,False
-27,0,-23.238348334882435,0.9928598842216823,0.0,0.0,0.9942874183247138,0.0,0.0,False
-26,0,-22.372322931097997,0.9926402098065465,0.0,0.0,0.9940677439095781,0.0,0.0,False
-25,0,-21.50629752731356,0.992402966562397,0.0,0.0,0.9938305006654286,0.0,0.0,False
-24,0,-20.640272123529122,0.9921459592933548,0.0,0.0,0.9935734933963863,0.0,0.0,False
-23,0,-19.77424671974468,0.9917384358195063,-3.163835922232043e-05,0.0001943745929176404,0.9931659699225378,-3.163835922232043e-05,0.0001943745929176404,False
-22,0,-18.908221315960244,0.9913655229651912,5.165557153604015e-05,0.0001091829612610568,0.9927930570682227,5.165557153604015e-05,0.0001091829612610568,True
-21,0,-18.042195912175806,0.9909244962595471,0.00013516458115295406,7.747916142792743e-05,0.9923520303625787,0.00013516458115295406,7.747916142792743e-05,True
-20,0,-17.176170508391365,0.9904268830161067,0.0002231836406402975,4.614947816270203e-05,0.9918544171191382,0.0002231836406402975,4.614947816270203e-05,True
-19,0,-16.310145104606928,0.9898665617991188,0.0003219462550787941,1.671202356133962e-05,0.9912940959021503,0.0003219462550787941,1.671202356133962e-05,True
-18,0,-15.444119700822489,0.9892311496134296,0.00043664262104175144,-1.1016290646834485e-05,0.9906586837164612,0.00043664262104175144,-1.1016290646834485e-05,True
-17,0,-14.57809429703805,0.9885041355181112,0.0005731696591265596,-3.7171222190769595e-05,0.9899316696211428,0.0005731696591265596,-3.7171222190769595e-05,True
-16,0,-13.712068893253612,0.9876637165986042,0.0007395095213131277,-6.191427305384239e-05,0.9890912507016357,0.0007395095213131277,-6.191427305384239e-05,True
-15,0,-12.84604348946917,0.9866804496779663,0.0009472446652926897,-8.549198990221308e-05,0.9881079837809978,0.0009472446652926897,-8.549198990221308e-05,True
-14,0,-11.980018085684733,0.9855133550076354,0.0012140216539032957,-0.00010831036959510812,0.9869408891106669,0.0012140216539032957,-0.00010831036959510812,True
-13,0,-11.113992681900296,0.9841033620925439,0.001568181115580043,-0.00013111576516759338,0.9855308961955754,0.001568181115580043,-0.00013111576516759338,True
-12,0,-10.247967278115857,0.9823613763909611,0.002058355533363595,-0.00015539151474319545,0.9837889104939926,0.002058355533363595,-0.00015539151474319545,True
-11,0,-9.381941874331417,0.9801440892845557,0.0027753697997777976,-0.00018403578867580547,0.9815716233875872,0.0027753697997777976,-0.00018403578867580547,True
-10,0,-8.51591647054698,0.9771984566577903,0.003907522571619896,-0.00022268306358065896,0.9786259907608218,0.003907522571619896,-0.00022268306358065896,True
-9,0,-7.649891066762541,0.972998501141707,0.005892923085630322,-0.0002821555030834539,0.9744260352447386,0.005892923085630322,-0.0002821555030834539,True
-8,0,-6.783865662978103,0.9661912090974734,0.00983037190210748,-0.00039614605401950545,0.9676187432005049,0.00983037190210748,-0.00039614605401950545,True
-7,0,-5.917840259193664,0.9527566654435695,0.018407363152659256,-0.0006476576864628417,0.954184199546601,0.018407363152659256,-0.0006476576864628417,True
-6,0,-5.0518148554092255,0.9218710593027895,0.03677671634958724,-0.0006314381303571502,0.923298593405821,0.03677671634958724,-0.0006314381303571502,True
-5,0,-4.185789451624787,0.851851794034743,0.0697919027211284,0.006044893407128393,0.8532793281377745,0.0697919027211284,0.006044893407128393,True
-4,0,-3.319764047840348,0.7129622285745183,0.11416647096316611,0.02980740627870481,0.7143897626775498,0.11416647096316611,0.02980740627870481,True
-3,0,-2.4537386440559095,0.5512002278115753,0.14415762512339844,0.045947010496673255,0.5526277619146068,0.14415762512339844,0.045947010496673255,True
-2,0,-1.5877132402714706,0.4113998045098468,0.14062772239604215,0.04386072724059955,0.41282733861287835,0.14062772239604215,0.04386072724059955,True
-1,0,-0.7216878364870323,0.24934783739246094,0.10363374258063952,0.024620217079173876,0.25077537149549245,0.10363374258063952,0.024620217079173876,True
0,0,0.14433756729740643,0.12461245981178279,0.06049159287885401,0.0024932009590625873,0.1260399939148143,0.06049159287885401,0.0024932009590625873,True
1,0,1.010362971081845,0.06666496418928178,0.03108742361173062,-0.0008061812184923436,0.06809249829231329,0.03108742361173062,-0.0008061812184923436,True
2,0,1.8763883748662837,0.04155753727239817,0.015654247073205507,-0.0005502876710804325,0.04298507137542968,0.015654247073205507,-0.0005502876710804325,True
3,0,2.7424137786507226,0.03042979144640497,0.00862010655787491,-0.0003456373657969372,0.03185732554943648,0.00862010655787491,-0.0003456373657969372,True
4,0,3.608439182435161,0.024482242503343757,0.005346570426639053,-0.00025621461392081896,0.02590977660637527,0.005346570426639053,-0.00025621461392081896,True
5,0,4.474464586219599,0.020658356404374946,0.0036490224860381546,-0.00020772326934434364,0.022085890507406458,0.0036490224860381546,-0.00020772326934434364,True
6,0,5.340489990004038,0.01791591936086884,0.0026559430706665343,-0.00017747868626301062,0.019343453463900352,0.0026559430706665343,-0.00017747868626301062,True
7,0,6.206515393788477,0.015825952015514358,0.0020164559049212316,-0.00015599972278350664,0.01725348611854587,0.0020164559049212316,-0.00015599972278350664,True
8,0,7.072540797572915,0.014170459302284916,0.0015752163141175104,-0.00013840240127559504,0.015597993405316425,0.0015752163141175104,-0.00013840240127559504,True
9,0,7.938566201357354,0.012822367162644514,0.001255241805467885,-0.00012251893068710676,0.014249901265676023,0.001255241805467885,-0.00012251893068710676,True
10,0,8.804591605141791,0.011701119340989195,0.0010143980116592846,-0.00010735439934043156,0.013128653444020704,0.0010143980116592846,-0.00010735439934043156,True
11,0,9.670617008926232,0.010752664632098927,0.0008277055526432917,-9.242540634853949e-05,0.012180198735130437,0.0008277055526432917,-9.242540634853949e-05,True
12,0,10.53664241271067,0.009939148308436558,0.000679434296019671,-7.750724883686197e-05,0.011366682411468067,0.000679434296019671,-7.750724883686197e-05,True
13,0,11.402667816495107,0.009233190908239057,0.000559205340591689,-6.249900960645467e-05,0.010660725011270567,0.000559205340591689,-6.249900960645467e-05,True
14,0,12.268693220279548,0.008614410552189328,0.000459914423684727,-4.736454989444014e-05,0.010041944655220838,0.000459914423684727,-4.736454989444014e-05,True
15,0,13.134718624063986,0.00806733235168332,0.0003765472962527146,-3.209704567465831e-05,0.00949486645471483,0.0003765472962527146,-3.209704567465831e-05,True
16,0,14.000744027848423,0.007579968755569971,0.000305473014261565,-1.671122175550717e-05,0.00900750285860148,0.000305473014261565,-1.671122175550717e-05,True
17,0,14.866769431632862,0.007142876298388067,0.000243993849902167,-1.2205232456560236e-06,0.008570410401419577,0.000243993849902167,-1.2205232456560236e-06,True
18,0,15.732794835417302,0.006748521878228907,0.00019004258951558497,1.4371899144107478e-05,0.008176055981260416,0.00019004258951558497,1.4371899144107478e-05,True
19,0,16.59882023920174,0.006390842336229377,0.00014195329314360336,3.00783971694062e-05,0.007818376439260886,0.00014195329314360336,3.00783971694062e-05,True
20,0,17.464845642986177,0.006064911651098215,9.820435414455527e-05,4.5915664995082976e-05,0.007492445754129726,9.820435414455527e-05,4.5915664995082976e-05,True
21,0,18.330871046770618,0.005766611053011631,5.684076395557464e-05,6.192599276307281e-05,0.007194145156043142,5.684076395557464e-05,6.192599276307281e-05,True
22,0,19.196896450555055,0.005491804425647979,1.427104530100573e-05,7.685927386942321e-05,0.00691933852867949,1.427104530100573e-05,7.685927386942321e-05,True
23,0,20.062921854339493,0.005233256894521964,-3.2782805759594814e-05,0.00012464377678703296,0.006660790997553474,-3.2782805759594814e-05,0.00012464377678703296,False
24,0,20.928947258123934,0.00499897250058219,0.0,0.0,0.006426506603613701,0.0,0.0,False
25,0,21.79497266190837,0.004741965231540003,0.0,0.0,0.006169499334571513,0.0,0.0,False
26,0,22.66099806569281,0.0045047219873905146,0.0,0.0,0.005932256090422024,0.0,0.0,False
27,0,23.52702346947725,0.004285047572254704,0.0,0.0,0.005712581675286214,0.0,0.0,False
28,0,24.393048873261687,0.004081060253277875,0.0,0.0,0.005508594356309386,0.0,0.0,False
29,0,25.259074277046125,0.0038911377420385303,0.0,0.0,0.0053186718450700405,0.0,0.0,False
30,0,26.125099680830566,0.003713873973745096,0.0,0.0,0.005141408076776606,0.0,0.0,False
31,0,26.991125084615003,0.0035480442474662894,0.0,0.0,0.0049755783504978005,0.0,0.0,False
32,0,27.85715048839944,0.0033925768994393433,0.0,0.0,0.004820111002470854,0.0,0.0,False
33,0,28.723175892183882,0.003246530124375543,0.0,0.0,0.004674064227407054,0.0,0.0,False
34,0,29.589201295968323,0.0031090728854007792,0.0,0.0,0.004536606988432289,0.0,0.0,False
