j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-34,0,-29.300526161373504,0.9954633930115678,0.0,0.0,0.9954633930115678,0.0,0.0,False
-33,0,-28.434500757589063,0.995325935772593,0.0,0.0,0.995325935772593,0.0,0.0,False
-32,0,-27.56847535380463,0.9951798889975292,0.0,0.0,0.9951798889975292,0.0,0.0,False
-31,0,-26.702449950020192,0.9950244216495023,0.0,0.0,0.9950244216495023,0.0,0.0,False
-30,0,-25.83642454623575,0.9948585919232236,0.0,0.0,0.9948585919232236,0.0,0.0,False
-29,0,-24.970399142451313,0.99468132815493,0.0,0.0,0.99468132815493,0.0,0.0,False
-28,0,-24.104373738666876,0.9944914056436907,0.0,0.0,0.9944914056436907,0.0,0.0,False
-27,0,-23.238348334882435,0.9942874183247138,0.0,0.0,0.9942874183247138,0.0,0.0,False
-26,0,-22.372322931097997,0.994067743909578,0.0,0.0,0.994067743909578,0.0,0.0,False
-25,0,-21.50629752731356,0.9938305006654286,0.0,0.0,0.9938305006654286,0.0,0.0,False
-24,0,-20.640272123529122,0.9935734933963862,0.0,0.0,0.9935734933963862,0.0,0.0,False
-23,0,-19.77424671974468,0.9933310272234483,-3.881764150030301e-05,0.00012749928319332585,0.9933310272234483,-3.881764150030301e-05,0.00012749928319332585,False
-22,0,-18.908221315960244,0.9930712495645309,1.0990600568273445e-05,7.928565231761449e-05,0.9930712495645309,1.0990600568273445e-05,7.928565231761449e-05,True
-21,0,-18.042195912175806,0.9927926469437602,5.516779777496703e-05,6.440332706512768e-05,0.9927926469437602,5.516779777496703e-05,6.440332706512768e-05,True
-20,0,-17.176170508391365,0.9924895161408969,9.764437862948852e-05,4.8344476582864396e-05,0.9924895161408969,9.764437862948852e-05,4.8344476582864396e-05,True
-19,0,-16.310145104606928,0.9921579063571505,0.00014249923880915459,3.243202505504494e-05,0.9921579063571505,0.00014249923880915459,3.243202505504494e-05,True
-18,0,-15.444119700822489,0.9917935515242902,0.0001918767913447465,1.6635299734037916e-05,0.9917935515242902,0.0001918767913447465,1.6635299734037916e-05,True
-17,0,-14.57809429703805,0.9913913011744302,0.0002474038051950711,9.416083980786239e-07,0.9913913011744302,0.0002474038051950711,9.416083980786239e-07,True
-16,0,-13.712068893253612,0.9909448098488989,0.00031085171401828374,-1.4659315743521047e-05,0.9909448098488989,0.00031085171401828374,-1.4659315743521047e-05,True
-15,0,-12.84604348946917,0.9904461839457257,0.00038442675277186925,-3.0167425914127098e-05,0.9904461839457257,0.00038442675277186925,-3.0167425914127098e-05,True
-14,0,-11.980018085684733,0.9898854874987195,0.0004710238425057945,-4.557973183382034e-05,0.9898854874987195,0.0004710238425057945,-4.557973183382034e-05,True
-13,0,-11.113992681900296,0.9892500566874173,0.0005745587030321807,-6.089664100202778e-05,0.9892500566874173,0.0005745587030321807,-6.089664100202778e-05,True
-12,0,-10.247967278115857,0.988523488112819,0.0007004634943029405,-7.614393116643859e-05,0.988523488112819,0.0007004634943029405,-7.614393116643859e-05,True
-11,0,-9.381941874331417,0.9876840772831572,0.0008564863015510241,-9.138945267831919e-05,0.9876840772831572,0.0008564863015510241,-9.138945267831919e-05,True
-10,0,-8.51591647054698,0.9867024779691891,0.0010540411233457992,-0.00010680402258989158,0.9867024779691891,0.0010540411233457992,-0.00010680402258989158,True
-9,0,-7.649891066762541,0.985537852206642,0.0013106051317308145,-0.00012272123111129168,0.985537852206642,0.0013106051317308145,-0.00012272123111129168,True
-8,0,-6.783865662978103,0.9841313565818893,0.0016542879013464666,-0.0001398029484549079,0.9841313565818893,0.0016542879013464666,-0.0001398029484549079,True
-7,0,-5.917840259193664,0.9823943090512983,0.00213333680956717,-0.00015942757406439212,0.9823943090512983,0.00213333680956717,-0.00015942757406439212,True
-6,0,-5.0518148554092255,0.9801842176608844,0.0028377907395376856,-0.00018437314819978387,0.9801842176608844,0.0028377907395376856,-0.00018437314819978387,True
-5,0,-4.185789451624787,0.9772499706722224,0.003954076318743528,-0.00022021469639430663,0.9772499706722224,0.003954076318743528,-0.00022021469639430663,True
-4,0,-3.319764047840348,0.9730712357034029,0.00591532515588136,-0.0002774468058829903,0.9730712357034029,0.00591532515588136,-0.0002774468058829903,True
-3,0,-2.4537386440559095,0.9663129438618399,0.0098073050132737,-0.0003887839365409058,0.9663129438618399,0.0098073050132737,-0.0003887839365409058,True
-2,0,-1.5877132402714706,0.9530105348488935,0.01828888261630879,-0.0006361337260042304,0.9530105348488935,0.01828888261630879,-0.0006361337260042304,True
-1,0,-0.7216878364870323,0.9224441562643564,0.03648806147249338,-0.0006345019173779869,0.9224441562643564,0.03648806147249338,-0.0006345019173779869,True
