radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.04884430886035007,-0.006825111131255756,0.05566941999160583,2,True
1.0,0.0989531782255102,-0.006929756232258725,0.10588293445776892,4,True
1.5,0.1917117345658057,-0.014533907614051864,0.20624564217985758,10,True
2.0,0.3312986010423016,-0.010416781508065088,0.3417153825503666,18,True
2.5,0.4462239325921531,-0.011662903575452,0.45788683616760506,30,True
3.0,0.5258575244675674,-0.002524989532792692,0.5283825140003601,40,True
3.5,0.635283835117666,-0.01222388109339493,0.6475077162110608,56,True
4.0,0.7138294055262562,-0.0009366246113575796,0.7147660301376138,72,True
4.5,0.8081310002890887,0.0013542760657471887,0.8067767242233415,90,True
5.0,0.8551485004384984,0.0028431995179460812,0.8523053009205525,112,True
5.5,0.9024756324047662,0.0015566042341026397,0.9009190281706636,136,True
6.0,0.9313578451022799,-0.0018231434797492323,0.9331809885820291,158,True
6.5,0.9664066244539367,0.00034784947286282226,0.9660587749810738,188,True
7.0,0.997482066223943,-0.0006733001769643207,0.9981553664009073,220,True
7.5,1.026351095016906,0.0001713850416155202,1.0261797099752905,254,True
8.0,1.047734130423136,-0.00019974329281311203,1.0479338737159491,286,True
8.5,1.0693132470106925,-1.3522490640311552e-05,1.0693267695013329,320,True
9.0,1.0902283851164682,-0.00012054843658812638,1.0903489335530563,360,True
9.5,1.1092292362383693,-0.0001403126899103685,1.1093695489282798,400,True
10.0,1.128288015893764,-6.071632880415203e-05,1.1283487322225683,444,True
10.5,1.1465733802266236,-0.0001078150820329807,1.1466811953086564,492,True
11.0,1.1620010691916338,-0.00010099244928921114,1.162102061640923,536,True
11.5,1.1782131101590694,-7.33723579046078e-05,1.1782864825169739,588,True
12.0,1.1942860828413338,-9.92579999210025e-05,1.1943853408412548,644,True
12.5,1.2084437647925248,-7.133887663758826e-05,1.2085151036691624,698,True
13.0,1.2203278908327366,-0.00010916428639043277,1.220437055119127,748,True
13.5,1.2353144800393046,-9.399218641256463e-05,1.2354084722257173,814,True
14.0,1.247285830629012,-7.933671309927576e-05,1.2473651673421111,872,True
14.5,1.2594755578578551,-0.00010492616315927144,1.2595804840210145,936,True
15.0,1.2710709844273391,-8.708267729056027e-05,1.2711580671046296,1000,True
15.5,1.2824585491716074,-0.00010165428202515352,1.2825602034536323,1068,True
16.0,1.2937311496540285,-8.576512112387451e-05,1.2938169147751524,1140,True
16.5,1.3040406895207601,-9.540027350004622e-05,1.3041360897942602,1210,True
17.0,1.3146043873663436,-8.576416035971325e-05,1.314690151526703,1286,True
17.5,1.3245477694037082,-9.915946995621968e-05,1.3246469288736646,1362,True
18.0,1.333616053754803,-8.184590396795853e-05,1.333697899658771,1436,True
18.5,1.3436981885405208,-7.612472975649444e-05,1.3437743132702775,1522,True
19.0,1.3531173031442445,-0.00015267985724009246,1.3532699830014847,1608,True
19.5,1.3635933521103762,0.0017353046953222638,1.3618580474150541,1690,True
20.0,1.3726720634061231,0.0027154119462118515,1.3699566514599113,1772,True
