j,l,ux,uy,uz,gx,gy,gz
-24,4,0.47694267913912464,1.9989783546252713e-05,0.00010443784692784292,5.285547569284024e-11,1.2196979537471009e-11,-6.019491683399844e-11
-24,5,0.47021705345653897,6.401568762794661e-05,0.00015637591689153575,2.190479233817131e-10,-1.3173546975497885e-10,-1.3404165438497438e-10
-24,6,0.46344182374103027,0.00010059251755349593,0.00017605869055501428,-1.2573241059410378e-12,2.6553781395932674e-10,5.6074036093676366e-11
-24,7,0.45664999518543337,0.00012962083139997192,0.00017566116861037956,3.519509889689937e-11,-8.341285995250303e-12,2.1222738240996974e-10
-24,8,0.4498672185987191,0.00015161893742959823,0.00016145062017623512,1.9650655722850546e-11,-3.523415170736399e-10,2.492036220121726e-13
-24,9,0.44311654176019594,0.00016669259660799423,0.00013718838113161227,-1.7441677865447786e-10,1.0009880424544093e-10,-2.1645788293221213e-10
-24,10,0.4364187959898809,0.00017469600999507073,0.00010558667996155812,1.1381713936131979e-10,3.631990125319007e-10,9.945893624176922e-11
-24,11,0.42979102598892993,0.0001752272885392518,6.871098763304403e-05,-3.550442665561926e-11,-4.6672152254068067e-11,-2.3281059891224626e-10
-24,12,0.42324101823147203,0.00016671023376628078,2.8204486276715543e-05,-4.887742695389857e-11,6.103971494919591e-11,-3.621353970479648e-11
-24,13,0.4167463876227659,0.00014322093949285233,-1.2346923813804199e-05,-1.3307956451234781e-10,4.4893747053187383e-10,6.528796469787044e-11
-23,1,0.4966660091069612,-3.881764150030301e-05,0.00012749928319332585,1.8913937663585082e-10,-6.600375801468772e-11,-5.613217399572101e-11
-23,2,0.4898829002715303,8.268258758865475e-07,0.00020806375544025362,1.6768409291580567e-10,-1.520711750968573e-10,1.3385286650770267e-10
-23,3,0.48300963809733566,2.581275624580232e-05,0.00028109989878948786,8.077475840972959e-11,1.9663169703587613e-10,1.5879613512255648e-10
-23,4,0.4760849687417768,7.725802380588119e-05,0.0003210324275884286,-5.531169727963914e-11,3.296007217157282e-10,-1.693058340957376e-10
-23,5,0.4690980501090502,0.00014760420988950242,0.00033680601576247297,5.4731955946574207e-11,1.6944558256515307e-10,-9.577580566876237e-11
-23,6,0.46207150193567265,0.00021414797453883928,0.000332069295279344,1.3614699482817488e-11,1.4913865975518803e-10,1.289963681933102e-10
-23,7,0.45503218520154004,0.0002711414275114926,0.0003083120910275983,-3.715326543597339e-11,2.1737184274783772e-10,5.518144047169521e-11
-23,8,0.4480056426716367,0.0003162622643772432,0.0002684610302224536,8.643039918748013e-11,6.219347259417418e-11,-2.7176306052810548e-11
-23,9,0.4410154488617896,0.00034816560313359347,0.00021638817683641514,-1.5623194307267524e-11,5.7790813801084084e-11,1.5567053980640672e-10
-23,10,0.434082414340974,0.00036599744656441914,0.00015670648462259092,8.026925706148408e-11,3.118714730909744e-10,-1.7612659778293597e-10
