j,l,ux,uy,uz,gx,gy,gz
-2,0,-0.4776753805797309,-0.008066364407718499,0.00017380502301124706,6.670762636717953e-09,-3.950010034337037e-09,3.852487391597936e-08
-2,1,0.44409658862111523,-0.0005155520489477079,0.0023570936240585438,2.6953909354476835e-08,-9.048858053140041e-08,-7.279282336625226e-09
-2,2,0.3741836346670024,-0.0029591655048892876,0.005655195206399523,4.839985153978765e-09,3.655940634776644e-08,2.1483305871240754e-08
-1,-1,-0.34015220220164066,-0.0026312919389712805,-0.008573099459594611,3.24688543551499e-08,3.411145323151121e-08,6.723758522175771e-09
-1,0,-0.40690141878281855,-0.010415441604504572,-0.009531252337573454,5.867507981479475e-08,-3.9839783916306715e-08,1.991491027641956e-09
-1,1,0.3620247217669277,0.0006571637292101766,0.004410971540166283,-5.333098000021019e-08,-6.908096650271034e-09,2.5966756522777246e-09
-1,2,0.294745598405634,0.0029923638522060332,0.001853418054804555,7.589181341693951e-08,1.0454344355481648e-08,8.085607614005674e-09
0,-1,-0.24861232324874066,0.0025980611449253894,-0.0037181669384920586,1.8350178349058055e-08,-4.204780519254103e-08,1.0443029975493179e-08
0,0,-0.1540139883476749,0.008702205377272747,-0.007416478560434037,7.288985610920395e-08,4.180166934819596e-08,6.977023542242833e-08
0,1,0.11382980727653275,0.020174899893720042,0.009682885075460354,4.185239143097985e-10,-6.197820034969936e-12,5.1994621205753155e-08
0,2,0.20305297732069516,0.009193624462050349,0.009809608547538273,1.6934234431387196e-08,1.916389021777709e-08,1.1524293061504487e-08
1,-1,-0.1643656697945799,0.006956684560901369,-0.007735222591265682,-1.0094665303314598e-08,-1.7174850949416842e-08,4.4655883466721e-08
1,0,-0.07157269715845999,0.006241140491084626,-0.00020602465354671627,2.4194328263060783e-08,-3.172580109733758e-08,-2.771745534480008e-09
1,1,0.0305336078896965,0.01795766114804327,0.002273952361357082,7.80903479102868e-08,-1.0465187605390724e-09,3.4159019488000375e-08
1,2,0.12028465491829922,0.009093454045308626,0.004306779015546217,3.958913794878394e-08,4.5597964833631044e-08,4.408179401366175e-09
2,-1,-0.1099806012566776,0.0024710434097169904,-0.0016178168893218054,-4.445842147551837e-08,-1.641696476331611e-08,-3.700148908450385e-08
2,0,-0.0383291858475592,0.0007734637337743698,-0.0019845313888377683,-2.7362919166606936e-08,-9.284993517100215e-09,3.363959157065555e-08
2,1,0.02503082370758973,0.006456433082844105,-0.0011563991725630786,-7.230798926630144e-08,-4.639852228122132e-09,9.905825024830728e-09
