j,l,ux,uy,uz,gx,gy,gz
-4,0,-0.4821066893645851,-0.0015158271350283225,0.0007766765032775632,-2.058478500328864e-08,-1.064868881822667e-07,3.454375509812438e-08
-4,1,0.4812593056333562,0.0009577546480073739,0.0011274913985583322,6.592740253719143e-08,-3.0488473386561243e-08,5.6612549929196954e-08
-4,2,0.4440948781502237,0.0003021874576535334,0.0004536633906062867,1.765118806326682e-09,-2.70697266468653e-09,-2.8051412252066976e-09
-4,3,0.40696919119935865,-0.0008143937275122764,0.0008296799411958676,-4.567155476378759e-08,-4.882598494092283e-08,1.684969639077892e-08
-4,4,0.37242741131871115,-0.0014520241418236497,0.000897385692327738,-2.1470068366398476e-08,-2.3519793343820816e-09,-4.999726629928425e-08
-3,-2,-0.40800879633713644,-0.0036299953363628135,-0.0022150038946302875,-4.153519981631767e-08,-8.006670680800465e-08,4.4566017899476396e-08
-3,-1,-0.4406424588461371,-0.005298197664967293,-0.0030222217256625937,-1.0204369651611173e-07,-1.7320919636076848e-08,7.159342641296917e-08
-3,0,-0.4813390661615468,-0.005979555049734424,-0.0007762588016744676,-4.011189507369811e-08,4.947249591588654e-08,-1.2880611225622035e-07
-3,1,0.4751113226129109,0.00013135370919326777,0.0005388584157355727,-6.0681453091515625e-09,1.1837646776008404e-08,1.8675287512259775e-07
-3,2,0.42922437696362753,-0.0007383989848511205,0.002035534262580004,1.978263080432141e-08,-1.9308625699709925e-07,-1.035776815341144e-07
-3,3,0.3839045918586053,-0.0037896023571431002,0.003534023353703084,-7.515369191551935e-09,5.349836355037288e-08,5.442009036460416e-08
-3,4,0.34558446787566144,-0.003268213171187954,0.004753179796869156,1.3931450356963757e-08,6.723342408287633e-08,-8.845273022795724e-08
-3,5,0.31739666785100734,-0.0001791848926022952,0.001834271225744571,-2.6932838562664096e-08,8.538035835108093e-08,-2.818180255045183e-08
-2,-3,-0.3620688199962799,-0.003192574908347426,-0.0028394159673309108,-3.2211814592845306e-08,4.6466046225122903e-08,3.079764059922552e-08
-2,-2,-0.38544922799549425,-0.008569570166027695,-0.006261061734140932,-1.3066287348644824e-08,1.212549084229908e-08,-6.01394248038109e-08
-2,-1,-0.42513963450388825,-0.012679686333779455,-0.007916241211465445,-1.522823457229816e-07,2.920105270261264e-08,-6.870773553227516e-08
-2,0,-0.48167506088703355,-0.013287362735982642,-0.004006955418662483,-6.299842147255985e-08,-6.877827223202015e-08,-8.48166150473062e-08
-2,1,0.462790864772408,-0.002192002459929763,0.0008493458392485609,-1.724857051632611e-08,-7.282006926623286e-08,-8.041289464508217e-08
-2,2,0.3998626221014223,-0.00446195000780079,0.005314694496195452,4.0445197052596527e-08,1.0416285347453202e-07,3.6044461738243827e-09
-2,3,0.34687574999010895,-0.007489165114319223,0.009903621819668777,2.584713535872885e-08,9.470153950526944e-08,-1.402951410245032e-07
-2,4,0.30875568252501373,-0.0024321557663734266,0.0050817427972079925,-7.438376166402083e-08,-9.5606396291123e-08,-1.984061609450194e-09
-2,5,0.28450902800017797,-0.0001719829233154771,0.001242936812092193,5.287231757966637e-08,3.15907927673012e-08,9.003496366857822e-09
-1,-3,-0.3301282239426526,-0.004361147777014459,-0.0041178003607745175,6.963797864224797e-08,2.9252239496131704e-08,-1.1838841088018803e-08
-1,-2,-0.34698769887897246,-0.011551035371634854,-0.009266646972086777,-6.359513502265934e-08,-5.3896410348586166e-08,1.955201656828054e-09
-1,-1,-0.3868671537815145,-0.018997070673075933,-0.012999198233000933,-1.4698776440794092e-10,8.922757139054327e-08,-5.994200289599627e-08
-1,0,-0.4729968211091695,-0.022273454125161293,-0.007690154380153646,1.8252795108697484e-08,1.7024324248937628e-08,-4.533621929259102e-08
-1,1,0.43172223603710647,-0.006184737816356458,0.00018758754842910862,-5.966629107456711e-09,-1.5728186884833573e-08,-2.0237360131777904e-07
-1,2,0.348679002120247,-0.010169924656706027,0.012010907085574767,5.934929054668637e-08,1.715138066120392e-08,1.634209850637225e-07
-1,3,0.2955176894845876,-0.0054706571489428705,0.005682135772257524,2.6006529270372614e-08,9.248409236356503e-09,-1.4295311184103765e-07
-1,4,0.26500502303308604,-0.002487331877124718,0.0014903838061992828,-1.1802708594493838e-07,4.557153106612977e-08,3.8299883941411705e-09
-1,5,0.2492731484784379,-0.00014088283620219047,-0.00016927816693878227,-1.3545592776262327e-07,-2.662981981628454e-08,2.0048765637676463e-08
0,-4,-0.2902471207993786,0.0003908269572088882,-0.001656712469069153,-1.25733988533272e-08,-4.868889923160223e-08,-1.004225501990974e-07
0,-3,-0.2917801331302097,-0.002577038118666635,-0.005256978727028231,-4.760978764613982e-08,-7.792883481528776e-09,-7.314661335661166e-08
0,-2,-0.29295227753652137,-0.008458293743358616,-0.010317715321421646,5.2725317604973565e-08,-1.2756910100844565e-07,9.622401502679123e-08
0,-1,-0.30390986370074363,-0.015573521637924508,-0.01647659460688382,-7.999122675350634e-08,2.5869485137386405e-08,8.997748157657526e-09
0,0,-0.3901436095790127,-0.020912341573126034,-0.01219179812371,-1.4595379172399267e-07,-2.448138147759238e-08,-7.551889755208485e-08
0,1,0.3526717445881874,-0.006138354600099921,0.006000246546677175,8.01135544709064e-09,-1.562024992685096e-08,-7.039366545225079e-08
0,2,0.26880856028408456,-0.001985967289516719,0.004990375009799012,-7.820359637644714e-10,8.545929570773214e-09,-1.4957735912368708e-07
0,3,0.2345323315768204,-0.0030744019590424805,0.0018788044655589954,-5.68551773716397e-08,-2.3438714677470607e-08,1.4260977823730286e-07
0,4,0.22078837342730273,-0.0020136376192143777,-0.0003234954991447891,5.199919558482313e-08,4.423986140096592e-08,-5.885143459106318e-08
0,5,0.21419011197872534,-0.0010285650192362016,-0.0008765527014969256,-2.037140655816727e-08,3.205606324829802e-08,-1.5619269586389373e-07
1,-4,-0.25660121023690224,0.0016507182538320411,0.0006839284993498519,-2.8993979881916654e-08,-3.6536200309980615e-08,3.996077504661577e-08
1,-3,-0.25133642421703856,0.0004478392190553803,0.0004893422315294934,-5.987015375477633e-08,-1.1285015942032184e-07,6.709455428917377e-08
1,-2,-0.24110331822412379,-0.0008448527366381139,-0.0008415365296157344,7.032080514418615e-08,4.2961882447400956e-08,-3.9646331828190745e-08
1,-1,-0.21460495676907682,-0.0036851683101180224,-0.0024822954132207708,9.87661222251468e-09,-5.7297086590926694e-08,-7.459735999054695e-08
1,0,-0.1413291782706042,0.0006169014671095035,-0.0027684467645829993,6.938903336726338e-08,-4.973608191960466e-09,1.0168847891511845e-07
1,1,0.10051011481457185,0.015798160519646273,0.013745056771110431,1.1907636105618069e-07,-1.4388641361717802e-08,-1.2058517809276914e-08
