radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.09860590000149719,-3.019788943680632e-05,0.09863609789093399,2,True
1.0,0.1489833350451476,-5.286359327382051e-05,0.14903619863842144,4,True
1.5,0.28932679022120644,-0.00010121180561724225,0.2894280020268237,10,True
2.0,0.3739805586405694,-0.00012635125059898123,0.37410690989116835,18,True
2.5,0.4434190614572166,-0.00015829561263207848,0.4435773570698486,30,True
3.0,0.48706263534246147,-0.00014078831949698942,0.4872034236619584,40,True
3.5,0.5419464185623932,-0.00012460222382146952,0.5420710207862146,56,True
4.0,0.5833079623517112,-9.250008303540865e-05,0.5834004624347466,72,True
4.5,0.6191270569002277,-6.0556825929707704e-05,0.6191876137261575,90,True
5.0,0.6572337310405837,-2.5970685098622785e-05,0.6572597017256824,112,True
5.5,0.6909010987937877,1.2446708373134194e-05,0.6908886520854145,136,True
6.0,0.7158619799417013,3.143806270798119e-05,0.7158305418789932,158,True
