j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.9918657710858574,0.0,0.0,0.9918657710858574,0.0,0.0,False
-18,0,-15.444119700822489,0.9914140444544532,0.0,0.0,0.9914140444544532,0.0,0.0,False
-17,0,-14.57809429703805,0.9909092071497969,0.0,0.0,0.9909092071497969,0.0,0.0,False
-16,0,-13.712068893253612,0.9903413101252472,0.0,0.0,0.9903413101252472,0.0,0.0,False
-15,0,-12.84604348946917,0.9896977546317836,0.0,0.0,0.9896977546317836,0.0,0.0,False
-14,0,-11.980018085684733,0.9889623474982353,0.0,0.0,0.9889623474982353,0.0,0.0,False
-13,0,-11.113992681900296,0.9881139213492505,0.0,0.0,0.9881139213492505,0.0,0.0,False
-12,0,-10.247967278115857,0.9871242666958682,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9859549394558582,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9845521598119251,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.9830258188225243,0.0004680067345142935,0.0002147915892912627,0.9830258188225243,0.0004680067345142935,0.0002147915892912627,True
-8,0,-6.783865662978103,0.9811027714122416,0.0014872452662013022,-4.269292171169307e-05,0.9811027714122416,0.0014872452662013022,-4.269292171169307e-05,True
-7,0,-5.917840259193664,0.9786696986332397,0.002755143815702492,-0.00010142480767871983,0.9786696986332397,0.002755143815702492,-0.00010142480767871983,True
-6,0,-5.0518148554092255,0.9754921584638798,0.004388403952345004,0.00012866530888776175,0.9754921584638798,0.004388403952345004,0.00012866530888776175,True
-5,0,-4.185789451624787,0.9712657954332289,0.006303978042594719,0.0006612884146334724,0.9712657954332289,0.006303978042594719,0.0006612884146334724,True
-4,0,-3.319764047840348,0.965644201123413,0.00876932806875136,0.0017525065874329482,0.965644201123413,0.00876932806875136,0.0017525065874329482,True
-3,0,-2.4537386440559095,0.9581832016755409,0.011494811305687271,0.0036274893023913435,0.9581832016755409,0.011494811305687271,0.0036274893023913435,True
-2,0,-1.5877132402714706,0.9460023886536286,0.015408816711892244,0.006856666173366296,0.9460023886536286,0.015408816711892244,0.006856666173366296,True
-1,0,-0.7216878364870323,0.9069206570245731,0.020026647010678307,0.009392874769773563,0.9069206570245731,0.020026647010678307,0.009392874769773563,True
0,0,0.14433756729740643,0.747064178405347,0.01872383294110102,0.017557061507029587,0.747064178405347,0.01872383294110102,0.017557061507029587,True
1,0,1.010362971081845,0.24697836543600038,0.019050927480671137,0.01694776556137401,0.24697836543600038,0.019050927480671137,0.01694776556137401,True
2,0,1.8763883748662837,0.08895338428721707,0.02009146041703235,0.008893360943771314,0.08895338428721707,0.02009146041703235,0.008893360943771314,True
3,0,2.7424137786507226,0.05109108919831336,0.015223892348268545,0.006443945845709686,0.05109108919831336,0.015223892348268545,0.006443945845709686,True
4,0,3.608439182435161,0.03950982848436052,0.011213025636694575,0.0033127407539188677,0.03950982848436052,0.011213025636694575,0.0033127407539188677,True
5,0,4.474464586219599,0.03231774631314415,0.008341712597133106,0.0014862627544812712,0.03231774631314415,0.008341712597133106,0.0014862627544812712,True
6,0,5.340489990004038,0.026832595420323544,0.005800711909309544,0.00044745570509359357,0.026832595420323544,0.005800711909309544,0.00044745570509359357,True
7,0,6.206515393788477,0.022707944385799417,0.0037406428371232923,1.6979265953189838e-05,0.022707944385799417,0.0037406428371232923,1.6979265953189838e-05,True
8,0,7.072540797572915,0.01961641859782464,0.002039945815766292,-5.509407533885982e-05,0.01961641859782464,0.002039945815766292,-5.509407533885982e-05,True
9,0,7.938566201357354,0.017253826304436747,0.0006832413917605876,0.0002317435358155796,0.017253826304436747,0.0006832413917605876,0.0002317435358155796,True
10,0,8.804591605141791,0.015447840188074886,0.0,0.0,0.015447840188074886,0.0,0.0,False
11,0,9.670617008926232,0.014045060544141884,0.0,0.0,0.014045060544141884,0.0,0.0,False
12,0,10.53664241271067,0.012875733304131824,0.0,0.0,0.012875733304131824,0.0,0.0,False
13,0,11.402667816495107,0.01188607865074953,0.0,0.0,0.01188607865074953,0.0,0.0,False
14,0,12.268693220279548,0.011037652501764757,0.0,0.0,0.011037652501764757,0.0,0.0,False
15,0,13.134718624063986,0.010302245368216504,0.0,0.0,0.010302245368216504,0.0,0.0,False
16,0,14.000744027848423,0.009658689874752796,0.0,0.0,0.009658689874752796,0.0,0.0,False
17,0,14.866769431632862,0.00909079285020318,0.0,0.0,0.00909079285020318,0.0,0.0,False
18,0,15.732794835417302,0.008585955545546847,0.0,0.0,0.008585955545546847,0.0,0.0,False
19,0,16.59882023920174,0.008134228914142692,0.0,0.0,0.008134228914142692,0.0,0.0,False
