j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.9917234730038447,0.0,0.0,0.9918657710858573,0.0,0.0,False
-18,0,-15.444119700822489,0.9912717463724405,0.0,0.0,0.9914140444544531,0.0,0.0,False
-17,0,-14.57809429703805,0.9907669090677842,0.0,0.0,0.9909092071497968,0.0,0.0,False
-16,0,-13.712068893253612,0.9901990120432346,0.0,0.0,0.9903413101252472,0.0,0.0,False
-15,0,-12.84604348946917,0.9895554565497708,0.0,0.0,0.9896977546317834,0.0,0.0,False
-14,0,-11.980018085684733,0.9888200494162227,0.0,0.0,0.9889623474982353,0.0,0.0,False
-13,0,-11.113992681900296,0.9879716232672378,0.0,0.0,0.9881139213492504,0.0,0.0,False
-12,0,-10.247967278115857,0.9869819686138556,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9858126413738455,0.0,0.0,0.9859549394558581,0.0,0.0,False
-10,0,-8.51591647054698,0.9844098617299125,0.0,0.0,0.9845521598119251,0.0,0.0,False
-9,0,-7.649891066762541,0.982880506002977,0.0004705266738449219,0.00021496576514766714,0.9830228040849897,0.0004705266738449219,0.00021496576514766714,True
-8,0,-6.783865662978103,0.9809541643906323,0.0014929760376418692,-4.314106620965886e-05,0.9810964624726449,0.0014929760376418692,-4.314106620965886e-05,True
-7,0,-5.917840259193664,0.97851697107446,0.0027636179352067466,-0.00010204887490777165,0.9786592691564726,0.0027636179352067466,-0.00010204887490777165,True
-6,0,-5.0518148554092255,0.9753340579660315,0.0043994584130639565,0.00012929855844468,0.9754763560480441,0.0043994584130639565,0.00012929855844468,True
-5,0,-4.185789451624787,0.9711007839795213,0.006316594266238804,0.0006642601902527611,0.9712430820615339,0.006316594266238804,0.0006642601902527611,True
-4,0,-3.319764047840348,0.9654681434175538,0.008782962827290658,0.001759563224777504,0.9656104414995664,0.008782962827290658,0.001759563224777504,True
-3,0,-2.4537386440559095,0.9579827755313256,0.011505443981327449,0.0036394813626964054,0.9581250736133382,0.011505443981327449,0.0036394813626964054,True
-2,0,-1.5877132402714706,0.9457499846435689,0.0154185662091596,0.00687880994378653,0.9458922827255815,0.0154185662091596,0.00687880994378653,True
-1,0,-0.7216878364870323,0.9065678195597404,0.020024917981650868,0.009422136376215943,0.906710117641753,0.020024917981650868,0.009422136376215943,True
0,0,0.14433756729740643,0.7465443166639208,0.018703241820895958,0.017613121416171367,0.7466866147459335,0.018703241820895958,0.017613121416171367,True
1,0,1.010362971081845,0.24653033747598574,0.019078572427464253,0.016917988847069982,0.24667263555799837,0.019078572427464253,0.016917988847069982,True
2,0,1.8763883748662837,0.08863557324183466,0.02010420021083857,0.0088674045928698,0.0887778713238473,0.02010420021083857,0.0088674045928698,True
3,0,2.7424137786507226,0.05085489279986054,0.015223971595753566,0.006421640149710977,0.05099719088187318,0.015223971595753566,0.006421640149710977,True
4,0,3.608439182435161,0.03931715759361697,0.011209959227456157,0.0033005950251020566,0.03945945567562962,0.011209959227456157,0.0033005950251020566,True
5,0,4.474464586219599,0.03214593821208839,0.008334406804110125,0.0014793520771786929,0.03228823629410103,0.008334406804110125,0.0014793520771786929,True
6,0,5.340489990004038,0.02667090368544983,0.005793371792720126,0.00044464561919297643,0.026813201767462477,0.005793371792720126,0.00044464561919297643,True
7,0,6.206515393788477,0.02255291989106802,0.003734197755214299,1.6475145325932177e-05,0.022695217973080665,0.003734197755214299,1.6475145325932177e-05,True
8,0,7.072540797572915,0.019466587095692756,0.0020354496230284703,-5.4832058789131216e-05,0.019608885177705402,0.0020354496230284703,-5.4832058789131216e-05,True
9,0,7.938566201357354,0.017108154049240366,0.000681247685337037,0.00023183569612224102,0.01725045213125301,0.000681247685337037,0.00023183569612224102,True
10,0,8.804591605141791,0.01530554210606224,0.0,0.0,0.015447840188074885,0.0,0.0,False
11,0,9.670617008926232,0.01390276246212924,0.0,0.0,0.014045060544141884,0.0,0.0,False
12,0,10.53664241271067,0.012733435222119178,0.0,0.0,0.012875733304131822,0.0,0.0,False
13,0,11.402667816495107,0.011743780568736886,0.0,0.0,0.01188607865074953,0.0,0.0,False
14,0,12.268693220279548,0.010895354419752114,0.0,0.0,0.011037652501764758,0.0,0.0,False
15,0,13.134718624063986,0.010159947286203858,0.0,0.0,0.010302245368216502,0.0,0.0,False
16,0,14.000744027848423,0.00951639179274015,0.0,0.0,0.009658689874752794,0.0,0.0,False
17,0,14.866769431632862,0.008948494768190537,0.0,0.0,0.00909079285020318,0.0,0.0,False
18,0,15.732794835417302,0.008443657463534203,0.0,0.0,0.008585955545546847,0.0,0.0,False
19,0,16.59882023920174,0.007991930832130048,0.0,0.0,0.008134228914142692,0.0,0.0,False
