j,l,ux,uy,uz,gx,gy,gz
-9,0,-0.4916918766747036,-0.00037380367805533825,0.0004928993717115336,-7.054756084867719e-12,4.412213780100038e-11,-9.257498356763337e-11
-9,1,0.49075246059468297,0.00010449295388660802,0.0007083889358866913,-5.915238611431395e-11,1.37735724735355e-10,2.5648204480394066e-11
-9,2,0.4728010679512701,0.00027524336669889374,0.000431847040379581,-4.615625026280212e-11,5.461174047705075e-13,6.66976433935304e-11
-9,3,0.4545662733045982,0.0002667125592960597,0.00026213058251998376,-5.098548493120969e-11,7.076936663096868e-11,3.7961069095820196e-11
-9,4,0.43631018185216836,0.00013697861475245942,0.00016501758637312908,-4.903965298078128e-11,-2.5284327040929477e-11,2.951318177476722e-11
-9,5,0.41838853804690945,-8.720142441588757e-05,0.00014308842011169812,-3.0974071831696426e-11,1.759353383465334e-11,-4.18631187657989e-11
-9,6,0.40111857071534573,-0.00023813676267742882,0.000217004244673625,-1.1779955916974005e-11,3.430011222965712e-11,1.8400111803944155e-11
-9,7,0.3847539679802211,-0.00029628330065701854,0.00022432496437877974,1.7930854717684852e-11,3.791207690666265e-11,3.775611333994844e-12
-8,-2,-0.45512849020798224,-0.00128399820593104,-1.7881911452428446e-06,-1.671576917681994e-11,7.116778520666056e-11,2.6046366886217642e-11
-8,-1,-0.4720634660451067,-0.0014080161809665913,0.00037062766538708007,-9.0304131360186e-13,-5.26172703498029e-11,-1.9190702846283436e-11
-8,0,-0.49053244541241475,-0.0014111403500217147,0.0010919029052940633,-3.949337515005147e-11,6.302554951456013e-11,-7.310217524630208e-11
-8,1,0.48997561817585283,9.950465719265784e-05,0.0010472851523988893,-4.107515542972617e-12,4.396393492311912e-11,-3.4899295692919496e-11
-8,2,0.47029439465098527,0.0005797692954341773,0.00046450290493083496,4.8181606274178e-12,8.018588901594417e-11,-3.098926388937773e-11
-8,3,0.4503431364028636,0.0005213235282099878,0.0002259730171168898,3.4080915173317905e-12,3.795921259611146e-11,-1.752819487861948e-11
-8,4,0.43032144417141976,0.0001416411561565491,0.00021838059575344075,-8.080120426912085e-11,3.5929779225625513e-11,-2.5798127929700307e-11
-8,5,0.41067322975543835,-0.0003655529502682675,0.00041092031493696854,1.831148514069847e-12,2.49758152527646e-11,-1.8002094877723335e-11
-8,6,0.39187339419823985,-0.0007619653947220158,0.000605975590036847,-5.684705180544758e-11,-4.2657019409808594e-12,4.3707843117371525e-11
-8,7,0.37438654055997633,-0.0006956782599649654,0.0006085507500083538,-2.3275542083978085e-11,-1.822528803221979e-11,-5.621111643641305e-11
-8,8,0.35845760344285027,-0.00039248618264407944,0.0003889818743433717,-1.2900768018957176e-11,-4.306567255585314e-11,3.9767931135636925e-11
-7,-3,-0.4333726862531181,-0.0018343986333704896,-0.000264226711379084,-3.7045537644442295e-11,-5.711348538203764e-11,-5.836139817944064e-11
-7,-2,-0.44981153980443583,-0.0033109627281738625,-0.00019296875117090384,-3.056759944990162e-11,-6.239489914322549e-11,8.934797346427104e-12
-7,-1,-0.4684705149233547,-0.003475640203543299,3.8563264745473784e-05,2.7137360934792465e-11,2.05279128114369e-11,1.3113963040489729e-11
-7,0,-0.48914804215925123,-0.002621697396256499,0.000716122555581912,-2.982417871694176e-11,-1.187535703453535e-11,-3.255069965738683e-11
