j,l,ux,uy,uz
-9,0,-0.4914398626182356,-0.00038582254505088796,0.0004918819401229391
-9,1,0.49156765314934087,9.093989520549565e-05,0.0007062053338752492
-9,2,0.4741684010855649,0.00025381061740438037,0.00042089262788641075
-9,3,0.45648128170699215,0.00024318897139132854,0.000250923269659435
-9,4,0.4387770749450213,0.00012084492395213176,0.00015175362135111896
-9,5,0.42141876130816197,-9.883313272069413e-05,0.00012991385795874458
-9,6,0.4047281301534526,-0.0002404197918730341,0.00019639790045704745
-9,7,0.3889538686237906,-0.0003020709209862903,0.00020725099172436018
-8,-2,-0.4560598373981421,-0.0012659328399209197,1.7734615562182602e-06
-8,-1,-0.47242705588181116,-0.001401400939028274,0.00037033711741347097
-8,0,-0.49031922186509824,-0.0014275669846990778,0.001086705164187943
-8,1,0.4907489266914532,7.719451233042114e-05,0.001027815691726537
-8,2,0.4715995920736239,0.0005366259525768603,0.00043671707918678786
-8,3,0.45217548669109076,0.00048356141896913486,0.00019104429158763378
-8,4,0.43269987323823056,0.00011292458727133796,0.00018250203315350283
-8,5,0.4136144146332929,-0.00038409476337711865,0.00037415729596864837
-8,6,0.3953970622966335,-0.0007737887584073713,0.0005641303635857443
-8,7,0.3785098872610121,-0.0007121177191975049,0.0005782182604596169
-8,8,0.36317962165105955,-0.0004046037348611663,0.0003761008704851263
-7,-3,-0.4349366514364896,-0.0018097102824892052,-0.00025289380096791473
-7,-2,-0.4508011434094907,-0.0032730049668406765,-0.00017148940844813386
-7,-1,-0.4688817567349082,-0.0034593704401763357,4.719636961706199e-05
-7,0,-0.48896533845973095,-0.0026426779316240986,0.0006948162952183609
-7,1,0.4896522309381392,0.00014178265879086959,0.0005797573984354684
-7,2,0.4682683146359437,0.000890718508629347,-7.212679143848835e-05
-7,3,0.44659356056091626,0.000544508258747294,-8.049280842243165e-05
-7,4,0.4247989863781636,-0.00013842241383679428,0.00037005730530368964
-7,5,0.4035837966505798,-0.0010030417386042722,0.0008923498223093604
-7,6,0.38369461961090107,-0.00143858622724616,0.0013782099107459752
-7,7,0.36583943967365906,-0.00135717939434853,0.0013920147818208247
-7,8,0.3502335342301743,-0.0007817408329407001,0.0010980101331511808
