j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.9924349634139078,0.0,0.0,0.9918657710858573,0.0,0.0,False
-18,0,-15.444119700822489,0.9919832367825038,0.0,0.0,0.9914140444544532,0.0,0.0,False
-17,0,-14.57809429703805,0.9914783994778475,0.0,0.0,0.990909207149797,0.0,0.0,False
-16,0,-13.712068893253612,0.9909105024532978,0.0,0.0,0.9903413101252473,0.0,0.0,False
-15,0,-12.84604348946917,0.9902669469598342,0.0,0.0,0.9896977546317837,0.0,0.0,False
-14,0,-11.980018085684733,0.9895315398262858,0.0,0.0,0.9889623474982353,0.0,0.0,False
-13,0,-11.113992681900296,0.9886831136773011,0.0,0.0,0.9881139213492506,0.0,0.0,False
-12,0,-10.247967278115857,0.9876934590239188,0.0,0.0,0.9871242666958683,0.0,0.0,False
-11,0,-9.381941874331417,0.9865241317839087,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9851213521399758,0.0,0.0,0.9845521598119252,0.0,0.0,False
-9,0,-7.649891066762541,0.9836066960357345,0.0004582717839630724,0.00021409554452755448,0.983037503707684,0.0004582717839630724,0.00021409554452755448,True
-8,0,-6.783865662978103,0.981696749717853,0.0014651001875384628,-4.1119675091999064e-05,0.9811275573898025,0.0014651001875384628,-4.1119675091999064e-05,True
-7,0,-5.917840259193664,0.9792801499043866,0.002722506502513387,-9.936340771492691e-05,0.9787109575763361,0.002722506502513387,-9.936340771492691e-05,True
-6,0,-5.0518148554092255,0.9761240803645099,0.004346044242902518,0.00012552250497481075,0.9755548880364594,0.004346044242902518,0.00012552250497481075,True
-5,0,-4.185789451624787,0.9719252417839559,0.006256135301735811,0.0006487024217862302,0.9713560494559054,0.006256135301735811,0.0006487024217862302,True
-4,0,-3.319764047840348,0.9663470990148813,0.008718402397732536,0.0017235951396252615,0.9657779066868307,0.008718402397732536,0.0017235951396252615,True
-3,0,-2.4537386440559095,0.9589808233473789,0.011457076445406203,0.0035788062286755407,0.9584116310193284,0.011457076445406203,0.0035788062286755407,True
-2,0,-1.5877132402714706,0.9470014105278922,0.015376570796352193,0.006767541307005221,0.9464322181998417,0.015376570796352193,0.006767541307005221,True
-1,0,-0.7216878364870323,0.9083066980085679,0.020041428707613315,0.009278049977745994,0.9077375056805174,0.020041428707613315,0.009278049977745994,True
0,0,0.14433756729740643,0.7490899736744454,0.018810947137860218,0.017351737422062433,0.7485207813463949,0.018810947137860218,0.017351737422062433,True
1,0,1.010362971081845,0.24881435621851072,0.01894566517945932,0.017084133906940288,0.24824516389046014,0.01894566517945932,0.017084133906940288,True
2,0,1.8763883748662837,0.09024505425306134,0.020047762307894214,0.008999172139163944,0.08967586192501076,0.020047762307894214,0.008999172139163944,True
3,0,2.7424137786507226,0.052044035539699364,0.015229740390804932,0.006532555038484943,0.05147484321164879,0.015229740390804932,0.006532555038484943,True
4,0,3.608439182435161,0.04028325847212335,0.011229676937579848,0.0033605878516100862,0.039714066144072774,0.011229676937579848,0.0033605878516100862,True
5,0,4.474464586219599,0.033005600533132944,0.008374191824538725,0.0015132008891537937,0.03243640820508237,0.008374191824538725,0.0015132008891537937,True
6,0,5.340489990004038,0.027479553334912234,0.005832387097068506,0.00045800013308701154,0.026910361006861654,0.005832387097068506,0.00045800013308701154,True
7,0,6.206515393788477,0.02332826800614301,0.0037679976603861185,1.844063277810866e-05,0.02275907567809243,0.0037679976603861185,1.844063277810866e-05,True
8,0,7.072540797572915,0.02021605505957029,0.002058908516085798,-5.6451801296185334e-05,0.01964686273151971,0.002058908516085798,-5.6451801296185334e-05,True
9,0,7.938566201357354,0.01783682119076411,0.0006916504832465764,0.00023134836842522277,0.01726762886271353,0.0006916504832465764,0.00023134836842522277,True
10,0,8.804591605141791,0.016017032516125462,0.0,0.0,0.015447840188074885,0.0,0.0,False
11,0,9.670617008926232,0.014614252872192462,0.0,0.0,0.014045060544141884,0.0,0.0,False
12,0,10.53664241271067,0.013444925632182404,0.0,0.0,0.012875733304131826,0.0,0.0,False
13,0,11.402667816495107,0.012455270978800108,0.0,0.0,0.01188607865074953,0.0,0.0,False
14,0,12.268693220279548,0.011606844829815336,0.0,0.0,0.011037652501764758,0.0,0.0,False
15,0,13.134718624063986,0.010871437696267083,0.0,0.0,0.010302245368216506,0.0,0.0,False
16,0,14.000744027848423,0.010227882202803375,0.0,0.0,0.009658689874752798,0.0,0.0,False
17,0,14.866769431632862,0.00965998517825376,0.0,0.0,0.009090792850203182,0.0,0.0,False
18,0,15.732794835417302,0.009155147873597424,0.0,0.0,0.008585955545546847,0.0,0.0,False
19,0,16.59882023920174,0.008703421242193272,0.0,0.0,0.008134228914142694,0.0,0.0,False
