radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.09832289114821535,-2.8228888115169763e-05,0.09835112003633051,2,True
1.0,0.14782628969703215,-4.894201338003713e-05,0.14787523171041217,4,True
1.5,0.2862083207635252,-9.676272868769088e-05,0.28630508349221284,10,True
2.0,0.36993364028754017,-0.0001240067447218512,0.370057647032262,18,True
2.5,0.43801660328007785,-0.000158406176631952,0.43817500945670984,30,True
3.0,0.4807409742643355,-0.00014799687079752752,0.48088897113513296,40,True
3.5,0.534237391325173,-0.0001419746574860998,0.5343793659826591,56,True
4.0,0.5742803861414731,-0.0001269084781362651,0.5744072946196093,72,True
4.5,0.6093601733840164,-0.00011330140955043048,0.6094734747935667,90,True
5.0,0.6463417767389326,-9.775715869402726e-05,0.6464395338976265,112,True
5.5,0.679206534494334,-8.17576183184023e-05,0.6792882921126524,136,True
6.0,0.7038251863859477,-7.10741035259076e-05,0.7038962604894735,158,True
6.5,0.7341738607990043,-3.8985349531345226e-05,0.7342128461485353,188,True
7.0,0.7613242840305613,-1.5029378123915677e-05,0.7613393134086852,220,True
7.5,0.785935688872297,1.0601831184727907e-05,0.7859250870411123,254,True
8.0,0.8062843742226979,3.236816132748655e-05,0.8062520060613705,286,True
