j,l,ux,uy,uz
-12,3,0.46713078898575056,6.797516306016715e-05,7.417194597982917e-05
-12,4,0.453826180147424,0.00011574091685628078,6.274809495314386e-05
-12,5,0.44043549389563225,9.869581896174726e-05,2.3730152637252953e-05
-12,6,0.4270163015447537,4.17859456621432e-05,-6.085788147877771e-07
-11,0,-0.4929236370309522,-0.0003393803438323004,0.0002733047733816409
-11,1,0.4932533696856332,-0.00013042669209212433,0.00042499917832670634
-11,2,0.4790768726191388,3.5637332042520084e-05,0.00041397660336268233
-11,3,0.46483826334707606,0.00022081568480622856,0.00031512157900250574
-11,4,0.4505038999218693,0.00028573657993579657,0.00017451971901292622
-11,5,0.4361431692350526,0.00018637317442420697,8.246021493946132e-05
-11,6,0.42187018858411923,5.001213600895111e-06,7.84779436272147e-05
-11,7,0.4078529311128039,-0.00015495888668782022,0.0001260175536322104
-11,8,0.39468136141693,-0.00023030821962056623,0.0001785497640581017
-11,9,0.3823030591032929,-0.0002267305948742838,0.0001786174866342823
-10,-2,-0.4641386555118082,-0.0007711633085597631,4.556389252363249e-05
-10,-1,-0.47773273513599557,-0.0009731910232334996,0.00036655206061319277
-10,0,-0.49211991309925984,-0.0010049178607593277,0.0006872722145752689
-10,1,0.4928938553978291,-0.0003725985687797744,0.0007267600864007643
-10,2,0.47759796262713977,0.00010381431848414839,0.000518181167071832
-10,3,0.4621095229012117,0.00042449756665539364,0.00028674170969382977
-10,4,0.4465254706721507,0.00045376570596449283,0.00011503821121710371
-10,5,0.4309583194294653,0.0002130780703238208,8.561551766803188e-05
-10,6,0.41561996073134927,-0.00014381662315062177,0.00018602437559588108
-10,7,0.40074945552012187,-0.000441240574333818,0.0003530117980918531
-10,8,0.38668811867898134,-0.00060053034733389,0.0004745196176605372
-10,9,0.37363843170036737,-0.000486769957965221,0.0004199616395515816
-10,10,0.3616520630986322,-0.00025672604217867216,0.00027659657961490077
-9,-4,-0.434929402111238,-0.001127458171721104,-0.0002906672806177676
-9,-3,-0.4472402031252063,-0.0016348763664954657,-0.00030777576575073077
-9,-2,-0.4607673505689923,-0.0024224665297535425,-3.3165822055818814e-05
-9,-1,-0.47551309024541893,-0.002370479200669979,0.0002414073155692928
-9,0,-0.49123612927989474,-0.0018671307382957499,0.0005093566433778821
-9,1,0.4923528816091442,-0.0006103627618065557,0.000481954152257934
-9,2,0.47566271510702685,0.0001994594679634593,0.0001987806067133973
-9,3,0.4587428837509512,0.0006068378928379242,-1.4073101108266967e-05
-9,4,0.4416944409058677,0.0005385755967405145,-5.675591316720038e-05
-9,5,0.4246833092770944,0.00010420512505246497,0.00010730943163021878
-9,6,0.40799050126599434,-0.0004349517037795736,0.0004292008367095879
-9,7,0.3919830311538225,-0.0008567095559685498,0.000758846573998068
-9,8,0.3770485623844065,-0.0009761668229308347,0.0009419126736572127
-9,9,0.3634809650298226,-0.000832786534746398,0.0009143342281473026
-9,10,0.3513451976392558,-0.0004627364588191426,0.000646353819928651
-9,11,0.3406226607104442,-0.00020294132004498546,0.00036197983261867394
-8,-5,-0.4173509248826888,-0.0014164439354608417,-0.0005181727470770412
-8,-4,-0.428994551218185,-0.002807530698337634,-0.0009017260546512504
-8,-3,-0.44216888356784967,-0.0037421075541826335,-0.0009535298662197034
-8,-2,-0.45680305459078974,-0.004319366469206262,-0.0007879715518559243
-8,-1,-0.4729106896548238,-0.003897884444097436,-0.0005079896200155366
-8,0,-0.49024832406898405,-0.002803663401099446,-0.00016414948309694595
-8,1,0.49157910711600294,-0.0008040427519595945,-0.0001258931021413072
-8,2,0.47317998916645887,0.00031942055856445223,-0.0003820053791752133
-8,3,0.4545269577721752,0.0007261977669764839,-0.00044748584172289556
-8,4,0.43568336361697224,0.0004668487944168761,-0.0002312984705821607
-8,5,0.41687548474407066,-0.00020403577719597685,0.00026308369225917083
-8,6,0.39854163090922445,-0.0009214987185273386,0.0008583405042849432
-8,7,0.381260879071122,-0.0013376411399732488,0.0013527777162262258
-8,8,0.36553730787125555,-0.0013614699001291506,0.0015240396060602216
-8,9,0.35162652526582044,-0.0010542040047879521,0.0013792050295542337
-8,10,0.33952821116671034,-0.0006185306418770007,0.0009938638059712448
-8,11,0.3290717679848167,-0.0002418118281043051,0.0004558410936339669
-7,-6,-0.39918282021543905,-0.001421087692768892,-0.0008309072120811806
-7,-5,-0.40985969190966404,-0.003146518041930184,-0.0015435652155828777
-7,-4,-0.42209499593738226,-0.0049096902395044896,-0.0020852707257495323
-7,-3,-0.4361348277359403,-0.00594962911959384,-0.0022608344098572096
-7,-2,-0.4520333575492984,-0.0063891109156901296,-0.00211522571995529
-7,-1,-0.4697956301304356,-0.005604827837001514,-0.001740124284863903
-7,0,-0.48914204493632996,-0.003870926233820288,-0.001187030841309056
-7,1,0.49047418480571403,-0.0009423770439529951,-0.0009829725651957478
-7,2,0.46996690282520087,0.0004632961692994921,-0.001123798514029125
-7,3,0.4491479699580069,0.0007254965897875783,-0.000915313759236167
-7,4,0.4279886280836674,0.0001649570982543541,-0.0002608352593646002
-7,5,0.40688433970696464,-0.0007935613444186462,0.0006630035627209686
-7,6,0.38663310549297675,-0.0015688594852691104,0.0015881919528310724
-7,7,0.3681316667365455,-0.0018279520040299154,0.0020704541221847695
-7,8,0.3518881887716643,-0.0016039924870626348,0.0021260556456275583
-7,9,0.3379837639694808,-0.0010931556376708085,0.0017068095342072194
-7,10,0.3262369363425528,-0.0006035609175592773,0.001128328134126453
-7,11,0.3163467550375695,-0.00019854330361552394,0.000569351349007682
-7,12,0.3079978733006703,-4.9805309227388977e-05,0.00020776135840978443
-6,-7,-0.3808546123288348,-0.0012322750784417877,-0.0011012148013166457
-6,-6,-0.39022851004662346,-0.0029914231171382618,-0.0021702284623432372
-6,-5,-0.4010990829665004,-0.0051229300232242935,-0.0031390708538898736
