radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.08108558363908527,0.0007561370912454954,0.08032944654783979,2,True
1.0,0.12425299928126657,0.0012839196511101802,0.12296907963015638,4,True
1.5,0.2366517550286014,0.0013525152556199418,0.23529923977298148,10,True
2.0,0.306785442496868,0.0008848761775391999,0.3059005663193288,18,True
2.5,0.3664184235916566,0.0004205687315569453,0.36599785486009956,30,True
3.0,0.4046172105980134,0.00012570050965347927,0.40449151008836,40,True
3.5,0.4531892700478528,-6.332948816964256e-05,0.4532525995360225,56,True
4.0,0.49031380362839316,-0.0001099644068535317,0.4904237680352468,72,True
4.5,0.5228538677254563,-5.8790132648535234e-05,0.5229126578581048,90,True
5.0,0.5577980420044357,-6.046915757564869e-05,0.5578585111620114,112,True
5.5,0.5890368425380312,-4.3575786214844654e-05,0.5890804183242461,136,True
6.0,0.612459118420599,-1.390001189593992e-05,0.6124730184324949,158,True
6.5,0.6416869654918856,-7.157736538180995e-05,0.6417585428572676,188,True
7.0,0.6677847301844652,-0.00018534693989316956,0.6679700771243583,220,True
7.5,0.6914811359190592,-0.00035735600787606707,0.6918384919269354,254,True
8.0,0.7111596017953208,-0.0005178643969466004,0.7116774661922673,286,True
