j,l,ux,uy,uz,gx,gy,gz
-9,0,-0.4915319459665173,-0.000427922853782665,0.0003541401279709361,1.5542601062949746e-08,-1.1283331877338931e-09,-3.3781762390694067e-09
-9,1,0.4914542765137631,-6.300549738793582e-05,0.0005391015352475765,4.196248502754546e-09,-1.649771086019089e-08,-3.336878258842872e-09
-9,2,0.47403287773929564,0.0001467211022106553,0.0004134713416371432,2.8609827141916344e-09,1.646051722248125e-08,-7.92222444568301e-09
-9,3,0.45636423672842225,0.00021553867689504428,0.0002581134410968917,3.1519735246322844e-09,-5.444445671073028e-09,-5.708962979154744e-09
-9,4,0.43867761126069127,0.00012989024725890003,0.00014210586152517705,4.175053818292196e-09,3.876191477438385e-09,7.545262287905231e-09
-9,5,0.42124764360490097,-5.946085464046778e-05,0.00011571745600332174,1.687320679878701e-09,1.5014316259568707e-08,9.293338138399504e-09
-9,6,0.4043562564757224,-0.00022823064285731298,0.00017568062338479867,4.756196382484784e-09,6.329869716055481e-09,4.256322276265578e-09
-9,7,0.3882300312115475,-0.0002993584299172701,0.00020807596733871914,-2.418651751318404e-09,-1.6984086650094488e-09,-3.2811994817158116e-09
-8,-2,-0.4561230881803187,-0.0012203671694000753,1.4706907067635812e-05,-6.807708246084343e-09,6.9173066194298805e-09,5.5072855533779e-09
-8,-1,-0.4726891092885587,-0.0013777324448621326,0.0003344334034178221,2.78665143607984e-09,-8.819532482367415e-09,1.3444107016882811e-08
-8,0,-0.4905341183788062,-0.0013824888121372935,0.0007970105715374377,1.589126849207978e-09,1.0747201919744133e-08,-8.931126610619775e-09
-8,1,0.4907360547605292,-0.00024454037088298937,0.0007999416335187167,7.339113288883786e-09,-1.3332621765513655e-08,1.2841816486065805e-09
-8,2,0.47173931427827714,0.00031758972159872127,0.0004410764480141199,4.297092132642122e-09,-1.0178281669722495e-08,1.4685099659949089e-08
-8,3,0.4525178792997501,0.0004272325338619455,0.00017814684656372067,3.934962514683116e-09,1.948257944713429e-08,-2.8767843027381157e-09
-8,4,0.4331944399602056,0.00014782238958408885,0.0001185183731867987,-8.839244301783733e-10,8.77027693860482e-09,-2.8465839675652013e-09
-8,5,0.4140404308484359,-0.0003201609319492321,0.0002846531596295627,7.040993885154556e-09,-5.477356926743629e-09,1.5618781119028195e-08
-8,6,0.39549149135473355,-0.0007382063399628306,0.0005278584481256566,3.224068457954171e-09,-5.349391249626426e-09,-2.4633319000322718e-08
-8,7,0.3780730809620948,-0.0007220059428862684,0.0005846074522830044,4.742383074348572e-09,1.2733692820662834e-08,2.5465437357452027e-08
-8,8,0.3621917383522156,-0.0004249160437905718,0.0004325134338019671,1.29087953726955e-09,6.631897992142449e-09,-2.4336109921523075e-08
-7,-3,-0.4348890811833162,-0.0018373687196164262,-0.00021637586036297174,-1.3741877757239562e-09,1.468654903290581e-08,1.7283901001174592e-08
-7,-2,-0.4512373098165377,-0.0031215218476526043,-0.00016510616753269802,-7.659786183372014e-09,-4.3606416142913385e-09,-1.2745384479371721e-08
-7,-1,-0.46952079566792315,-0.0032345615111361347,7.447998682469118e-05,1.4529930856578555e-09,-1.4722409280728231e-08,1.706556295496403e-08
-7,0,-0.4893690760999868,-0.0024823648084779802,0.00046758064431361976,1.7869434079144375e-09,-9.453152671514136e-09,7.3362048395235295e-09
-7,1,0.48975037939815963,-0.0003416118346736856,0.00042331659991347846,-6.103734492661494e-10,1.3792419409916837e-08,-4.679502236659e-09
-7,2,0.46874255179120633,0.0005566039025629739,-3.403723320450598e-06,-4.102298819651934e-09,-1.2488882038407434e-08,9.718442507125266e-09
-7,3,0.4474556301919706,0.000541227781299226,-0.00011857562579501427,-3.2634553974106306e-09,1.2012302521766365e-09,1.1709418690455833e-08
-7,4,0.4258874846166776,-5.863536818363596e-05,0.00018445229683397996,4.594188392562093e-09,8.11379770033864e-09,-4.827024485741342e-09
-7,5,0.40444954678614975,-0.0008901742833449696,0.0007513676811303399,-7.263032007417958e-10,1.587196601687997e-08,1.5750036643814858e-09
-7,6,0.3839604754156548,-0.001383703359814144,0.0012838634154041732,9.039657005577295e-09,-7.534683201361816e-09,-1.3891646449696107e-08
-7,7,0.36535676809412954,-0.0013397260345942603,0.0014263766654222364,4.3227278004927955e-09,-2.5182121134186995e-08,5.6514700870819085e-09
-7,8,0.3491258461770962,-0.0007660801540121787,0.0011053295301807202,3.989047285226548e-09,2.9587222105491306e-08,-3.912844375114979e-09
-7,9,0.3353820773983611,-0.0002932186944503145,0.0005998568114393613,-1.8451676996218691e-09,8.521368270297119e-10,-1.7332040754425987e-08
-6,-4,-0.4120164453689923,-0.0020533104648211373,-0.0007220424961145376,6.0309094618250444e-09,-7.056537121123696e-09,-3.5454871357603127e-09
-6,-3,-0.42744054512177454,-0.004191941805095154,-0.001154597566094182,-7.634524101232318e-10,-8.270614542619376e-09,7.684153069268188e-09
-6,-2,-0.4453166268839582,-0.005602359028659922,-0.0013464858585035186,5.708779527010752e-09,-3.7130129574799477e-09,1.3416067835662904e-09
-6,-1,-0.46566726831215793,-0.005331994833246755,-0.0011174157570238148,6.564979960262812e-09,-3.186683026614942e-09,-2.115697393884411e-08
-6,0,-0.4880474784489952,-0.003767678133477935,-0.0005529439749334606,-3.4713563139450454e-09,-3.9618175461195865e-10,1.8418515542953243e-08
-6,1,0.4882874886313358,-0.0003371594422753791,-0.00042742373745394054,-6.66967716342684e-09,-1.88929377932176e-08,-1.3506357763107268e-08
