j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.9912965787578067,0.0,0.0,0.9918657710858573,0.0,0.0,False
-18,0,-15.444119700822489,0.9908448521264026,0.0,0.0,0.9914140444544531,0.0,0.0,False
-17,0,-14.57809429703805,0.9903400148217463,0.0,0.0,0.9909092071497968,0.0,0.0,False
-16,0,-13.712068893253612,0.9897721177971966,0.0,0.0,0.9903413101252472,0.0,0.0,False
-15,0,-12.84604348946917,0.9891285623037329,0.0,0.0,0.9896977546317834,0.0,0.0,False
-14,0,-11.980018085684733,0.9883931551701847,0.0,0.0,0.9889623474982352,0.0,0.0,False
-13,0,-11.113992681900296,0.9875447290211998,0.0,0.0,0.9881139213492504,0.0,0.0,False
-12,0,-10.247967278115857,0.9865550743678176,0.0,0.0,0.9871242666958682,0.0,0.0,False
-11,0,-9.381941874331417,0.9853857471278076,0.0,0.0,0.9859549394558581,0.0,0.0,False
-10,0,-8.51591647054698,0.9839829674838745,0.0,0.0,0.984552159811925,0.0,0.0,False
-9,0,-7.649891066762541,0.982546591308729,0.0003718650347411362,0.0001861937304772456,0.9831157836367795,0.0003718650347411362,0.0001861937304772456,True
-8,0,-6.783865662978103,0.9808226367469575,0.0011530742250667474,2.32190597504716e-06,0.981391829075008,0.0011530742250667474,2.32190597504716e-06,True
-7,0,-5.917840259193664,0.9786625660582653,0.002163429103370426,-4.471638956972439e-05,0.9792317583863158,0.002163429103370426,-4.471638956972439e-05,True
-6,0,-5.0518148554092255,0.9758640750005938,0.0034604477252774862,0.0001295745333056738,0.9764332673286443,0.0034604477252774862,0.0001295745333056738,True
-5,0,-4.185789451624787,0.9720996942659679,0.005119202078689055,0.0005659510168502184,0.9726688865940184,0.005119202078689055,0.0005659510168502184,True
-4,0,-3.319764047840348,0.9666244771658028,0.007332549469166228,0.001408756398237967,0.9671936694938533,0.007332549469166228,0.001408756398237967,True
-3,0,-2.4537386440559095,0.9576314794463865,0.010152643209743697,0.0029478631162670635,0.958200671774437,0.010152643209743697,0.0029478631162670635,True
-2,0,-1.5877132402714706,0.9403144923647224,0.014763736554640854,0.005688883702730392,0.940883684692773,0.014763736554640854,0.005688883702730392,True
-1,0,-0.7216878364870323,0.8946796495309459,0.022215402864063215,0.01009184309869813,0.8952488418589964,0.022215402864063215,0.01009184309869813,True
0,0,0.14433756729740643,0.7431830473853849,0.02797862571235072,0.022338104313289402,0.7437522397134354,0.02797862571235072,0.022338104313289402,True
1,0,1.010362971081845,0.2438984099432502,0.028352938996272198,0.020385913188811704,0.2444676022713008,0.028352938996272198,0.020385913188811704,True
2,0,1.8763883748662837,0.09639526336596205,0.021991312954892293,0.008894782967582317,0.09696445569401263,0.021991312954892293,0.008894782967582317,True
3,0,2.7424137786507226,0.05362015275582714,0.0145101554547221,0.004987799260938395,0.05418934508387772,0.0145101554547221,0.004987799260938395,True
4,0,3.608439182435161,0.03803286598339741,0.00992479395480586,0.002475721060330199,0.03860205831144799,0.00992479395480586,0.002475721060330199,True
5,0,4.474464586219599,0.029931751682082314,0.006975466952293449,0.0010744825701872623,0.030500944010132893,0.006975466952293449,0.0010744825701872623,True
6,0,5.340489990004038,0.024831461133332344,0.0046839880187755836,0.0003382633758628839,0.025400653461382924,0.0046839880187755836,0.0003382633758628839,True
7,0,6.206515393788477,0.0212487720174171,0.002936258066913401,2.126072064361268e-05,0.02181796434546768,0.002936258066913401,2.126072064361268e-05,True
8,0,7.072540797572915,0.018578718181857884,0.0015719697844923611,-2.58954002155796e-06,0.019147910509908463,0.0015719697844923611,-2.58954002155796e-06,True
9,0,7.938566201357354,0.01651582444158406,0.0005290247562259429,0.00019503029681898026,0.01708501676963464,0.0005290247562259429,0.00019503029681898026,True
10,0,8.804591605141791,0.014878647860024317,0.0,0.0,0.015447840188074897,0.0,0.0,False
11,0,9.670617008926232,0.013475868216091315,0.0,0.0,0.014045060544141895,0.0,0.0,False
12,0,10.53664241271067,0.012306540976081254,0.0,0.0,0.012875733304131833,0.0,0.0,False
13,0,11.402667816495107,0.01131688632269896,0.0,0.0,0.011886078650749539,0.0,0.0,False
14,0,12.268693220279548,0.010468460173714184,0.0,0.0,0.011037652501764764,0.0,0.0,False
15,0,13.134718624063986,0.009733053040165932,0.0,0.0,0.010302245368216511,0.0,0.0,False
16,0,14.000744027848423,0.009089497546702222,0.0,0.0,0.009658689874752801,0.0,0.0,False
17,0,14.866769431632862,0.008521600522152608,0.0,0.0,0.009090792850203188,0.0,0.0,False
18,0,15.732794835417302,0.008016763217496274,0.0,0.0,0.008585955545546854,0.0,0.0,False
19,0,16.59882023920174,0.00756503658609212,0.0,0.0,0.0081342289141427,0.0,0.0,False
