j,l,ux,uy,uz
-9,0,-0.4917333065142618,-0.00042069078608634596,0.0003567754700481952
-9,1,0.4908153690806141,-5.1399576157476967e-05,0.0005410622059977386
-9,2,0.4729672310213061,0.0001618405378380039,0.0004169611566844029
-9,3,0.4548785052599075,0.00023128313090917452,0.00026089173257412866
-9,4,0.43677142165819927,0.00014342964267744082,0.00014558641499721716
-9,5,0.4189173552441745,-4.941728153053167e-05,0.00012149698257494116
-9,6,0.401597679811095,-0.0002223558358409067,0.00018270137962559315
-9,7,0.3850447269624735,-0.000296160084946502,0.00021379318694682704
-8,-2,-0.4554182665681299,-0.0012285040007608636,1.4214010637090016e-05
-8,-1,-0.4724262996342523,-0.0013768927032393843,0.00033686537079951603
-8,0,-0.49072120065676705,-0.0013658821168913969,0.0007996808039598351
-8,1,0.49010826175166494,-0.00021975614342597348,0.0008048150487327883
-8,2,0.47068734079471997,0.0003490346834534832,0.00044798846638518435
-8,3,0.45104967328474105,0.00045757128576342447,0.00018684911751222245
-8,4,0.4313089887695094,0.0001730405414677602,0.000130738165022828
-8,5,0.41172631676254706,-0.0003002576384043231,0.0003009672527585568
-8,6,0.3927404242598979,-0.0007265182208413664,0.000548210984771594
-8,7,0.3748896423252889,-0.0007169035954914454,0.0006050411344021385
-8,8,0.35859477489773073,-0.0004247148695850068,0.00044713797576996907
-7,-3,-0.4337001921308893,-0.0018512047350994576,-0.00022334021208694454
-7,-2,-0.45049335914533367,-0.0031399416373968365,-0.00017283564335056397
-7,-1,-0.46923747785150327,-0.0032343494198660452,7.058348807933504e-05
-7,0,-0.48954600032574974,-0.002454866297405002,0.000469049008421092
-7,1,0.4891276473609028,-0.00030276957166119103,0.0004284995505307251
-7,2,0.46769645398707393,0.000603020867645191,7.566347781890375e-06
-7,3,0.4459940087324749,0.0005848675736224547,-0.00010249431260380375
-7,4,0.42400048616829544,-2.377194018820468e-05,0.0002099043213839813
-7,5,0.4021176869754471,-0.0008650686443195143,0.0007898494111795958
-7,6,0.38117635286860185,-0.001370232240393543,0.0013336624608980003
-7,7,0.36213517762275266,-0.0013307010916868479,0.0014802950374703486
-7,8,0.34549586591233045,-0.0007601507620482046,0.0011450934511910967
-7,9,0.3313798012835199,-0.000294018512913621,0.0006226032087113323
-6,-4,-0.41032339306469484,-0.002070908362475053,-0.0007406088467059482
