j,lower_layer,y_over_L0,raw_delta_x,raw_delta_y,raw_delta_z,affine_subtracted_delta_x,affine_subtracted_delta_y,affine_subtracted_delta_z,both_rows_free
-19,0,-16.310145104606928,0.99200806916787,0.0,0.0,0.9918657710858574,0.0,0.0,False
-18,0,-15.444119700822489,0.9915563425364657,0.0,0.0,0.9914140444544531,0.0,0.0,False
-17,0,-14.57809429703805,0.9910515052318095,0.0,0.0,0.9909092071497969,0.0,0.0,False
-16,0,-13.712068893253612,0.9904836082072599,0.0,0.0,0.9903413101252473,0.0,0.0,False
-15,0,-12.84604348946917,0.9898400527137963,0.0,0.0,0.9896977546317837,0.0,0.0,False
-14,0,-11.980018085684733,0.9891046455802479,0.0,0.0,0.9889623474982353,0.0,0.0,False
-13,0,-11.113992681900296,0.9882562194312632,0.0,0.0,0.9881139213492506,0.0,0.0,False
-12,0,-10.247967278115857,0.9872665647778809,0.0,0.0,0.9871242666958683,0.0,0.0,False
-11,0,-9.381941874331417,0.9860972375378708,0.0,0.0,0.9859549394558582,0.0,0.0,False
-10,0,-8.51591647054698,0.9846944578939378,0.0,0.0,0.9845521598119252,0.0,0.0,False
-9,0,-7.649891066762541,0.983278990668605,0.00036051852174612357,0.00018417256409451727,0.9831366925865924,0.00036051852174612357,0.00018417256409451727,True
-8,0,-6.783865662978103,0.9815681245609833,0.0011283892393703365,3.2213902594829076e-06,0.9814258264789707,0.0011283892393703365,3.2213902594829076e-06,True
-7,0,-5.917840259193664,0.9794235871939747,0.002126520988032464,-4.422438182095928e-05,0.9792812891119621,0.002126520988032464,-4.422438182095928e-05,True
-6,0,-5.0518148554092255,0.976648253514804,0.0034119384267551718,0.00012245313131641078,0.9765059554327914,0.0034119384267551718,0.00012245313131641078,True
-5,0,-4.185789451624787,0.9729255658766258,0.0050608478019726,0.0005430962927765761,0.9727832677946132,0.0050608478019726,0.0005430962927765761,True
-4,0,-3.319764047840348,0.9675525667868903,0.0072680510327524026,0.0013596628604952699,0.9674102687048777,0.0072680510327524026,0.0013596628604952699,True
-3,0,-2.4537386440559095,0.9588081719666122,0.010089614604248757,0.0028635507485480207,0.9586658738845996,0.010089614604248757,0.0028635507485480207,True
-2,0,-1.5877132402714706,0.9419602262569146,0.0146505583615981,0.005545591884535459,0.941817928174902,0.0146505583615981,0.005545591884535459,True
-1,0,-0.7216878364870323,0.897112218248174,0.02205584946799293,0.009815938616570038,0.8969699201661614,0.02205584946799293,0.009815938616570038,True
0,0,0.14433756729740643,0.7468118337121799,0.02796828123516837,0.021738479240698345,0.7466695356301672,0.02796828123516837,0.021738479240698345,True
1,0,1.010362971081845,0.24668236288121714,0.028245508564452983,0.020720050916246863,0.2465400647992045,0.028245508564452983,0.020720050916246863,True
2,0,1.8763883748662837,0.09843690416158561,0.022004036547997586,0.009138701592701165,0.09829460607957297,0.022004036547997586,0.009138701592701165,True
3,0,2.7424137786507226,0.05506899969359029,0.014518964123118863,0.005130747626438151,0.054926701611577644,0.014518964123118863,0.005130747626438151,True
4,0,3.608439182435161,0.039103242393830534,0.009922317615254793,0.0025627258925921526,0.03896094431181789,0.009922317615254793,0.0025627258925921526,True
5,0,4.474464586219599,0.030807560369429644,0.0069921393337649225,0.0011250056660007577,0.030665262287417,0.0069921393337649225,0.0011250056660007577,True
6,0,5.340489990004038,0.025630307100778533,0.004705886900725957,0.0003623375635196474,0.025488009018765887,0.004705886900725957,0.0003623375635196474,True
7,0,6.206515393788477,0.022015177408178186,0.0029567601747643455,2.9615996101998445e-05,0.02187287932616554,0.0029567601747643455,2.9615996101998445e-05,True
8,0,7.072540797572915,0.01932608506787857,0.001586894580159037,-7.080913596952884e-07,0.019183786985865925,0.001586894580159037,-7.080913596952884e-07,True
9,0,7.938566201357354,0.017247895801257452,0.0005358413331276372,0.00019607922259359041,0.017105597719244806,0.0005358413331276372,0.00019607922259359041,True
10,0,8.804591605141791,0.01559013827008754,0.0,0.0,0.015447840188074897,0.0,0.0,False
11,0,9.670617008926232,0.014187358626154539,0.0,0.0,0.014045060544141895,0.0,0.0,False
12,0,10.53664241271067,0.013018031386144477,0.0,0.0,0.012875733304131833,0.0,0.0,False
13,0,11.402667816495107,0.012028376732762181,0.0,0.0,0.011886078650749537,0.0,0.0,False
14,0,12.268693220279548,0.01117995058377741,0.0,0.0,0.011037652501764765,0.0,0.0,False
15,0,13.134718624063986,0.010444543450229155,0.0,0.0,0.010302245368216511,0.0,0.0,False
16,0,14.000744027848423,0.009800987956765445,0.0,0.0,0.009658689874752801,0.0,0.0,False
17,0,14.866769431632862,0.009233090932215832,0.0,0.0,0.009090792850203188,0.0,0.0,False
18,0,15.732794835417302,0.008728253627559496,0.0,0.0,0.008585955545546852,0.0,0.0,False
19,0,16.59882023920174,0.008276526996155343,0.0,0.0,0.0081342289141427,0.0,0.0,False
