j,l,ux,uy,uz,gx,gy,gz
-9,0,-0.4914636145137204,-0.0004314402565715697,0.0003525980745040316,-4.448216883810169e-10,-4.924063674166534e-10,-2.6793123972723362e-09
-9,1,0.49166902340893437,-6.874499663978405e-05,0.0005371617374399334,2.4123450763011145e-10,-2.083415961452728e-10,4.965142859033635e-10
-9,2,0.4743910101842391,0.00013928495155456823,0.00041165451954139294,-1.7367212702679158e-10,3.752681820672066e-09,-2.1760198193028837e-09
-9,3,0.4568643419978201,0.00020782870617860563,0.00025700504766202486,-2.4350828211477937e-10,-1.2397829626256077e-09,2.1212672373281617e-09
-9,4,0.4393196500589624,0.00012285795020049978,0.00014144773212922118,2.5774299101249953e-10,-7.286655303120372e-10,-4.544136824095012e-09
-9,5,0.42203225345902745,-6.504383299999004e-05,0.00011497305004820673,-7.058626964179249e-10,-3.1947165030597746e-10,1.4591959259825649e-10
-9,6,0.40528347887165245,-0.00023181170671610857,0.0001744586751835587,-9.854911283725676e-10,-2.7867573071209406e-09,-3.995489463885565e-09
-9,7,0.3892970080273791,-0.00030089021441200074,0.0002067413728774455,-1.1975732838124392e-09,-9.442715793311907e-11,4.544448241111318e-09
-8,-2,-0.45635981517780255,-0.0012184246392115696,1.3993510142398813e-05,-1.037548089544843e-09,-1.3340266144350188e-09,-3.3281687887402878e-09
-8,-1,-0.47277793514549943,-0.0013787338640140123,0.00033217983718079967,-1.0192820287888843e-09,-4.0144352876636535e-09,4.22243843275355e-09
-8,0,-0.49047161152994095,-0.001390544956207915,0.0007937382767663172,-1.550284991526374e-10,4.0801629544624796e-11,1.1015010778492318e-10
-8,1,0.49094757641633324,-0.0002574271150149706,0.0007968256965043749,-1.4367471218822148e-09,3.6605217666697484e-09,-1.1868289627979534e-09
-8,2,0.47209526003834634,0.00030148375203389605,0.00043844736453456894,3.209021030674275e-10,-2.0628739573740756e-09,-8.454409453333839e-10
-8,3,0.4530159505439861,0.00041088358868856037,0.00017618466961977341,4.5482895097773146e-10,-4.1403173153386347e-10,-1.8028662310059455e-11
-8,4,0.4338353212955116,0.00013344415087760932,0.00011607379397698005,1.3594291842396189e-09,1.1158102109377205e-09,3.3132419648574524e-09
-8,5,0.41482637745605794,-0.0003310514742351682,0.0002802734143757776,1.5699732035245884e-09,-1.7317935841875548e-09,1.1275994094613745e-09
-8,6,0.3964233287785735,-0.0007448778158460612,0.0005212102842537235,-7.748168794931287e-10,2.6218873643360507e-10,-5.151384340770044e-09
-8,7,0.3791466157225906,-0.0007251103089907903,0.0005772564499890569,2.9467686103734625e-10,1.4502231273499921e-10,-7.739144166013859e-10
-8,8,0.3633966721732427,-0.0004255686178473683,0.0004272668230832107,-1.8442985585996954e-09,-1.4136267130829272e-09,5.777403193005237e-09
-7,-3,-0.435288800338073,-0.0018323620624246851,-0.00021510848682824448,1.2166638081127085e-09,-6.221915118537202e-10,2.933425169329533e-09
-7,-2,-0.4514903009217766,-0.0031162986681978985,-0.00016451850897782113,-2.752256626596672e-09,6.399725944496171e-10,-1.8600382705423468e-09
-7,-1,-0.4696194976593565,-0.0032357426177811966,7.330939066647024e-05,2.603178274936807e-09,3.582418624551928e-09,-2.4913559023946596e-09
-7,0,-0.4893115693342328,-0.0024953592991367336,0.00046521612362555094,2.878714098694668e-10,-3.5247161017925308e-09,1.4611206213032205e-09
-7,1,0.489959996294836,-0.0003618084198480011,0.0004209976415284879,-1.7212136390644395e-09,-2.6714090438448995e-09,3.83484717418614e-09
-7,2,0.46909789969951887,0.0005320824131901868,-6.2262095439577344e-06,1.4941191860129432e-10,8.140613585652786e-10,1.0311870194540385e-10
-7,3,0.4479544852803895,0.0005172666131734778,-0.00012249772915731247,3.4693621846909606e-10,2.0249479055893006e-09,4.409507234801963e-10
-7,4,0.4265326625251263,-7.850004429457757e-05,0.0001769289528388356,8.403179315580322e-10,-8.91134195515203e-11,7.626519043027469e-10
-7,5,0.40524543402945207,-0.0009040914938899957,0.0007381764660818781,4.483644185093727e-11,-1.8134660505035594e-09,-1.666176482916816e-09
-7,6,0.3849072272085109,-0.0013919686301268725,0.001265517800528084,9.304896154797848e-10,2.262674768469669e-09,4.920631398652384e-09
-7,7,0.3664475661361587,-0.0013443412511566725,0.0014069915768075395,-1.0082750999135942e-09,3.2882183094819824e-09,-3.9170861831374325e-09
-7,8,0.35034738951039185,-0.0007690216955312531,0.0010907905134078682,-9.394332138915572e-10,-1.4118494428031966e-09,-3.118930634593564e-10
-7,9,0.3367205704677092,-0.00029409385533371455,0.0005921124036365883,-2.4183697731015863e-09,-3.1022037456224227e-09,-2.5642154580229892e-09
-6,-4,-0.41258358993055444,-0.002047047734253033,-0.0007170803525026279,-6.791855455866649e-10,3.276408645259965e-10,1.7469066141014532e-09
-6,-3,-0.4278688524934131,-0.004180295863400819,-0.0011469044567781414,3.266887902775642e-10,-2.0809935415491698e-10,-2.529171662412396e-10
-6,-2,-0.4455916878755792,-0.005591965045733632,-0.0013394351224652612,6.566396953087972e-10,-3.435448459455752e-09,3.5623082469959932e-09
-6,-1,-0.4657785359823745,-0.005332109008810743,-0.0011136986968921145,1.42217802508518e-09,-5.979973220163887e-10,6.782891019685433e-10
-6,0,-0.48799398769723934,-0.0037850083442640195,-0.0005518762946833301,-5.584862368575305e-10,2.525020933552384e-09,-1.97899078758178e-09
-6,1,0.4884976839163828,-0.0003639129345824041,-0.0004278537229581593,-1.404421631941155e-09,1.5046035875543318e-09,-2.111346061525743e-09
-6,2,0.465034485722106,0.0007570793600440659,-0.0006989672501838733,-1.781868297009992e-09,-8.726220756182998e-10,3.9307581456253515e-09
-6,3,0.44108527964667027,0.0003978390600144683,-0.00036398665354021913,-7.532258913811596e-10,7.367204674004618e-10,-3.103645518755596e-10
-6,4,0.41654632821285614,-0.0007065639690393521,0.000545851203583648,-1.7201927729471045e-09,-2.1822477635699555e-10,-2.9065233487146278e-09
-6,5,0.39234859196748806,-0.0017597932886245795,0.0016808791861232736,-2.212017130229227e-09,1.1811077268129855e-09,-2.846552093864474e-09
-6,6,0.37003029241748625,-0.002165365112138509,0.0023186883555113363,-3.5638875487895016e-10,-2.7686759706440408e-09,1.1271106512033332e-09
-6,7,0.35071753909353554,-0.0017574309718539022,0.002339077061037814,8.060882814378296e-10,-1.4685655982298387e-09,2.47499024942123e-09
-6,8,0.3346979052432971,-0.0009301522752781737,0.001632477504668404,-2.0817217457214793e-09,-4.042426384598527e-09,-3.7109555008172247e-09
-6,9,0.32169541656025175,-0.00032001724150723936,0.0007103531889215162,-1.5170598510055866e-09,-6.920308569897601e-10,1.132011956395118e-09
-5,-5,-0.3889675090842426,-0.0018720475168784404,-0.0012523795886651614,-7.093134305282724e-10,4.3796094225181936e-10,-2.076236974880852e-09
-5,-4,-0.40237132126452113,-0.004408998091913126,-0.00232909947747184,-5.314548273845348e-10,-2.7316014211860307e-09,1.052899562458895e-09
-5,-3,-0.41860318187862894,-0.006963999402877007,-0.00315461661682518,9.189765002573166e-10,2.0687702972140704e-10,3.1348717588822184e-10
-5,-2,-0.43812375095592787,-0.008368438840725731,-0.0034410241915472164,6.603106105515857e-10,1.973127091402238e-09,-1.036544675613038e-09
-5,-1,-0.4609902353349031,-0.007846523264903836,-0.0030972199549431,1.4090990995557773e-09,-1.6988843359443812e-09,-1.319572547585357e-09
-5,0,-0.48656807850544326,-0.005375698810080515,-0.0021380544454928014,1.3885544537101113e-10,-8.938497123456984e-10,7.64925319049134e-10
-5,1,0.48619282026105864,-0.00030399041051858985,-0.0015902225181915184,-5.742010773107653e-10,2.374271896275759e-09,-2.6250313129791425e-09
-5,2,0.4592012252501988,0.0008928508534494107,-0.0013757340479153763,-7.269229263667798e-10,1.183518388977664e-09,-6.748389435153393e-10
-5,3,0.4311651741737162,-0.00020509582692197512,-0.0002406716038035753,-2.21638776082278e-09,-1.912709456097783e-09,2.2620464742322856e-09
-5,4,0.4022244274873942,-0.0018263218679184547,0.0016250929400471136,-2.3429371671934707e-09,-1.22185656557805e-09,-1.8442962955445008e-10
-5,5,0.37479236625360585,-0.0028486875536103437,0.0030192123592248186,-2.729593265825281e-09,-2.968261880644668e-09,-5.6771182806863996e-11
-5,6,0.3510599240743069,-0.002688050032940552,0.003612718196220167,-3.0990071807563205e-09,5.264671771448848e-11,-2.4783972621574e-09
-5,7,0.3317635148002836,-0.0016260615022087928,0.0027385047807637025,-1.531055912693674e-09,1.945178499935911e-09,9.737968327620241e-10
-5,8,0.31661158087464075,-0.000791318127307327,0.001646984250714364,-1.9968866924596762e-10,6.753187466700117e-10,-2.391380494451076e-09
-5,9,0.3048483661191166,-0.0001786456250656252,0.0007277707434884084,-8.670084316285409e-10,3.442173209769646e-09,2.507364372551779e-10
-5,10,0.29564774000924965,-7.358831214018636e-06,0.00020680219102756843,-1.649934217029525e-10,-9.764777520100167e-10,-2.1012402733576463e-09
-4,-6,-0.36551230972087145,-0.0014216732294929722,-0.0015334740373333267,-1.0419650056507114e-09,-1.5734547584127234e-10,7.209872438657117e-10
-4,-5,-0.37618906339745617,-0.003763519250504208,-0.003151622092914241,-1.0147358326599142e-09,4.6548491320144714e-10,-3.891396267285269e-09
-4,-4,-0.38951029405374915,-0.006859231041417826,-0.004692531021123262,1.9307742950160367e-10,2.4541840297183717e-09,3.1497740507393374e-09
-4,-3,-0.4064782172639577,-0.00976097737640436,-0.005774172743704179,2.064271752800573e-09,-2.0040360213316455e-11,-7.711715014398907e-10
-4,-2,-0.4280677833397391,-0.011493664694013516,-0.006233496400771509,1.2258916488264854e-09,-1.0649474258168923e-09,1.820150254475128e-10
-4,-1,-0.454621499689702,-0.010916871521053249,-0.0057449452668653905,1.123146074841902e-09,3.5961597276423785e-09,-1.1775873904468215e-09
-4,0,-0.4850892320384263,-0.007521193611125298,-0.0041831995635197,3.1573349100130765e-10,2.590423010644105e-09,-7.473010057990059e-10
-4,1,0.4822789695678144,-0.0002414070648326976,-0.002813564345466675,4.940596334823688e-10,-7.627176754759768e-10,-1.0697208214713316e-09
-4,2,0.4499164217349384,0.0006319810930469578,-0.001591812498058887,-2.9076202001654394e-09,5.783208393075889e-09,-1.5052431389002419e-09
-4,3,0.4155526463285946,-0.001485869700733362,0.00093493795361972,-1.1294881592516237e-09,1.0014342358838357e-09,-1.9213545138577204e-09
-4,4,0.3812453115247896,-0.0034460006453214728,0.003374381643758884,-2.8098208152554927e-09,5.450076913209034e-11,-1.6472928455329994e-09
-4,5,0.3514168373543466,-0.0036362559539266253,0.004874236051765059,-3.83961532018787e-09,4.3444841517706334e-10,-1.79124057643823e-09
-4,6,0.3277156940213175,-0.002161181780233986,0.003645350115135913,-2.6105019552274955e-09,1.5362490255604877e-09,1.8422668505730516e-09
-4,7,0.30986832864735,-0.0012050016251156368,0.0022177763874931056,-2.3344407448777638e-09,-1.7552876131754491e-09,-2.7379376951394696e-09
-4,8,0.2966938047782339,-0.00045853845695999115,0.001090989782180861,-2.4309575533121297e-10,2.4965402159850617e-09,-5.238987061013944e-10
-4,9,0.28683045789807093,-0.00011909492504030855,0.00045095246696761986,6.860623119955833e-10,-3.295333657424987e-09,-2.09640457651903e-09
-4,10,0.2792356868671358,3.249828882395201e-05,7.934428245022604e-05,8.549541023056273e-11,2.0181508523261886e-09,-1.424581154646845e-09
-3,-7,-0.34325247717529345,-0.0008919441851194734,-0.0013093926849229315,3.793138676419505e-10,-2.8476141543246677e-09,-1.3285350363226311e-09
-3,-6,-0.35094319440475064,-0.002575760082606699,-0.0031376989233153603,-2.602184683009323e-10,8.390117451435777e-10,6.220505369483598e-10
