M,omega,eta_target,lag_k,eta_actual,rho_k
31,0.02,0.02,1,0.03225806451612903,0.9334389183864853
31,0.02,0.05,2,0.06451612903225806,0.8618138682591564
31,0.02,0.1,3,0.0967741935483871,0.7851619961649561
31,0.02,0.2,6,0.1935483870967742,0.5257804020869177
31,0.02,0.3,9,0.2903225806451613,0.2250384381096033
31,0.02,0.4,12,0.3870967741935484,-0.11134734868797051
63,0.009841269841269842,0.02,1,0.015873015873015872,0.9662886871344369
63,0.009841269841269842,0.05,3,0.047619047619047616,0.8954790592368995
63,0.009841269841269842,0.1,6,0.09523809523809523,0.7807691145990499
63,0.009841269841269842,0.2,13,0.20634920634920634,0.47399290603986227
63,0.009841269841269842,0.3,19,0.30158730158730157,0.17071330323930983
63,0.009841269841269842,0.4,25,0.3968253968253968,-0.16230204693410497
127,0.004881889763779528,0.02,3,0.023622047244094488,0.9476624759236382
127,0.004881889763779528,0.05,6,0.047244094488188976,0.8929337176048368
127,0.004881889763779528,0.1,13,0.10236220472440945,0.7559579668949505
127,0.004881889763779528,0.2,25,0.1968503937007874,0.4915850724230972
127,0.004881889763779528,0.3,38,0.2992125984251969,0.16681804758984525
127,0.004881889763779528,0.4,51,0.4015748031496063,-0.18838130095808034
255,0.0024313725490196078,0.02,5,0.0196078431372549,0.9558654437217327
255,0.0024313725490196078,0.05,13,0.050980392156862744,0.8819008163689392
255,0.0024313725490196078,0.1,26,0.10196078431372549,0.7529836517451436
255,0.0024313725490196078,0.2,51,0.2,0.4756885647359321
255,0.0024313725490196078,0.3,76,0.2980392156862745,0.16375571703125794
255,0.0024313725490196078,0.4,102,0.4,-0.18769203395854647
