set,study,field,value,reference,absolute_error,tolerance,layers_used,shells_used,tail_status,direct_radius,direct_layers
linear_profile,reference,energy,0.026104677225792017,0.0261046772257556,3.6415315207705135e-14,2e-08,9,27,empirical proxy; refinement differences authoritative,,
linear_profile,reference,d_da,-0.28267699500719345,-0.2826769950075345,3.410605131648481e-13,2e-08,9,27,empirical proxy; refinement differences authoritative,,
linear_profile,reference,d_ds,0.20217594093267266,0.20217594093269087,1.8207657603852567e-14,2e-08,9,27,empirical proxy; refinement differences authoritative,,
linear_profile,reference,d2_daa,36.71503142013131,36.71503142013319,1.8758328224066645e-12,2e-08,9,27,empirical proxy; refinement differences authoritative,,
linear_profile,reference,d2_das,-12.783527519908558,-12.783527519909514,9.556799795973347e-13,2e-08,9,27,empirical proxy; refinement differences authoritative,,
linear_profile,reference,d2_dss,2.966523313425153,2.966523313424922,2.3092638912203256e-13,2e-08,9,27,empirical proxy; refinement differences authoritative,,
linear_profile,density_layer_refined,energy,0.0261046772257556,0.0261046772257556,0.0,2e-10,13,27,empirical proxy; refinement differences authoritative,,
linear_profile,density_layer_refined,d_da,-0.2826769950075203,-0.2826769950075345,1.4210854715202004e-14,2e-10,13,27,empirical proxy; refinement differences authoritative,,
linear_profile,density_layer_refined,d_ds,0.20217594093267266,0.20217594093269087,1.8207657603852567e-14,2e-10,13,27,empirical proxy; refinement differences authoritative,,
linear_profile,density_layer_refined,d2_daa,36.71503142013296,36.71503142013319,2.2737367544323206e-13,2e-10,13,27,empirical proxy; refinement differences authoritative,,
linear_profile,density_layer_refined,d2_das,-12.783527519908558,-12.783527519909514,9.556799795973347e-13,2e-10,13,27,empirical proxy; refinement differences authoritative,,
linear_profile,density_layer_refined,d2_dss,2.966523313425153,2.966523313424922,2.3092638912203256e-13,2e-10,13,27,empirical proxy; refinement differences authoritative,,
linear_profile,reciprocal_and_layer_refined,energy,0.0261046772257556,0.0261046772257556,0.0,2e-12,14,30,empirical proxy; refinement differences authoritative,,
linear_profile,reciprocal_and_layer_refined,d_da,-0.2826769950075345,-0.2826769950075345,0.0,2e-12,14,30,empirical proxy; refinement differences authoritative,,
linear_profile,reciprocal_and_layer_refined,d_ds,0.20217594093269087,0.20217594093269087,0.0,2e-12,14,30,empirical proxy; refinement differences authoritative,,
linear_profile,reciprocal_and_layer_refined,d2_daa,36.71503142013319,36.71503142013319,0.0,2e-12,14,30,empirical proxy; refinement differences authoritative,,
linear_profile,reciprocal_and_layer_refined,d2_das,-12.783527519909514,-12.783527519909514,0.0,2e-12,14,30,empirical proxy; refinement differences authoritative,,
linear_profile,reciprocal_and_layer_refined,d2_dss,2.966523313424922,2.966523313424922,0.0,2e-12,14,30,empirical proxy; refinement differences authoritative,,
