set,fraction_of_fixed_s_peak,normal_force_eV_per_reduced_a,normal_traction_GPa,bound_a_reduced_L0,saddle_a_reduced_L0,opening_barrier_eV_cell,fixed_s_spinodal_a_reduced_L0,fixed_s_spinodal_force_eV_per_reduced_a,registry_curvature_at_minimum,status
linear_profile,0.25,1.0528169173155004,8.293016707293392,0.9305784156148578,2.6244210479364884,2.725168564880839,1.456950133360304,4.211267669262002,-1.460569027467871,fixed s=0; zero resolved shear; not coupled spinodal
linear_profile,0.5,2.105633834631001,16.586033414586783,1.0842086147881527,2.140354468723539,1.3214360040721793,1.456950133360304,4.211267669262002,-0.3563371914179472,fixed s=0; zero resolved shear; not coupled spinodal
linear_profile,0.75,3.1584507519465013,24.879050121880177,1.1975458122111662,1.8409182676897882,0.43186349892618425,1.456950133360304,4.211267669262002,-0.02308295962745399,fixed s=0; zero resolved shear; not coupled spinodal
linear_profile,0.95,4.000704285798902,31.51346348771489,1.3359801547389933,1.5996997262260306,0.0367373525582988,1.456950133360304,4.211267669262002,0.04008185835826683,fixed s=0; zero resolved shear; not coupled spinodal
linear_historical_box,0.25,0.013510231064350897,0.10658108353063911,0.8181795076220986,0.8510351953668652,0.0008866977401564573,0.8338329003483886,0.05404092425740359,4.117031795496182,fixed s=0; zero resolved shear; not coupled spinodal
linear_historical_box,0.5,0.027020462128701794,0.21316216706127822,0.8209487068510183,0.8477480777570224,0.00048236408758597134,0.8338329003483886,0.05404092425740359,3.8673311785731777,fixed s=0; zero resolved shear; not coupled spinodal
linear_historical_box,0.75,0.04053069319305269,0.3197432505919173,0.8246248101448211,0.8435556771891455,0.00017043814015593034,0.8338329003483886,0.05404092425740359,3.554812715340645,fixed s=0; zero resolved shear; not coupled spinodal
linear_historical_box,0.95,0.05133887804453341,0.4050081174164286,0.8296546481663982,0.8381139615055085,1.5237075911210074e-05,0.8338329003483886,0.05404092425740359,3.160065876033636,fixed s=0; zero resolved shear; not coupled spinodal
legacy_unidentified,0.25,0.22969569467295659,1.8093090830338514,0.8321018971168156,1.5251533323608217,0.24957780733682625,0.9784096476987059,0.9187827786918263,2.2487226540545726,fixed s=0; zero resolved shear; not coupled spinodal
legacy_unidentified,0.5,0.45939138934591317,3.618618166067703,0.85232284215223,1.2977745727283132,0.12163527179492564,0.9784096476987059,0.9187827786918263,1.6146351208986915,fixed s=0; zero resolved shear; not coupled spinodal
legacy_unidentified,0.75,0.6890870840188698,5.427927249101554,0.8820877956751826,1.15357697274258,0.03970557332715213,0.9784096476987059,0.9187827786918263,0.9810491074485723,fixed s=0; zero resolved shear; not coupled spinodal
legacy_unidentified,0.95,0.872843639757235,6.875374515528635,0.9298964401688369,1.0408499603183992,0.003370907453873015,0.9784096476987059,0.9187827786918263,0.423622164052295,fixed s=0; zero resolved shear; not coupled spinodal
