observable,role,validation_status,target,prediction,units,scale,normalized_residual
normal_strain_force_ev,exact,development,0.0,0.0,eV/strain,0.1,0.0
cohesive_ev_atom,exact,development,3.36,3.3600000000000003,eV/atom,0.0672,6.608470384673551e-15
C11_GPa,exact,development,113.99999999999996,113.99999999999991,GPa,5.699999999999998,-7.479397218527373e-15
C12_GPa,exact,development,62.000000000000014,61.999999999999986,GPa,3.100000000000001,-9.16829336464645e-15
C44_GPa,exact,development,32.0,31.999999999999975,GPa,1.6,-1.554312234475219e-14
perfect_Haa,fit,development,19.66091286328976,28.05578663346672,eV/L0^2,1.9660912863289761,4.269829091126081
perfect_Hxx,fit,development,4.393593035123306,4.559707494151115,eV/L0^2,0.43935930351233066,0.37808339939510793
saddle_energy_at_source_state,fit,development,0.07624909750742465,0.08777094822747515,eV/cell,0.007624909750742465,1.5110802746129004
saddle_normal_force_at_source_state,fit,development,1.4903612010162394e-15,0.1106349935413681,eV/L0,0.03173805605024358,3.485878069098612
fault_energy_at_source_state,fit,development,0.06670794504308616,0.0776567165403977,eV/cell,0.006670794504308616,1.6412994719354352
fault_normal_force_at_source_state,fit,development,5.29078226360765e-15,-0.09392104432855108,eV/L0,0.03173805605024358,-2.9592563633977056
saddle_path_force_at_source_state,fit,development,2.296700476743968e-16,-0.02122824880739166,eV/L0,0.03173805605024358,-0.6688578775519859
opening_1.1h_energy,fit,development,0.05670265774764735,0.059902147887882576,eV/cell,0.005670265774764736,0.5642575264239664
opening_1.5h_energy,fit,development,0.4710312483934004,0.4237185217504012,eV/cell,0.04710312483934004,-1.0044498492270748
opening_2h_energy,fit,development,0.7060534019484034,0.6550656223922829,eV/cell,0.07060534019484034,-0.7221518856139794
opening_40h_energy,fit,development,0.7719163228888833,0.8468186107422495,eV/cell,0.07719163228888834,0.9703420647078126
direct_quarter_energy,fit,development,0.117221996542065,0.10568924526377826,eV/cell,0.0117221996542065,-0.9838384960580515
direct_half_energy,fit,development,0.26732847628894163,0.2696494377266594,eV/cell,0.026732847628894163,0.08682058379778267
oblique_energy,fit,development,0.13339289745734875,0.11942434941157785,eV/cell,0.013339289745734876,-1.047173298731083
opening_1.25h_energy,fit,development,0.24853683654490819,0.21552585323741974,eV/cell,0.02485368365449082,-1.3282129026183078
opening_3h_energy,fit,development,0.7719163228888833,0.8111867867490273,eV/cell,0.07719163228888834,0.5087399073668369
saddle_Haa,fit,development,12.717337762538286,22.506113788679272,eV/L0^2,1.2717337762538286,7.697189623268463
saddle_Hxx,fit,development,-0.18642463121762062,-0.07088429291390362,eV/L0^2,0.018642463121762064,6.197697029039168
fault_Haa,fit,development,14.140554350039636,24.807120459485915,eV/L0^2,1.4140554350039638,7.543244660288993
fault_Hxx,fit,development,2.4858929774856264,2.67800756991575,eV/L0^2,0.24858929774856264,0.7728192410939564
saddle_normal_path_coupling,fit,development,1.2055891043737141,0.622847774861653,eV/L0^2,0.12055891043737142,-4.833664532948701
opening_1.1h_normal_force,fit,development,1.2761663221727821,1.2051929901619398,eV/L0,0.03173805605024358,-2.2362217742159927
opening_1.3h_normal_force,fit,development,1.4139711872929317,1.1565143899351653,eV/L0,0.03173805605024358,-8.111927112051038
opening_1.5h_normal_force,fit,development,0.6379256757978651,0.8126437745808572,eV/L0,0.03173805605024358,5.505003157925019
opening_2h_normal_force,fit,development,0.5548811295393773,0.38239678341234906,eV/L0,0.03173805605024358,-5.434622267160073
opening_2.5h_normal_force,fit,development,0.0005156382639574782,0.1728800636204491,eV/L0,0.03173805605024358,5.430843813610593
opening_3h_normal_force,fit,development,0.0,0.0736195386841454,eV/L0,0.03173805605024358,2.3195982314606947
shockley_0.15_energy,fit,development,0.013715574532912111,0.012153363860857911,eV/cell,0.004433026104653031,-0.35240276848684904
shockley_0.35_energy,fit,development,0.04820527408303389,0.04901871560476958,eV/cell,0.004820527408303389,0.1687453369385535
shockley_0.75_energy,fit,development,0.08334161260537679,0.09859806531269269,eV/cell,0.00833416126053768,1.8305924532028592
new_direct_017_energy,fit,development,0.05826439239193282,0.049799096103022446,eV/cell,0.0058264392391932825,-1.4529107644281314
new_direct_017_normal_force,fit,development,-0.44118804525591643,-0.43556735106581773,eV/L0,0.03173805605024358,0.17709635968884613
new_direct_017_Haa,fit,development,26.109437232644353,27.646087878152258,eV/L0^2,2.6109437232644357,0.5885422316137272
new_direct_039_energy,fit,development,0.2262381941113307,0.22637030371691852,eV/cell,0.022623819411133072,0.0058394032938050575
new_direct_039_normal_force,fit,development,-1.9685101248020884,-1.969155027811175,eV/L0,0.03173805605024358,-0.020319549756467655
new_direct_039_Haa,fit,development,36.31678531793335,46.55811671831072,eV/L0^2,3.6316785317933356,2.819999432967478
new_raised_direct_energy,fit,development,0.11960599647825673,0.11782185599460532,eV/cell,0.011960599647825674,-0.14916814676392537
new_raised_direct_normal_force,fit,development,0.08783049166112324,0.1725835268997798,eV/L0,0.03173805605024358,2.6703915042712927
new_raised_direct_Haa,fit,development,20.00400949091716,17.449807529483337,eV/L0^2,2.000400949091716,-1.2768450057942435
new_off_path_positive_energy,fit,development,0.05360470506556986,0.05308226873010558,eV/cell,0.0053604705065569865,-0.09746091034830351
new_off_path_positive_normal_force,fit,development,0.35206897342006,0.4211784670539439,eV/L0,0.03173805605024358,2.177496111434132
new_off_path_positive_Haa,fit,development,13.446420569551602,18.364436268418537,eV/L0^2,1.3446420569551603,3.657490611295773
new_off_path_negative_energy,fit,development,0.21544733160917068,0.22212357174242614,eV/cell,0.021544733160917068,0.30987806084163555
new_off_path_negative_normal_force,fit,development,-0.05312860042135701,-0.06574657845474019,eV/L0,0.03173805605024358,-0.3975661903617547
new_off_path_negative_Haa,fit,development,13.5831841481301,14.59215632681008,eV/L0^2,1.35831841481301,0.7428097621859002
new_shockley_058_energy,fit,development,0.07969505412787091,0.0915844743827672,eV/cell,0.007969505412787091,1.4918642549410521
new_shockley_058_normal_force,fit,development,-0.6123357455328253,-0.7970135957251816,eV/L0,0.03173805605024358,-5.818814167446116
new_shockley_058_Haa,fit,development,23.107568998056017,35.1885522360793,eV/L0^2,2.3107568998056016,5.2281498062559635
new_opening_1.17h_energy,fit,development,0.14263027381623705,0.13187377900122996,eV/cell,0.014263027381623706,-0.7541522937034826
new_opening_1.17h_normal_force,fit,development,1.6398229617729339,1.2944802012030967,eV/L0,0.03173805605024358,-10.881030647344476
new_opening_1.42h_energy,fit,development,0.4226003973463561,0.3667867553434276,eV/cell,0.042260039734635615,-1.3207191084864178
new_opening_1.42h_normal_force,fit,development,0.8686291067124379,0.9347150722016985,eV/L0,0.03173805605024358,2.0822310410140386
new_opening_1.78h_energy,fit,development,0.5953584311886578,0.5738980500753684,eV/cell,0.05953584311886578,-0.36046153021538413
new_opening_1.78h_normal_force,fit,development,0.5989965116849877,0.528521732265788,eV/L0,0.03173805605024358,-2.2205134211003066
new_opening_2.23h_energy,fit,development,0.7765619947928292,0.7156294736592941,eV/cell,0.07765619947928293,-0.7846446457863371
new_opening_2.23h_normal_force,fit,development,0.15664558956102492,0.26826275097719815,eV/L0,0.03173805605024358,3.5168241318710693
new_opening_3.4h_energy,fit,development,0.7719163228888833,0.8284896413824454,eV/cell,0.07719163228888834,0.7328944448517088
new_opening_3.4h_normal_force,fit,development,0.0,0.03656104879015893,eV/L0,0.03173805605024358,1.1519624495047904
new_opening_5.5h_energy,fit,development,0.7719163228888833,0.8453588038445371,eV/cell,0.07719163228888834,0.9514305991198184
new_opening_5.5h_normal_force,fit,development,0.0,0.0012521222648427016,eV/L0,0.03173805605024358,0.03945176298323073
v16_direct011_energy,fit,development,0.025339211626875774,0.022425523662872374,eV/cell,0.004433026104653031,-0.6572683975276188
v16_direct011_normal_force,fit,development,-0.1684646879274777,-0.24510095505999385,eV/L0,0.03173805605024358,-2.4146490576233
v16_direct011_Haa,fit,development,23.17866876533168,25.800478655462662,eV/L0^2,2.317866876533168,1.1311304875508736
v16_direct031_energy,fit,development,0.16617323878813156,0.15854152556587403,eV/cell,0.016617323878813157,-0.4592624707753245
v16_direct031_normal_force,fit,development,-1.4977500080753077,-1.3723035728031274,eV/L0,0.03173805605024358,3.9525557291092337
v16_direct031_Haa,fit,development,34.460781638400974,40.3600086250099,eV/L0^2,3.4460781638400975,1.7118668544752877
v16_raised043_energy,fit,development,0.1726273519698645,0.18391027906220864,eV/cell,0.017262735196986453,0.6536001950788068
v16_raised043_normal_force,fit,development,-0.17083895700384927,-0.04148221761167509,eV/L0,0.03173805605024358,4.0757612623594
v16_raised043_Haa,fit,development,18.238440853611248,16.642644018510254,eV/L0^2,1.8238440853611249,-0.8749634071845694
v16_off_plus_energy,fit,development,0.0652424878354941,0.06523553414314662,eV/cell,0.006524248783549411,-0.0010658226836815746
v16_off_plus_normal_force,fit,development,-0.08042066717244803,-0.06427040812515859,eV/L0,0.03173805605024358,0.5088610033873038
v16_off_plus_Haa,fit,development,20.981095919956758,24.034030093495527,eV/L0^2,2.098109591995676,1.4550880398172554
v16_off_minus_energy,fit,development,0.21182429891635463,0.21539556853645275,eV/cell,0.021182429891635463,0.1685958427983918
v16_off_minus_normal_force,fit,development,0.3481661631135443,0.46861781548836146,eV/L0,0.03173805605024358,3.7951805297757897
v16_off_minus_Haa,fit,development,5.497617912510364,8.64142126299171,eV/L0^2,0.5497617912510364,5.718482805666278
v16_shockley043_energy,fit,development,0.061697611386283796,0.06623568234288695,eV/cell,0.00616976113862838,0.7355343026475775
v16_shockley043_normal_force,fit,development,-0.43484281773712713,-0.5755783252213829,eV/L0,0.03173805605024358,-4.43428253014178
v16_shockley043_Haa,fit,development,25.03469226049791,32.02326335863863,eV/L0^2,2.5034692260497913,2.791554625645606
v16_opening1.21_energy,fit,development,0.19627832926906572,0.1741512672816212,eV/cell,0.019627832926906574,-1.127330870903833
v16_opening1.21_normal_force,fit,development,1.631864707518524,1.2869541238677427,eV/L0,0.03173805605024358,-10.86741365333666
v16_opening1.21_Haa,fit,development,-1.3832350292334812,-0.8878415850765243,eV/L0^2,0.13832350292334814,3.5814119342500947
v16_opening1.62_energy,fit,development,0.5246331923940108,0.4960321076535275,eV/cell,0.05246331923940109,-0.5451634619222359
v16_opening1.62_normal_force,fit,development,0.5093642313524578,0.6703281716571758,eV/L0,0.03173805605024358,5.071638289689223
v16_opening1.62_Haa,fit,development,-0.15582859326870177,-1.2590625489734169,eV/L0^2,0.1,-11.03233955704715
v16_opening1.93_energy,fit,development,0.6719836252695317,0.6320288271972665,eV/cell,0.06719836252695317,-0.5945799357274426
v16_opening1.93_normal_force,fit,development,0.6270410192299789,0.4243480697652208,eV/L0,0.03173805605024358,-6.386432399762634
v16_opening1.93_Haa,fit,development,-0.6638075680371565,-0.7674230473374497,eV/L0^2,0.1,-1.0361547930029325
v16_opening2.71_energy,fit,development,0.7719163228888833,0.7885554597862005,eV/cell,0.07719163228888834,0.21555622551218281
v16_opening2.71_normal_force,fit,development,0.0,0.12133861617561874,eV/L0,0.03173805605024358,3.823126910593741
v16_opening2.71_Haa,fit,development,0.0,-0.25329607813986915,eV/L0^2,0.1,-2.532960781398691
v16_opening4.3_energy,fit,development,0.7719163228888833,0.8420198104327556,eV/cell,0.07719163228888834,0.9081747006140668
v16_opening4.3_normal_force,fit,development,0.0,0.007669225668360186,eV/L0,0.03173805605024358,0.24164131716886694
v16_opening4.3_Haa,fit,development,0.0,-0.015831507485235326,eV/L0^2,0.1,-0.15831507485235324
v16_opening6.2_energy,fit,development,0.7719163228888833,0.8458480567933306,eV/cell,0.07719163228888834,0.9577687595432504
v16_opening6.2_normal_force,fit,development,0.0,0.0005795595899069318,eV/L0,0.03173805605024358,0.01826071480211164
v16_opening6.2_Haa,fit,development,0.0,-0.00066172131703242,eV/L0^2,0.1,-0.0066172131703242
v17_near_0.985_normal_force,fit,development,-0.24821900083247345,-0.3946170809771481,eV/L0,0.03173805605024358,-4.61269839315036
v17_near_0.985_Haa,fit,development,20.878110673451364,35.84905764262203,eV/L0^2,2.0878110673451364,7.17064259469021
v17_near_1.015_normal_force,fit,development,0.2329580444899274,0.29559267297887537,eV/L0,0.03173805605024358,1.973486605159211
v17_near_1.015_Haa,fit,development,18.39295935022696,20.638921242497542,eV/L0^2,1.839295935022696,1.2210987092965375
v17_near_1.065_normal_force,fit,development,0.9078686582498847,0.9600220372698197,eV/L0,0.03173805605024358,1.6432442786468244
v17_near_1.065_Haa,fit,development,14.605604041867348,14.920294952274833,eV/L0^2,1.4605604041867348,0.2154590179943365
v17_near_1.095_normal_force,fit,development,1.2303804278835464,1.191011293756577,eV/L0,0.03173805605024358,-1.2404393660608948
