observable,role,validation_status,target,prediction,units,scale,normalized_residual
normal_strain_force_ev,exact,development,0.0,-2.220446049250313e-16,eV/strain,0.1,-2.220446049250313e-15
cohesive_ev_atom,exact,development,3.36,3.3600000000000003,eV/atom,0.0672,6.608470384673551e-15
C11_GPa,exact,development,113.99999999999996,114.00000000000009,GPa,5.699999999999998,2.2438191655582118e-14
C12_GPa,exact,development,62.000000000000014,62.00000000000008,GPa,3.100000000000001,2.0628660070454516e-14
C44_GPa,exact,development,32.0,31.999999999999865,GPa,1.6,-8.43769498715119e-14
perfect_Haa,fit,development,19.66091286328976,27.783267821917494,eV/L0^2,1.9660912863289761,4.131219651450437
perfect_Hxx,fit,development,4.393593035123306,4.444126843424374,eV/L0^2,0.43935930351233066,0.115017043902541
saddle_energy_at_source_state,fit,development,0.07624909750742465,0.08759375498067537,eV/cell,0.007624909750742465,1.4878415409632952
saddle_normal_force_at_source_state,fit,development,1.4903612010162394e-15,0.11701030182023792,eV/L0,0.03173805605024358,3.6867507460129527
fault_energy_at_source_state,fit,development,0.06670794504308616,0.07726672487084704,eV/cell,0.006670794504308616,1.5828369200911587
fault_normal_force_at_source_state,fit,development,5.29078226360765e-15,-0.091568604586825,eV/L0,0.03173805605024358,-2.885135889919368
saddle_path_force_at_source_state,fit,development,2.296700476743968e-16,-0.023081912033726504,eV/L0,0.03173805605024358,-0.7272629425440058
opening_1.1h_energy,fit,development,0.05670265774764735,0.05929484761975251,eV/cell,0.005670265774764736,0.4571549156728395
opening_1.5h_energy,fit,development,0.4710312483934004,0.4227099783602775,eV/cell,0.04710312483934004,-1.0258612395236557
opening_2h_energy,fit,development,0.7060534019484034,0.6555491033960927,eV/cell,0.07060534019484034,-0.7153042307131517
opening_40h_energy,fit,development,0.7719163228888833,0.8430213320304495,eV/cell,0.07719163228888834,0.9211491846092448
direct_quarter_energy,fit,development,0.117221996542065,0.10645899755970414,eV/cell,0.0117221996542065,-0.918172296997054
direct_half_energy,fit,development,0.26732847628894163,0.27268351428389936,eV/cell,0.026732847628894163,0.20031678141051268
oblique_energy,fit,development,0.13339289745734875,0.12046303787481119,eV/cell,0.013339289745734876,-0.9693064495185566
opening_1.25h_energy,fit,development,0.24853683654490819,0.21495272941287796,eV/cell,0.02485368365449082,-1.3512728172977246
opening_3h_energy,fit,development,0.7719163228888833,0.8096979626342916,eV/cell,0.07719163228888834,0.489452530346957
saddle_Haa,fit,development,12.717337762538286,22.608850063961174,eV/L0^2,1.2717337762538286,7.777974043089831
saddle_Hxx,fit,development,-0.18642463121762062,-0.07453413179590918,eV/L0^2,0.018642463121762064,6.00191609289533
fault_Haa,fit,development,14.140554350039636,24.84169053923888,eV/L0^2,1.4140554350039638,7.567692131652
fault_Hxx,fit,development,2.4858929774856264,2.6525086943785503,eV/L0^2,0.24858929774856264,0.6702449317083975
saddle_normal_path_coupling,fit,development,1.2055891043737141,0.5926119560173714,eV/L0^2,0.12055891043737142,-5.084461580919607
opening_1.1h_normal_force,fit,development,1.2761663221727821,1.2159973191896767,eV/L0,0.03173805605024358,-1.8957998841470847
opening_1.3h_normal_force,fit,development,1.4139711872929317,1.1542625508719764,eV/L0,0.03173805605024358,-8.182877867813271
opening_1.5h_normal_force,fit,development,0.6379256757978651,0.8122019199412965,eV/L0,0.03173805605024358,5.491081239113696
opening_2h_normal_force,fit,development,0.5548811295393773,0.3853456130567103,eV/L0,0.03173805605024358,-5.341710790802068
opening_2.5h_normal_force,fit,development,0.0005156382639574782,0.16944931816727984,eV/L0,0.03173805605024358,5.322748174490852
opening_3h_normal_force,fit,development,0.0,0.06942237956821076,eV/L0,0.03173805605024358,2.187354495130711
shockley_0.15_energy,fit,development,0.013715574532912111,0.012012409768357424,eV/cell,0.004433026104653031,-0.38419912816822727
shockley_0.35_energy,fit,development,0.04820527408303389,0.04869325242899453,eV/cell,0.004820527408303389,0.10122924415284712
shockley_0.75_energy,fit,development,0.08334161260537679,0.09837216026197897,eV/cell,0.00833416126053768,1.8034865401239528
new_direct_017_energy,fit,development,0.05826439239193282,0.05019773889509556,eV/cell,0.0058264392391932825,-1.3844911387000325
new_direct_017_normal_force,fit,development,-0.44118804525591643,-0.452567217257329,eV/L0,0.03173805605024358,-0.3585339941236021
new_direct_017_Haa,fit,development,26.109437232644353,27.344340262902477,eV/L0^2,2.6109437232644357,0.47297190638568715
new_direct_039_energy,fit,development,0.2262381941113307,0.22866540289890125,eV/cell,0.022623819411133072,0.10728554464928822
new_direct_039_normal_force,fit,development,-1.9685101248020884,-1.9663794382919018,eV/L0,0.03173805605024358,0.06713349131445343
new_direct_039_Haa,fit,development,36.31678531793335,47.04910944194752,eV/L0^2,3.6316785317933356,2.9551966205319693
new_raised_direct_energy,fit,development,0.11960599647825673,0.11877333884541852,eV/cell,0.011960599647825674,-0.06961671298726083
new_raised_direct_normal_force,fit,development,0.08783049166112324,0.1710849832690311,eV/L0,0.03173805605024358,2.6231755176218146
new_raised_direct_Haa,fit,development,20.00400949091716,17.74465699893264,eV/L0^2,2.000400949091716,-1.129449820052515
new_off_path_positive_energy,fit,development,0.05360470506556986,0.052750609650114404,eV/cell,0.0053604705065569865,-0.15933217325059712
new_off_path_positive_normal_force,fit,development,0.35206897342006,0.4228671170433486,eV/L0,0.03173805605024358,2.2307019532390444
