observable,role,validation_status,target,prediction,units,scale,normalized_residual
normal_strain_force_ev,exact,development_or_control,0.0,7.771561172376096e-16,eV/strain,0.1,7.771561172376096e-15
cohesive_ev_atom,exact,development_or_control,3.36,3.360000000000009,eV/atom,0.0672,1.3877787807814457e-13
C11_GPa,exact,development_or_control,113.99999999999996,114.00000000000023,GPa,5.699999999999998,4.736951571734003e-14
C12_GPa,exact,development_or_control,62.000000000000014,62.00000000000048,GPa,3.100000000000001,1.5127684051666643e-13
C44_GPa,exact,development_or_control,32.0,31.99999999999964,GPa,1.6,-2.2426505097428162e-13
perfect_Haa,fit,development_or_control,19.66091286328976,27.564333725704135,eV/L0^2,1.9660912863289761,4.019864650929507
perfect_Hxx,fit,development_or_control,4.393593035123306,4.519696274904039,eV/L0^2,0.43935930351233066,0.2870162046703845
saddle_energy_at_source_state,fit,development_or_control,0.07624909750742465,0.08845744696363894,eV/cell,0.007624909750742465,1.601113961384989
saddle_normal_force_at_source_state,fit,development_or_control,1.4903612010162394e-15,0.10648543990489025,eV/L0,0.03173805605024358,3.3551342822104417
fault_energy_at_source_state,fit,development_or_control,0.06670794504308616,0.07833762464661462,eV/cell,0.006670794504308616,1.7433724867430604
fault_normal_force_at_source_state,fit,development_or_control,5.29078226360765e-15,-0.09974230849944435,eV/L0,0.03173805605024358,-3.1426722651680534
saddle_path_force_at_source_state,fit,development_or_control,2.296700476743968e-16,-0.02222727998076897,eV/L0,0.03173805605024358,-0.7003352677171484
opening_1.1h_energy,fit,development_or_control,0.05670265774764735,0.05909409190365004,eV/cell,0.005670265774764736,0.42174992337143324
opening_1.5h_energy,fit,development_or_control,0.4710312483934004,0.42533980919743525,eV/cell,0.04710312483934004,-0.9700298940210463
opening_2h_energy,fit,development_or_control,0.7060534019484034,0.6485091949841988,eV/cell,0.07060534019484034,-0.8150121053932656
opening_40h_energy,fit,development_or_control,0.7719163228888833,0.852485531700792,eV/cell,0.07719163228888834,1.043755733916596
direct_quarter_energy,fit,development_or_control,0.117221996542065,0.10719960005179623,eV/cell,0.0117221996542065,-0.8549928158468317
direct_half_energy,fit,development_or_control,0.26732847628894163,0.2726185554657222,eV/cell,0.026732847628894163,0.1978868562832348
oblique_energy,fit,development_or_control,0.13339289745734875,0.12093935072243425,eV/cell,0.013339289745734876,-0.9335989375968399
opening_1.25h_energy,fit,development_or_control,0.24853683654490819,0.2155923541152654,eV/cell,0.02485368365449082,-1.3255372075877387
